date,open,high,low,close,volume
2025-05-08,172.1,208.24,172.05,206.24,32451443.68
2025-05-09,206.24,220.57,202.55,211.24,19256503.88
2025-05-10,211.24,230.24,208.97,228.62,21910376.24
2025-05-11,228.62,230.35,214.1,221.21,13765558.05
2025-05-12,221.21,229.6,211.97,221.76,22928902.45
2025-05-13,221.76,238.32,210.44,236.37,20102114.06
2025-05-14,236.37,239.23,224.04,229.6,14502634.26
2025-05-15,229.6,235.33,216.91,223.84,22395965.81
2025-05-16,223.84,245.16,221.69,230.99,23906208.48
2025-05-17,230.99,232.06,220.02,222.28,12929346.15
2025-05-18,222.28,243.94,219.14,232.22,21718175.8
2025-05-19,232.22,249.83,212.07,247.81,28003200.44
2025-05-20,247.81,270.29,246.6,259.44,47890776.09
2025-05-21,259.44,262.1,243.33,247.7,24781640.15
2025-05-22,247.7,259.97,246.74,256.97,24698756.25
2025-05-23,256.97,264.11,239.43,256.2,32769387.65
2025-05-24,256.2,276.96,250.9,261.95,27086733.12
2025-05-25,261.95,270.67,256.59,269.39,21417936.66
2025-05-26,269.39,276.42,259.5,267.54,17964592.64
2025-05-27,267.54,282.86,263.14,271.76,23982506.17
2025-05-28,271.76,274.76,260.54,265,14428539.29
2025-05-29,265,274.38,249.06,250.12,24067776.97
2025-05-30,250.12,256.26,240.29,251.14,18297917.18
2025-05-31,251.14,254.48,242.34,247.08,13340326.68
2025-06-01,247.08,254.53,237.74,246.19,12439553.86
2025-06-02,246.19,258.24,239.4,257.85,16025752.76
2025-06-03,257.85,273.09,254.47,266.56,15586400.56
2025-06-04,266.56,275.88,262.93,264.4,17739973.32
2025-06-05,264.4,266.98,240.24,241.9,21744994.71
2025-06-06,241.9,255.2,239.99,251.1,12273389.13
2025-06-07,251.1,260.6,249.53,257.57,7380603.44
2025-06-08,257.57,257.69,252.4,253.97,4678695.14
2025-06-09,253.97,285.74,250.5,283.41,22810511.74
2025-06-10,283.41,317.72,282.78,308.38,53504635.18
2025-06-11,308.38,325.11,300.19,303.99,30155490.43
2025-06-12,303.99,309.32,288.53,294.06,27251220.38
2025-06-13,294.06,294.31,262.24,291.28,48071650.56
2025-06-14,291.28,291.28,268.17,275.29,16275230.43
2025-06-15,275.29,279,266.47,274.94,8570841.68
2025-06-16,274.94,293.93,271.95,275.12,29152815.13
2025-06-17,275.12,283.8,262.22,266.67,26551199.12
2025-06-18,266.67,270.15,255.3,259.09,22586747.42
2025-06-19,259.09,266.44,249,255.73,15693511.61
2025-06-20,255.73,264.6,242.05,247.36,19908036.06
2025-06-21,247.36,250.03,227.08,234.9,13749300.77
2025-06-22,234.9,239.06,213.23,227.89,27211777.59
2025-06-23,227.89,258.48,221.71,257.36,28537734.32
2025-06-24,257.36,269.7,253.31,264.12,20021383.8
2025-06-25,264.12,271.14,254.47,256.04,15075686.21
2025-06-26,256.04,265.71,249.21,250.45,14286122.88
2025-06-27,250.45,266.85,248.75,259.41,16825684.58
2025-06-28,259.41,262,253.23,260.02,4506988.92
2025-06-29,260.02,280.72,256.54,278.68,14611204.65
2025-06-30,278.68,284.91,268.61,274.58,21779733.91
2025-07-01,274.58,277.57,259.68,260,9546655.26
2025-07-02,260,285.29,257.37,276.22,19444264.24
2025-07-03,276.22,291.01,272.37,279.48,15542438.36
2025-07-04,279.48,282.97,258.75,266.04,12609084.23
2025-07-05,266.04,276.67,265.16,273.62,5874739.65
2025-07-06,273.62,291.7,270.04,287.43,9776412.87
2025-07-07,287.43,290.74,277.68,283.23,13184463.83
2025-07-08,283.23,294.87,276.93,293.05,18160668.07
2025-07-09,293.05,306.67,290.21,301.87,23682118.83
2025-07-10,301.87,315.86,292.55,308.72,28815459.13
2025-07-11,308.72,318.15,294.5,297.54,25673999.61
2025-07-12,297.54,306.89,293.18,302.08,12334936.49
2025-07-13,302.08,317.78,300.14,305.99,13167558.27
2025-07-14,305.99,331.63,305.41,315.24,28098315.23
2025-07-15,315.24,331.31,305.74,327.47,29306526
2025-07-16,327.47,334.98,321.22,323.48,18985626.65
2025-07-17,323.48,331.93,312.65,321.78,25536599.91
2025-07-18,321.78,338.18,311.72,324.6,42295422.35
2025-07-19,324.6,325.83,312.11,319.35,6221085.24
2025-07-20,319.35,335.31,317.58,324.52,19082901.46
2025-07-21,324.52,334.8,318.31,322.36,16098309.22
2025-07-22,322.36,324.52,300.35,310.75,25480781.08
2025-07-23,310.75,311.82,282.46,290.52,18465783.21
2025-07-24,290.52,295.61,276.52,286.21,13906470.22
2025-07-25,286.21,295.34,280.4,294.28,13683124.88
2025-07-26,294.28,299.76,292.39,294.99,5846005.72
2025-07-27,294.99,305.79,294.14,305.13,5858654.59
2025-07-28,305.13,308.98,285.82,288.94,10302218.95
2025-07-29,288.94,295.54,279.21,282.29,11693484.64
2025-07-30,282.29,284.67,264.36,274.53,11314660.52
2025-07-31,274.53,280.12,259.94,260.92,10988476.77
2025-08-01,260.92,262.7,249.17,255.4,15774716.56
2025-08-02,255.4,257.93,245.03,249.37,6952879.92
2025-08-03,249.37,260.89,246.64,260.05,5136808.62
2025-08-04,260.05,271.06,259.64,267.77,7899925.62
2025-08-05,267.77,268.2,267.16,267.67,32834.16
