date,open,high,low,close,volume
2025-05-08,0.3109,0.3672,0.3105,0.3625,7502571.94
2025-05-09,0.3625,0.3932,0.3602,0.3786,9332455.71
2025-05-10,0.3786,0.4974,0.373,0.4843,28273825.16
2025-05-11,0.4843,0.505,0.44,0.4515,22166271.54
2025-05-12,0.4515,0.4804,0.4156,0.4305,21308688.81
2025-05-13,0.4305,0.4648,0.4066,0.4571,14581082.39
2025-05-14,0.4571,0.4615,0.4206,0.4267,10656734
2025-05-15,0.4267,0.4352,0.3877,0.3981,9591951.92
2025-05-16,0.3981,0.4176,0.3855,0.3898,9151174.02
2025-05-17,0.3898,0.3909,0.3689,0.3761,10695803.94
2025-05-18,0.3761,0.4079,0.3663,0.3953,9959636.78
2025-05-19,0.3953,0.4,0.3642,0.3921,9130183.41
2025-05-20,0.3921,0.402,0.38,0.3939,7633613.76
2025-05-21,0.3939,0.42,0.3899,0.4113,11130132.75
2025-05-22,0.4113,0.4389,0.41,0.4291,9982835.89
2025-05-23,0.4291,0.4447,0.3883,0.3911,11494862.7
2025-05-24,0.3911,0.4018,0.3884,0.3923,2422748.72
2025-05-25,0.3923,0.3949,0.3755,0.3941,4117131.55
2025-05-26,0.3941,0.4069,0.3873,0.3924,5020241.13
2025-05-27,0.3924,0.4147,0.38,0.4022,6613195.05
2025-05-28,0.4022,0.4174,0.3895,0.4098,5923594.51
2025-05-29,0.4098,0.4416,0.3938,0.3965,10769146.36
2025-05-30,0.3965,0.3989,0.3319,0.3335,8850426.45
2025-05-31,0.3335,0.3472,0.3202,0.3399,4624047.84
2025-06-01,0.3399,0.3448,0.3302,0.3428,2868247.85
2025-06-02,0.3428,0.36,0.3333,0.3582,5345673.58
2025-06-03,0.3582,0.3734,0.3559,0.36,5121354.92
2025-06-04,0.36,0.3738,0.3548,0.3592,4087259.26
2025-06-05,0.3592,0.3639,0.3172,0.3237,4720903.16
2025-06-06,0.3237,0.3467,0.3228,0.3322,3835157.75
2025-06-07,0.3322,0.3499,0.3316,0.348,2052219.54
2025-06-08,0.348,0.3498,0.3381,0.3423,1696084.51
2025-06-09,0.3423,0.3699,0.3361,0.3689,2334104.91
2025-06-10,0.3689,0.4192,0.3621,0.4142,7731152.3
2025-06-11,0.4142,0.4265,0.3938,0.3974,6127168.52
2025-06-12,0.3974,0.4014,0.3656,0.3663,4999136.22
2025-06-13,0.3663,0.3666,0.3303,0.3489,7143128.62
2025-06-14,0.3489,0.3499,0.3274,0.3335,2884035.31
2025-06-15,0.3335,0.3363,0.3192,0.3278,3140660.33
2025-06-16,0.3278,0.3422,0.3176,0.3186,6489202.84
2025-06-17,0.3186,0.3262,0.2993,0.3035,5476824.56
2025-06-18,0.3035,0.311,0.29,0.3071,3588213.61
2025-06-19,0.3071,0.3116,0.2968,0.3014,2151127.32
2025-06-20,0.3014,0.3102,0.2835,0.2866,4134841.02
2025-06-21,0.2866,0.2921,0.2678,0.2748,3482713.7
2025-06-22,0.2748,0.281,0.253,0.2677,5013802.33
2025-06-23,0.2677,0.3049,0.2647,0.302,5512756.67
2025-06-24,0.302,0.3352,0.2986,0.3153,8892083.39
2025-06-25,0.3153,0.3254,0.3059,0.3091,9853186.18
