date,open,high,low,close,volume
2025-05-11,5.383,5.419,5.118,5.31,3663441.09
2025-05-12,5.31,5.496,5.113,5.235,4633369.01
2025-05-13,5.235,5.368,4.974,5.265,4156667.34
2025-05-14,5.265,5.347,5.042,5.092,3397014.85
2025-05-15,5.092,5.128,4.766,4.868,4620606.97
2025-05-16,4.868,4.989,4.783,4.815,2218650.78
2025-05-17,4.815,4.834,4.657,4.718,2467558.44
2025-05-18,4.718,5.136,4.639,4.967,4645800.86
2025-05-19,4.967,5.005,4.584,4.781,3699645.41
2025-05-20,4.781,4.886,4.658,4.848,2563403.87
2025-05-21,4.848,5.069,4.782,4.977,3730675.29
2025-05-22,4.977,5.23,4.973,5.217,3276221.11
2025-05-23,5.217,5.344,4.771,4.795,4756378.07
2025-05-24,4.795,4.862,4.696,4.716,2307649.25
2025-05-25,4.716,4.819,4.577,4.793,2121256.1
2025-05-26,4.793,4.954,4.747,4.779,3327746.1
2025-05-27,4.779,4.961,4.68,4.756,4314371.82
2025-05-28,4.756,4.854,4.642,4.846,2617162.79
2025-05-29,4.846,4.919,4.599,4.614,2817831.19
2025-05-30,4.614,4.638,4.237,4.299,4565878.09
2025-05-31,4.299,4.394,4.184,4.348,2470364.98
2025-06-01,4.348,4.387,4.259,4.369,1803866.18
2025-06-02,4.369,4.493,4.261,4.472,2408656.85
2025-06-03,4.472,4.532,4.377,4.418,1775934.74
2025-06-04,4.418,4.471,4.245,4.271,2162472.31
2025-06-05,4.271,4.353,4.032,4.083,3965993.04
2025-06-06,4.083,4.295,4.07,4.176,1881264.36
2025-06-07,4.176,4.331,4.176,4.311,1108325.47
2025-06-08,4.311,4.328,4.205,4.27,1093995.13
2025-06-09,4.27,4.481,4.21,4.436,1829313.94
2025-06-10,4.436,4.626,4.381,4.599,2612724.86
2025-06-11,4.599,4.626,4.457,4.508,1811991.68
2025-06-12,4.508,4.517,4.215,4.216,1933596.45
2025-06-13,4.216,4.217,4.008,4.132,3051634.45
2025-06-14,4.132,4.16,4.022,4.089,1255142.64
2025-06-15,4.089,4.134,4.011,4.095,1119967.92
2025-06-16,4.095,4.298,4.065,4.14,1681247.39
2025-06-17,4.14,4.198,3.974,4.022,2520465.27
2025-06-18,4.022,4.079,3.923,4.016,1718395.73
2025-06-19,4.016,4.076,3.96,4.039,1255545.18
2025-06-20,4.039,4.083,3.83,3.928,2460478.43
2025-06-21,3.928,3.991,3.696,3.794,1667842.16
2025-06-22,3.794,3.847,3.554,3.721,3388123.93
2025-06-23,3.721,4.1,3.71,4.075,2298034.95
2025-06-24,4.075,4.141,3.996,4.076,2196175.13
2025-06-25,4.076,4.083,3.981,4.003,1671250.85
2025-06-26,4.003,4.067,3.891,3.895,2645330.21
2025-06-27,3.895,3.95,3.849,3.929,3307318.68
2025-06-28,3.929,4.032,3.919,3.996,1286710.45
2025-06-29,3.996,4.233,3.965,4.206,2389879.21
2025-06-30,4.206,4.239,4.059,4.094,1745397.55
2025-07-01,4.094,4.108,3.916,3.93,2115432.5
2025-07-02,3.93,4.255,3.903,4.174,2729014.68
2025-07-03,4.174,4.264,4.158,4.186,1469376.18
2025-07-04,4.186,4.2,3.955,4.001,2061355.88
2025-07-05,4.001,4.033,3.948,4.013,1144740.92
2025-07-06,4.013,4.136,3.98,4.079,1043312.5
2025-07-07,4.079,4.114,4.013,4.048,1081357.94
2025-07-08,4.048,4.176,3.999,4.128,3036262.71
2025-07-09,4.128,4.363,4.096,4.315,3336326.64
2025-07-10,4.315,4.626,4.29,4.618,4180110.95
2025-07-11,4.618,4.799,4.549,4.643,4870336.92
2025-07-12,4.643,4.733,4.497,4.58,2748770.42
2025-07-13,4.58,4.759,4.567,4.682,2125320.42
2025-07-14,4.682,4.854,4.489,4.557,4514488.52
2025-07-15,4.557,4.718,4.434,4.67,3895788
2025-07-16,4.67,4.881,4.607,4.747,3829605.87
2025-07-17,4.747,4.904,4.639,4.86,4541774.34
2025-07-18,4.86,5.16,4.787,4.859,6479493.78
2025-07-19,4.859,5.051,4.758,5.019,2788049.65
2025-07-20,5.019,5.283,4.986,5.177,4714876.13
2025-07-21,5.177,5.32,5.066,5.189,3853979.71
2025-07-22,5.189,5.211,4.925,5.113,6375179.7
2025-07-23,5.113,5.139,4.563,4.704,5180180.23
2025-07-24,4.704,4.807,4.465,4.625,3677273.08
2025-07-25,4.625,4.738,4.503,4.71,3050596.11
2025-07-26,4.71,4.838,4.672,4.765,2321747.53
2025-07-27,4.765,4.892,4.738,4.876,2149523.64
2025-07-28,4.876,4.95,4.611,4.643,5195494.45
2025-07-29,4.643,4.77,4.523,4.616,2453684.88
2025-07-30,4.616,4.617,4.25,4.417,4057062.75
2025-07-31,4.417,4.515,4.188,4.209,3072266.67
2025-08-01,4.209,4.262,4.042,4.14,4997488.66
2025-08-02,4.14,4.199,4.009,4.093,2616177.95
2025-08-03,4.093,4.285,4.038,4.274,1739927.66
2025-08-04,4.274,4.339,4.22,4.312,3055724.7
2025-08-05,4.312,4.317,4.137,4.23,2453277.66
2025-08-06,4.23,4.343,4.132,4.322,1947765.22
2025-08-07,4.322,4.471,4.291,4.471,2163509.47
2025-08-08,4.471,4.534,4.399,4.489,4990989.31
