date,open,high,low,close,volume
2025-05-09,22.15,23.98,21.96,23.28,30425184.29
2025-05-10,23.28,25.98,23.03,25.81,26629554.51
2025-05-11,25.81,26.01,24.16,24.79,20183000.38
2025-05-12,24.79,26.82,23.74,24.84,31577671.1
2025-05-13,24.84,26.26,23.47,25.73,26692686.34
2025-05-14,25.73,26.53,24.76,24.97,26973229.02
2025-05-15,24.97,25.11,22.95,23.51,24025903.4
2025-05-16,23.51,24.05,22.69,23.08,13588124.92
2025-05-17,23.08,23.13,21.97,22.18,9635164.06
2025-05-18,22.18,23.86,21.59,23.07,21973602.84
2025-05-19,23.07,23.19,21.27,22.27,14261424.99
2025-05-20,22.27,22.82,21.77,22.61,15625957.14
2025-05-21,22.61,23.81,22.17,23.18,19737978.32
2025-05-22,23.18,25.43,23.15,25.26,34226665.74
2025-05-23,25.26,25.97,22.93,23.07,26930751.89
2025-05-24,23.07,23.48,22.77,22.96,10119952.76
2025-05-25,22.96,23.47,22.04,23.45,9114335.52
2025-05-26,23.45,24.02,22.89,23.08,8059084.08
2025-05-27,23.08,23.89,22.53,23.39,15193384.04
2025-05-28,23.39,23.77,22.78,23.61,11384944.8
2025-05-29,23.61,24.35,22.18,22.24,18788547.14
2025-05-30,22.24,22.34,20.42,20.56,17668002.09
2025-05-31,20.56,21.13,19.79,20.81,10619792.86
2025-06-01,20.81,20.97,20.2,20.89,5887331.82
2025-06-02,20.89,21.31,20.24,21.16,9771453.04
2025-06-03,21.16,21.71,20.92,21.15,7714278.04
2025-06-04,21.15,21.64,20.09,20.1,8108529.95
2025-06-05,20.1,20.55,18.44,18.76,18217840.76
2025-06-06,18.76,19.97,18.66,19.66,10101880.46
2025-06-07,19.66,21.13,19.59,20.67,8883001.6
2025-06-08,20.67,21.5,20.16,21.05,8784059.12
2025-06-09,21.05,22.04,20.23,21.96,10209199.7
2025-06-10,21.96,22.58,21.53,22.57,15655581.41
2025-06-11,22.57,22.77,21.34,21.58,12622262.93
2025-06-12,21.58,21.62,20.18,20.3,9934077.01
2025-06-13,20.3,20.31,18.5,19.42,19518948.81
2025-06-14,19.42,19.43,18.72,18.95,6015305.49
2025-06-15,18.95,19.29,18.75,19.11,4486383.95
2025-06-16,19.11,20,18.91,19.06,8711708.36
2025-06-17,19.06,19.48,18.14,18.6,13242212.82
2025-06-18,18.6,18.9,18.08,18.16,18781385.51
2025-06-19,18.16,18.39,17.65,18.06,15447950.84
2025-06-20,18.06,18.42,16.96,17.37,10493227.75
2025-06-21,17.37,17.64,16.33,16.83,10825462.59
2025-06-22,16.83,17.11,15.62,16.54,15441060
2025-06-23,16.54,18.2,16.27,18.08,14811401.79
2025-06-24,18.08,18.5,17.91,18.24,13271730.11
2025-06-25,18.24,18.37,17.43,17.58,14309130.08
2025-06-26,17.58,18.02,17.11,17.24,6572969.66
2025-06-27,17.24,17.78,17.03,17.59,8538201.35
2025-06-28,17.59,18.08,17.5,17.99,5460017.43
2025-06-29,17.99,18.89,17.81,18.75,4462670.51
2025-06-30,18.75,18.88,17.71,17.98,9858265.25
2025-07-01,17.98,18.06,16.97,17.11,7614486.14
2025-07-02,17.11,18.83,16.98,18.52,13082536.33
2025-07-03,18.52,19.17,18.35,18.55,9273285.84
2025-07-04,18.55,18.88,17.52,17.8,7089331.68
2025-07-05,17.8,17.99,17.63,17.92,2517450.01
2025-07-06,17.92,18.61,17.76,18.29,5261155.04
2025-07-07,18.29,18.58,17.81,18,4968079.85
2025-07-08,18,18.48,17.69,18.37,11099210.12
2025-07-09,18.37,19.62,18.1,19.51,14034802.29
2025-07-10,19.51,20.78,19.34,20.7,13556363.44
2025-07-11,20.7,21.53,20.34,20.68,17367478.39
2025-07-12,20.68,21.08,20.19,20.69,11898812.46
2025-07-13,20.69,21.78,20.68,21.21,16528334.95
2025-07-14,21.21,22.08,21.03,21.27,21008151.68
2025-07-15,21.27,22.57,20.4,22.51,24075831.25
2025-07-16,22.51,23.03,21.62,22.68,24306911.81
2025-07-17,22.68,24.33,22.04,23.92,30958727.17
2025-07-18,23.92,25.04,23.09,23.54,34790620.05
2025-07-19,23.54,25.24,23.02,24.51,22200280.46
2025-07-20,24.51,25.56,24.32,25.06,24122423.3
2025-07-21,25.06,26.47,24.66,25.44,31414244.47
2025-07-22,25.44,26.09,24.73,25.9,49860403.78
2025-07-23,25.9,26.12,23.17,23.96,34628354.15
2025-07-24,23.96,24.45,22.56,23.67,21449689.12
2025-07-25,23.67,24.03,22.87,24,15766784.41
2025-07-26,24,25.77,23.86,24.93,18443350.52
2025-07-27,24.93,26.46,24.76,26.06,20791123.34
2025-07-28,26.06,27.38,25,25.19,41850357.89
2025-07-29,25.19,25.51,23.88,24.37,27238272.81
2025-07-30,24.37,24.5,22.42,23.31,22577474.33
2025-07-31,23.31,24.11,22.4,22.48,16012014.57
2025-08-01,22.48,22.58,21.03,21.53,29122839.5
2025-08-02,21.53,21.81,20.66,20.85,14270201.85
2025-08-03,20.85,21.54,20.58,21.37,6627572.76
2025-08-04,21.37,23.13,21.35,23.11,33069137.39
2025-08-05,23.11,23.12,22.99,23.07,274570
2025-08-06,21.92,21.95,21.62,21.73,1608138.14
