date,open,high,low,close,volume
2025-05-08,4.231,5.18,4.459,4.518,1797957.24
2025-05-09,4.518,4.841,4.336,4.456,1162616.36
2025-05-10,4.456,5.416,4.865,4.979,1355856.02
2025-05-11,4.979,5.012,4.781,4.861,1320235.67
2025-05-12,4.861,4.906,4.704,4.804,1314480.92
2025-05-13,4.804,5.218,4.738,4.835,1146824.16
2025-05-14,4.835,4.86,4.62,4.758,1301167.87
2025-05-15,4.758,4.96,4.603,4.907,1105462.82
2025-05-16,4.907,5.053,4.817,5.035,1130303.76
2025-05-17,5.035,5.044,4.863,4.95,1254350.07
2025-05-18,4.95,5.475,4.977,5.162,1407505.86
2025-05-19,5.162,5.525,5.108,5.227,1195267.37
2025-05-20,5.227,5.3,5.068,5.169,968458.87
2025-05-21,5.169,5.403,5.084,5.242,1084029.2
2025-05-22,5.242,5.498,5.16,5.25,1156255.02
2025-05-23,5.25,5.592,4.943,5.448,1264188.93
2025-05-24,5.448,5.669,5.386,5.609,1136726.83
2025-05-25,5.609,5.735,5.327,5.406,1002665.9
2025-05-26,5.406,5.483,5.28,5.326,976307.73
2025-05-27,5.326,5.585,5.271,5.359,1088406.29
2025-05-28,5.359,5.48,5.23,5.249,1153965.74
2025-05-29,5.249,5.256,5.032,5.148,1230603.18
2025-05-30,5.148,5.041,4.638,4.777,1172700.63
2025-05-31,4.777,4.826,4.538,4.742,1056816.5
2025-06-01,4.742,4.834,4.707,4.789,1117864.61
2025-06-02,4.789,4.989,4.759,4.769,1294856.95
2025-06-03,4.769,4.868,4.73,4.814,1191957.49
2025-06-04,4.814,4.857,4.698,4.76,962362.97
2025-06-05,4.76,4.568,4.278,4.544,1232990.91
2025-06-06,4.544,4.704,4.525,4.615,1360183
2025-06-07,4.615,4.762,4.63,4.684,1222398.27
2025-06-08,4.684,4.69,4.59,4.66,1128115.49
2025-06-09,4.66,5.038,4.754,4.773,1043649.48
2025-06-10,4.773,5.035,4.793,4.83,1190119.94
2025-06-11,4.83,4.93,4.675,4.761,1035933.23
2025-06-12,4.761,4.646,4.475,4.57,875345.49
2025-06-13,4.57,4.727,4.443,4.559,998691.66
2025-06-14,4.559,4.607,4.453,4.536,1195406.1
2025-06-15,4.536,4.62,4.49,4.523,1171347.54
2025-06-16,4.523,4.571,4.35,4.546,1038767.41
2025-06-17,4.546,4.532,4.341,4.419,918012.09
2025-06-18,4.419,4.461,4.243,4.304,1274741.29
2025-06-19,4.304,4.335,4.242,4.282,1262014.09
2025-06-20,4.282,4.345,4.027,4.237,1029519.81
2025-06-21,4.237,4.332,3.99,4.206,1178907.25
2025-06-22,4.206,4.205,3.96,4.034,1078749.68
2025-06-23,4.034,4.445,4.11,4.211,1175848.11
2025-06-24,4.211,4.356,4.221,4.311,1006581.85
2025-06-25,4.311,4.444,4.223,4.4,962619.52
2025-06-26,4.4,4.721,4.31,4.721,1026081.01
2025-06-27,4.721,4.769,4.526,4.645,1192580.16
2025-06-28,4.645,4.748,4.605,4.648,1194251.47
2025-06-29,4.648,4.802,4.58,4.635,1077122.81
2025-06-30,4.635,4.664,4.478,4.543,1228107.36
2025-07-01,4.543,4.544,4.374,4.458,1189198.89
2025-07-02,4.458,4.821,4.526,4.59,1171743.94
2025-07-03,4.59,4.658,4.513,4.583,1048181.01
2025-07-04,4.583,4.465,4.368,4.425,1208013.39
2025-07-05,4.425,4.468,4.372,4.392,1242625.86
2025-07-06,4.392,4.515,4.374,4.469,1194008.45
2025-07-07,4.469,4.444,4.271,4.304,1078623.57
2025-07-08,4.304,4.466,4.296,4.338,1031286.89
2025-07-09,4.338,4.623,4.349,4.415,1238473.06
2025-07-10,4.415,4.749,4.445,4.601,1428811.84
2025-07-11,4.601,4.675,4.4,4.498,577233.47
2025-07-12,4.498,4.525,4.34,4.372,229905.63
2025-07-13,4.372,4.448,4.314,4.4,277349.36
2025-07-14,4.399,4.49,4.321,4.459,292457.16
2025-07-15,4.459,4.558,4.322,4.546,902303.85
2025-07-16,4.546,4.777,4.551,4.765,493809.84
2025-07-17,4.765,4.861,4.646,4.777,371378.19
2025-07-18,4.777,5.079,4.692,4.878,1840369.31
2025-07-19,4.87,5.122,4.863,4.939,195506.21
2025-07-20,4.939,5.194,4.928,4.95,261291.17
2025-07-21,4.944,4.98,4.846,4.929,262242.79
2025-07-22,4.929,5.063,4.789,4.874,314435.3
2025-07-23,4.874,4.874,4.651,4.7,253888.06
2025-07-24,4.7,4.725,4.507,4.619,241248.8
2025-07-25,4.619,4.622,4.494,4.554,259759.86
2025-07-26,4.561,4.622,4.495,4.559,228125.28
2025-07-27,4.559,4.746,4.614,4.649,237756.02
2025-07-28,4.66,4.694,4.6,4.603,263968.04
2025-07-29,4.627,4.677,4.48,4.529,206460.43
2025-07-30,4.533,4.569,4.475,4.516,222527.75
2025-07-31,4.516,4.466,4.362,4.384,232709.88
2025-08-01,4.384,4.329,4.237,4.277,377243.95
2025-08-02,4.282,4.279,4.123,4.242,229389.26
2025-08-03,4.242,4.424,4.274,4.344,289724.06
2025-08-04,4.33,4.389,4.324,4.384,238360.81
2025-08-05,4.384,4.39,4.381,4.385,81967.69
