date,open,high,low,close,volume
2025-05-08,602.89,641.75,622.96,629.16,9030461.54
2025-05-09,629.16,670.72,624.18,666.81,9653394.05
2025-05-10,666.81,690.83,657.5,664,10139064.56
2025-05-11,664,667.64,648.8,650.98,6301408.38
2025-05-12,650.98,683.33,641.38,660.2,14489540.93
2025-05-13,660.2,669.49,653.98,664.39,7179546.82
2025-05-14,664.39,663.51,650.05,652.64,7857284.44
2025-05-15,652.64,667.56,648.67,651.89,7335902.58
2025-05-16,651.89,656.39,644.39,646.56,4712376.63
2025-05-17,646.56,644.95,638.25,639.79,3178497.1
2025-05-18,639.79,664.38,650.75,651.71,3623490.02
2025-05-19,651.71,658,644.06,649.97,4352189.19
2025-05-20,649.97,659.21,646.71,650.34,3941357.92
2025-05-21,650.47,692.41,646.47,673.02,12363565.39
2025-05-22,674,694.13,680.05,686.76,9129106.79
2025-05-23,686.76,668.47,655.16,657.2,10273084.84
2025-05-24,657.2,671.57,659.83,668.02,5434967.03
2025-05-25,668.02,678.24,668.64,669.73,5698553.13
2025-05-26,669.73,676.69,669.46,674.39,3064755.05
2025-05-27,674.39,691.67,670.2,687.09,8772443.92
2025-05-28,687.09,691.35,674.1,687.14,13223047.42
2025-05-29,687.14,678.4,664.04,674.91,8744541.2
2025-05-30,674.91,665.96,654.09,655.24,8777874.27
2025-05-31,655.24,663.2,652.63,658.38,7048372.07
2025-06-01,658.38,665.71,658.1,661.38,4835854.84
2025-06-02,661.38,670.93,658.33,666.38,6966343.38
2025-06-03,666.38,669.28,657.89,661.79,7079069.78
2025-06-04,661.79,668.7,656.65,663.57,6496343.44
2025-06-05,663.57,650.83,631.53,633.86,9153919.93
2025-06-06,633.86,653.39,642.01,643.48,3843170.99
2025-06-07,643.48,653.71,649.7,651.29,1784645.1
2025-06-08,651.29,653.29,649.38,652.24,2367137.07
2025-06-09,652.3,701.69,663.88,665.76,7730917.3
2025-06-10,665.76,701.22,669.4,673.62,9817517.49
2025-06-11,673.62,674.84,645.18,667.63,7575579.27
2025-06-12,667.71,657.72,649.16,655.18,6528131.58
2025-06-13,655.18,666.86,654.66,655.62,8675943.97
2025-06-14,655.62,654.83,643.43,646.07,3792261.28
2025-06-15,646.07,652.87,646.11,648.43,2133345.51
2025-06-16,648.43,658.55,646.48,651.18,4165473.46
2025-06-17,651.18,649.87,636.59,648.3,7266733.29
2025-06-18,648.3,653.28,641,645.1,7291958.46
2025-06-19,645.61,649.88,638.53,644.83,2050483.4
2025-06-20,644.74,645.09,629.69,641.89,6258936.57
2025-06-21,641.89,636.49,625.56,629.54,6981073.98
2025-06-22,629.54,625.18,614.58,616.19,5876032.74
2025-06-23,616.19,654.15,638.02,640.98,4232411.23
2025-06-24,640.98,648.37,641.68,643.91,2782279.01
2025-06-25,643.91,659.65,643.43,646.44,5164925.34
2025-06-26,646.44,645.82,639.72,642.72,1676605.87
2025-06-27,642.81,652.41,634.96,646.11,1688616
2025-06-28,646.17,649.23,644.62,648.91,1009864.99
2025-06-29,648.91,657.29,650.46,655.12,1771222.99
2025-06-30,655.12,658.02,644.63,657.06,6500118.75
2025-07-01,657.06,649.25,642.59,646.5,4682294.12
2025-07-02,646.5,668.78,657.78,660.07,8938842.31
2025-07-03,660.07,665.84,658.27,663.75,3403460.04
2025-07-04,663.75,657.02,651.41,653.89,1688067.27
2025-07-05,653.89,657.15,653.8,656.39,892657.42
2025-07-06,656.39,668.51,661.08,663.38,5779412.48
2025-07-07,663.38,663.31,653.24,661.03,8093233.67
2025-07-08,661.03,667.35,659.18,660.7,6019120.5
2025-07-09,660.7,680.1,665.86,669.09,9311451.59
2025-07-10,669.09,703.57,677.58,685.93,12256725.16
2025-07-11,685.93,702.03,682.87,690.16,9254948.17
2025-07-12,690.16,695.06,682.26,686.13,3166785.15
2025-07-13,686.13,698.68,691.42,692.13,3689318.07
2025-07-14,692.13,697.76,681.22,689.37,10334578.49
2025-07-15,689.37,693.95,676.52,690.06,6917520.55
2025-07-16,690.06,712.08,688.7,709,23548743
2025-07-17,709,732.4,711.52,721.3,17050658.81
2025-07-18,721.3,758.67,713.23,730.34,27694294.21
2025-07-19,730.34,740.14,719.86,733.54,16262943.61
2025-07-20,733.54,760.05,729.2,757.12,18650083.56
2025-07-21,757.12,770.77,747.4,766.66,24779907.25
2025-07-22,766.66,788.31,765.15,787.11,22404014.68
2025-07-23,787.11,811.82,761.56,777.01,28794197.57
2025-07-24,777.01,781.54,750.52,771.12,14357910.26
2025-07-25,771.12,786.92,763.98,785.63,23722387.58
2025-07-26,785.63,796.78,777.9,793.71,4784678.62
2025-07-27,793.71,846.08,802.23,844.17,22746860.71
2025-07-28,844.17,855.11,821.46,824.06,23690545.49
2025-07-29,824.06,832.91,803.66,805.19,21542702.31
2025-07-30,805.19,809.42,779.95,793.62,15981558.14
2025-07-31,793.62,794.84,773.08,783.15,19407768.14
2025-08-01,783.15,778.01,746.86,756.83,25439567.32
2025-08-02,756.83,760.93,733.13,736.62,11446351.84
2025-08-03,736.62,753.63,743.92,751.58,8168246.91
2025-08-04,751.58,769.22,755.98,768.76,13936356.99
2025-08-05,768.62,768.84,766.25,768.8,2412769.1
