date,open,high,low,close,volume
2025-05-08,0.09152,0.09916,0.09143,0.09836,9549800.93
2025-05-09,0.09836,0.1031,0.09713,0.1013,9162984.17
2025-05-10,0.1013,0.1051,0.09846,0.1049,9172320.15
2025-05-11,0.1049,0.1054,0.09712,0.09855,6823911.83
2025-05-12,0.09855,0.1033,0.09669,0.1014,9968646.52
2025-05-13,0.1014,0.1041,0.09528,0.1032,11094740.64
2025-05-14,0.1032,0.1038,0.1005,0.1015,7468177.47
2025-05-15,0.1015,0.1034,0.09734,0.1011,9952829.05
2025-05-16,0.1011,0.1022,0.09941,0.0996,4534140.98
2025-05-17,0.0996,0.1004,0.09645,0.09772,3633932.32
2025-05-18,0.09772,0.1009,0.09569,0.09975,4437649.75
2025-05-19,0.09975,0.09999,0.0929,0.09608,5312468.37
2025-05-20,0.09608,0.09757,0.09467,0.09687,3811149.62
2025-05-21,0.09687,0.09887,0.09484,0.09775,5489449.06
2025-05-22,0.09775,0.1019,0.0977,0.1003,7112856.31
2025-05-23,0.1003,0.1019,0.09458,0.0949,8575530.76
2025-05-24,0.0949,0.09746,0.09436,0.09583,3199509.74
2025-05-25,0.09583,0.09674,0.09371,0.09666,3490492.37
2025-05-26,0.09666,0.09756,0.09604,0.09708,4000874.63
2025-05-27,0.09708,0.103,0.09528,0.09812,7823524.26
2025-05-28,0.09812,0.09848,0.09574,0.09785,4209493.35
2025-05-29,0.09785,0.09889,0.09402,0.09441,4872252.28
2025-05-30,0.09441,0.1041,0.08997,0.09972,24284016.53
2025-05-31,0.09972,0.109,0.09848,0.1056,27105428.45
2025-06-01,0.1056,0.1089,0.1018,0.1059,9874559.63
2025-06-02,0.1059,0.1062,0.1014,0.1033,5659252.32
2025-06-03,0.1033,0.1046,0.1023,0.1023,5442105.47
2025-06-04,0.1023,0.1035,0.09998,0.1002,3978898.59
2025-06-05,0.1002,0.1035,0.09546,0.09813,5429274.62
2025-06-06,0.09813,0.1002,0.09641,0.09667,3212453.77
2025-06-07,0.09667,0.09819,0.09615,0.09699,1941094.66
2025-06-08,0.09699,0.09827,0.09665,0.09804,2256232.07
2025-06-09,0.09804,0.1013,0.09779,0.1012,3103429.86
2025-06-10,0.1012,0.102,0.09964,0.1019,3740834.1
2025-06-11,0.1019,0.1019,0.0978,0.09901,4250098.65
2025-06-12,0.09901,0.09927,0.09546,0.09655,4265293.89
2025-06-13,0.09655,0.09656,0.08785,0.09207,7507427.94
2025-06-14,0.09207,0.09208,0.08975,0.09095,2080147.3
2025-06-15,0.09095,0.09154,0.08965,0.09089,1767559.92
2025-06-16,0.09089,0.09339,0.09025,0.09043,3623391.53
2025-06-17,0.09043,0.09154,0.08733,0.08805,4172173.9
2025-06-18,0.08805,0.09378,0.08544,0.09123,6765692.04
2025-06-19,0.09123,0.09194,0.09004,0.09095,2296738.82
2025-06-20,0.09095,0.09171,0.08738,0.08809,4401546.02
2025-06-21,0.08809,0.08906,0.08329,0.08482,2959982.67
2025-06-22,0.08482,0.08517,0.07721,0.07998,5711865.29
2025-06-23,0.07998,0.08508,0.07868,0.08487,3757675.01
2025-06-24,0.08487,0.0869,0.08373,0.08428,2834673.12
2025-06-25,0.08428,0.08463,0.08151,0.0823,3121165.74
2025-06-26,0.0823,0.0835,0.08014,0.08055,2133403.49
2025-06-27,0.08055,0.08168,0.07984,0.08093,2352246.52
2025-06-28,0.08093,0.08131,0.08034,0.08115,1584596.28
2025-06-29,0.08115,0.08252,0.08036,0.08183,2284425.36
2025-06-30,0.08183,0.08246,0.07994,0.08168,3549157.87
2025-07-01,0.08168,0.08203,0.07931,0.07999,2150827.89
2025-07-02,0.07999,0.08318,0.07923,0.08257,2910340.32
2025-07-03,0.08257,0.08383,0.08195,0.08312,2582972.11
2025-07-04,0.08312,0.08342,0.08041,0.08113,1771266.26
2025-07-05,0.08113,0.08165,0.08023,0.08117,1443314.57
2025-07-06,0.08117,0.08182,0.08031,0.0812,2252648.69
2025-07-07,0.0812,0.08181,0.08045,0.08073,2254924.48
2025-07-08,0.08073,0.09999,0.08002,0.09712,40899599.56
2025-07-09,0.09712,0.1004,0.09233,0.09697,20381341.03
2025-07-10,0.09697,0.09945,0.09308,0.09789,11690297.27
2025-07-11,0.09789,0.1056,0.09521,0.1046,17765626.15
2025-07-12,0.1046,0.1121,0.0996,0.1017,19064228.48
