date,open,high,low,close,volume
2025-05-09,0.1982,0.2144,0.193,0.2053,131674329.55
2025-05-10,0.2053,0.2509,0.2034,0.2507,152414275.65
2025-05-11,0.2507,0.2596,0.2222,0.2318,185085613.48
2025-05-12,0.2318,0.2531,0.2205,0.231,212142052.48
2025-05-13,0.231,0.2432,0.2173,0.2408,124750693.76
2025-05-14,0.2408,0.2475,0.2282,0.2328,96746080.83
2025-05-15,0.2328,0.2368,0.2138,0.2194,145928311.67
2025-05-16,0.2194,0.2309,0.2181,0.2212,86556617.91
2025-05-17,0.2212,0.2223,0.2109,0.2146,57847918.74
2025-05-18,0.2146,0.2378,0.2141,0.2332,98466105.23
2025-05-19,0.2332,0.2358,0.2139,0.2245,85984320.58
2025-05-20,0.2245,0.2308,0.2178,0.2264,76223312.57
2025-05-21,0.2264,0.2381,0.2229,0.2341,143726674.74
2025-05-22,0.2341,0.2458,0.234,0.2456,155142736.62
2025-05-23,0.2456,0.2543,0.2231,0.2252,170942525.36
2025-05-24,0.2252,0.2304,0.2237,0.2252,39328600.62
2025-05-25,0.2252,0.2265,0.2158,0.225,53565854.64
2025-05-26,0.225,0.2305,0.2226,0.2261,46335751.34
2025-05-27,0.2261,0.2322,0.2198,0.2261,61203961.47
2025-05-28,0.2261,0.2279,0.2169,0.2209,49710533.29
2025-05-29,0.2209,0.228,0.2141,0.2149,55357905.01
2025-05-30,0.2149,0.2164,0.1907,0.1936,109412417.26
2025-05-31,0.1936,0.1956,0.1856,0.1926,76087224.82
2025-06-01,0.1926,0.1949,0.1866,0.1938,58934984.32
2025-06-02,0.1938,0.1964,0.1886,0.1952,53620917.76
2025-06-03,0.1952,0.2006,0.1915,0.1932,65021606.8
2025-06-04,0.1932,0.1972,0.1872,0.1882,34687704.79
2025-06-05,0.1882,0.1925,0.1682,0.1712,86438144.32
2025-06-06,0.1712,0.1845,0.1696,0.1789,53734549.2
2025-06-07,0.1789,0.1887,0.1779,0.1852,46697542.85
2025-06-08,0.1852,0.1871,0.1809,0.1842,36750744.49
2025-06-09,0.1842,0.196,0.1803,0.1949,69190915.04
2025-06-10,0.1949,0.1986,0.189,0.1985,95709174.68
2025-06-11,0.1985,0.2066,0.1913,0.193,79211486.44
2025-06-12,0.193,0.1937,0.1801,0.1812,46983983.73
2025-06-13,0.1812,0.1815,0.17,0.1805,78295416.95
2025-06-14,0.1805,0.1805,0.1747,0.1784,31840454.75
2025-06-15,0.1784,0.1787,0.1715,0.1756,30265327
2025-06-16,0.1756,0.1812,0.1722,0.1728,51144412.48
2025-06-17,0.1728,0.1761,0.164,0.1694,60278219.6
2025-06-18,0.1694,0.1722,0.1642,0.1707,35060390.74
2025-06-19,0.1707,0.1721,0.1678,0.171,27008520.96
2025-06-20,0.171,0.172,0.1585,0.1624,47455067.08
2025-06-21,0.1624,0.1644,0.1505,0.1546,36630194.79
2025-06-22,0.1546,0.1577,0.1428,0.1513,92700250.27
2025-06-23,0.1513,0.1654,0.1487,0.1639,76632516.03
2025-06-24,0.1639,0.1677,0.1618,0.1658,49696634.37
2025-06-25,0.1658,0.1678,0.1627,0.1647,45592339.64
2025-06-26,0.1647,0.1681,0.158,0.1601,53790566.6
2025-06-27,0.1601,0.1632,0.1572,0.1611,47012170.58
2025-06-28,0.1611,0.1651,0.1606,0.1637,13917096.43
2025-06-29,0.1637,0.17,0.1627,0.1695,22816093.4
2025-06-30,0.1695,0.1698,0.1623,0.1652,46243080.54
2025-07-01,0.1652,0.1663,0.1569,0.1578,38750355.55
2025-07-02,0.1578,0.1727,0.1566,0.1688,65153186.34
2025-07-03,0.1688,0.1754,0.1676,0.1721,49812270.62
2025-07-04,0.1721,0.173,0.1613,0.1629,45417997.32
2025-07-05,0.1629,0.1651,0.162,0.1642,28047540.25
2025-07-06,0.1642,0.1751,0.1632,0.172,53687412.35
2025-07-07,0.172,0.1772,0.1658,0.168,78676014.74
2025-07-08,0.168,0.1719,0.166,0.171,37452481.16
2025-07-09,0.171,0.1865,0.17,0.1806,90643776.35
2025-07-10,0.1806,0.1964,0.1788,0.1951,69046029.45
2025-07-11,0.1951,0.2138,0.1913,0.2012,211951139.34
