date,open,high,low,close,volume
2025-05-11,5.311,5.36,4.954,5.096,18150256.75
2025-05-12,5.096,5.391,4.89,5.069,20532375.51
2025-05-13,5.069,5.272,4.824,5.195,14449871.85
2025-05-14,5.195,5.265,4.946,4.982,9887696.89
2025-05-15,4.982,5.027,4.682,4.775,13708484.14
2025-05-16,4.775,4.956,4.713,4.757,7399167.47
2025-05-17,4.757,4.768,4.559,4.614,7033763.86
2025-05-18,4.614,4.921,4.516,4.796,6964099.42
2025-05-19,4.796,4.819,4.417,4.597,6383944
2025-05-20,4.597,4.727,4.52,4.676,6427826.3
2025-05-21,4.676,4.879,4.616,4.742,10687953
2025-05-22,4.742,4.976,4.735,4.948,7753969.75
2025-05-23,4.948,5.119,4.533,4.561,15478524.03
2025-05-24,4.561,4.634,4.516,4.548,4276727.88
2025-05-25,4.548,4.563,4.358,4.525,5968023.5
2025-05-26,4.525,4.618,4.429,4.47,5018468.15
2025-05-27,4.47,4.615,4.375,4.537,6480048.37
2025-05-28,4.537,4.662,4.42,4.587,4430002.63
2025-05-29,4.587,4.681,4.331,4.333,7654578.77
2025-05-30,4.333,4.356,4.014,4.049,9686928
2025-05-31,4.049,4.122,3.9,4.078,5886027.52
2025-06-01,4.078,4.103,3.973,4.067,3681348.24
2025-06-02,4.067,4.172,3.956,4.148,5800684.35
2025-06-03,4.148,4.223,4.103,4.14,4426711.62
2025-06-04,4.14,4.214,3.987,4.008,6014891.54
2025-06-05,4.008,4.076,3.745,3.817,7814024.28
2025-06-06,3.817,3.993,3.808,3.89,3321982.86
2025-06-07,3.89,4.06,3.872,4.031,2619451.48
2025-06-08,4.031,4.114,3.98,4.026,3472567.16
2025-06-09,4.026,4.161,3.966,4.154,5602750.31
2025-06-10,4.154,4.316,4.097,4.295,9434169.31
2025-06-11,4.295,4.343,4.148,4.19,7759055.1
2025-06-12,4.19,4.204,3.91,3.922,7297600.57
2025-06-13,3.922,3.922,3.671,3.84,11211565.52
2025-06-14,3.84,3.846,3.719,3.783,4893798.12
2025-06-15,3.783,3.834,3.736,3.821,2904675.19
2025-06-16,3.821,3.992,3.788,3.847,6958963.72
2025-06-17,3.847,3.896,3.665,3.72,6755804.42
2025-06-18,3.72,3.786,3.576,3.623,6261511.05
2025-06-19,3.623,3.657,3.497,3.549,5759597.7
2025-06-20,3.549,3.577,3.339,3.439,9079078.71
2025-06-21,3.439,3.508,3.22,3.325,6432837.64
2025-06-22,3.325,3.363,3.017,3.154,15577563.32
2025-06-23,3.154,3.423,3.114,3.418,10976909.18
2025-06-24,3.418,3.523,3.389,3.441,6119040.38
2025-06-25,3.441,3.46,3.344,3.354,5551455.77
2025-06-26,3.354,3.434,3.272,3.3,5620891.86
2025-06-27,3.3,3.395,3.275,3.362,4553103.63
2025-06-28,3.362,3.426,3.333,3.409,2278281.79
2025-06-29,3.409,3.581,3.38,3.543,4353131.13
2025-06-30,3.543,3.561,3.352,3.399,6875251.41
2025-07-01,3.399,3.419,3.258,3.281,5681258.49
2025-07-02,3.281,3.623,3.246,3.545,8458479.27
2025-07-03,3.545,3.664,3.501,3.54,6865019
2025-07-04,3.54,3.562,3.316,3.359,7030687.95
2025-07-05,3.359,3.391,3.311,3.357,2538727.08
2025-07-06,3.357,3.448,3.33,3.394,5374266.55
2025-07-07,3.394,3.436,3.326,3.37,4430763.61
2025-07-08,3.37,3.475,3.327,3.448,8409580.76
2025-07-09,3.448,3.659,3.418,3.621,8800420.05
2025-07-10,3.621,3.892,3.592,3.88,11783127.86
2025-07-11,3.88,4.108,3.812,3.909,16434070.29
2025-07-12,3.909,4.066,3.798,3.891,9251026.16
2025-07-13,3.891,4.067,3.877,3.984,7338713.79
2025-07-14,3.984,4.196,3.903,3.951,13682886.45
2025-07-15,3.951,4.098,3.802,4.083,11904347.72
2025-07-16,4.083,4.269,4.013,4.158,13325993.29
2025-07-17,4.158,4.304,4.071,4.26,19997715.43
2025-07-18,4.26,4.625,4.141,4.231,27421885.32
2025-07-19,4.231,4.455,4.136,4.41,8106598.11
2025-07-20,4.41,4.587,4.351,4.482,15322389.91
2025-07-21,4.482,4.675,4.397,4.498,21231444.75
2025-07-22,4.498,4.554,4.282,4.552,22727884.41
2025-07-23,4.552,4.552,4.002,4.114,24291913.2
2025-07-24,4.114,4.201,3.899,4.003,17741509.39
2025-07-25,4.003,4.1,3.865,4.088,13977591.84
2025-07-26,4.088,4.197,4.07,4.126,6475300.48
2025-07-27,4.126,4.253,4.116,4.239,6877827.77
2025-07-28,4.239,4.309,3.933,3.964,11703857.98
2025-07-29,3.964,4.081,3.821,3.904,13114702.1
2025-07-30,3.904,3.92,3.629,3.807,12732546.14
2025-07-31,3.807,3.919,3.668,3.682,8891794.65
2025-08-01,3.682,3.723,3.45,3.547,17169535.54
2025-08-02,3.547,3.628,3.427,3.507,8311824.67
2025-08-03,3.507,3.626,3.459,3.604,6266926.65
2025-08-04,3.604,3.755,3.6,3.72,6981387.43
2025-08-05,3.72,3.721,3.707,3.718,62930.21
2025-08-06,3.62,3.62,3.576,3.588,502932.64
2025-08-07,3.675,3.872,3.645,3.866,9512930.96
2025-08-08,3.866,3.929,3.811,3.87,14113866.31
