date,open,high,low,close,volume
2025-05-08,0.2678,0.3512,0.2675,0.341,1590958.45
2025-05-09,0.341,0.4136,0.3333,0.3676,2372666.92
2025-05-10,0.3676,0.4378,0.3572,0.4179,1318383.28
2025-05-11,0.4179,0.4345,0.3882,0.4079,1582953.49
2025-05-12,0.4079,0.4386,0.37,0.3866,2810421.32
2025-05-13,0.3866,0.4608,0.3577,0.4545,2984692.48
2025-05-14,0.4545,0.4629,0.4003,0.4087,2192848.72
2025-05-15,0.4087,0.421,0.3581,0.3655,1720171.57
2025-05-16,0.3655,0.3941,0.3647,0.3801,1463866.65
2025-05-17,0.3801,0.3945,0.347,0.3504,5598443.37
2025-05-18,0.3504,0.4068,0.3477,0.3904,2342263.05
2025-05-19,0.3904,0.3954,0.343,0.3704,1987154.98
2025-05-20,0.3704,0.3971,0.3586,0.3769,1700276.68
2025-05-21,0.3769,0.4138,0.3677,0.397,2695540.47
2025-05-22,0.397,0.4227,0.3969,0.4165,2609497.3
2025-05-23,0.4165,0.447,0.3679,0.3705,3430638.09
2025-05-24,0.3705,0.3822,0.3649,0.3691,1523887.31
2025-05-25,0.3691,0.3799,0.3497,0.3784,1198675.89
2025-05-26,0.3784,0.3947,0.3713,0.3859,1236644.34
2025-05-27,0.3859,0.4143,0.3741,0.3979,1634450.8
2025-05-28,0.3979,0.4099,0.3727,0.39,1014393.83
2025-05-29,0.39,0.4124,0.3704,0.3723,2481340.22
2025-05-30,0.3723,0.3764,0.2988,0.3011,3069383.52
2025-05-31,0.3011,0.3107,0.2886,0.3055,864081.35
2025-06-01,0.3055,0.3176,0.3001,0.3136,362039.25
2025-06-02,0.3136,0.3299,0.301,0.3234,1114104.48
2025-06-03,0.3234,0.3487,0.3211,0.3376,3169310.24
2025-06-04,0.3376,0.3552,0.3119,0.3143,3061376.26
2025-06-05,0.3143,0.3206,0.2828,0.2845,2418483.99
2025-06-06,0.2845,0.3079,0.2845,0.2981,1280547.48
2025-06-07,0.2981,0.3367,0.298,0.321,1330192.17
2025-06-08,0.321,0.3228,0.3111,0.3169,522841.87
2025-06-09,0.3169,0.3444,0.3162,0.344,1210228.69
2025-06-10,0.344,0.3723,0.3332,0.3712,3022540.78
2025-06-11,0.3712,0.3769,0.3414,0.3462,3237492
2025-06-12,0.3462,0.3496,0.311,0.3121,1395691.17
2025-06-13,0.3121,0.3122,0.279,0.3002,2199231.21
2025-06-14,0.3002,0.301,0.287,0.2931,220283.06
2025-06-15,0.2931,0.3043,0.292,0.3029,327844.12
2025-06-16,0.3029,0.3161,0.2933,0.2936,938762.63
2025-06-17,0.2936,0.3022,0.2755,0.2801,883057.44
2025-06-18,0.2801,0.2866,0.2675,0.2851,765999.88
2025-06-19,0.2851,0.29,0.28,0.283,558883.13
2025-06-20,0.283,0.2923,0.2621,0.2659,2252384.69
2025-06-21,0.2659,0.2706,0.2412,0.2499,557479.25
2025-06-22,0.2499,0.2554,0.2229,0.238,1168242.46
2025-06-23,0.238,0.2717,0.2306,0.27,1175388.71
2025-06-24,0.27,0.2798,0.2638,0.2684,1638840.98
2025-06-25,0.2684,0.2735,0.2556,0.2575,555787.14
2025-06-26,0.2575,0.2721,0.2465,0.2497,494305.87
2025-06-27,0.2497,0.2567,0.2459,0.2532,199797.18
2025-06-28,0.2532,0.2673,0.2521,0.2647,204806.11
2025-06-29,0.2647,0.2866,0.2608,0.2795,1029665.36
2025-06-30,0.2795,0.2795,0.2627,0.2661,320849.09
2025-07-01,0.2661,0.2681,0.2508,0.2531,195422.13
2025-07-02,0.2531,0.2818,0.2493,0.2763,469053.38
2025-07-03,0.2763,0.2883,0.27,0.2762,869927.95
2025-07-04,0.2762,0.2803,0.2484,0.253,354811.95
2025-07-05,0.253,0.2573,0.2496,0.2552,104655.49
2025-07-06,0.2552,0.2674,0.2534,0.2617,132061.86
2025-07-07,0.2617,0.2683,0.2534,0.2565,221199.33
