date,open,high,low,close,volume
2025-05-11,20.7,20.8,19.52,19.95,4319472.43
2025-05-12,19.95,20.85,19.17,19.78,4495815.68
2025-05-13,19.78,20.99,18.95,20.66,3296206.99
2025-05-14,20.66,20.95,19.67,19.87,2382265.77
2025-05-15,19.87,20.07,18.55,18.95,2196533.91
2025-05-16,18.95,19.41,18.56,18.7,2451458.37
2025-05-17,18.7,18.75,17.92,18.13,1912086.94
2025-05-18,18.13,19.11,17.6,18.74,2390270.48
2025-05-19,18.74,18.77,17.39,18.53,2733324.29
2025-05-20,18.53,18.81,17.91,18.42,1794040.39
2025-05-21,18.42,19.3,18.21,18.99,2726362.23
2025-05-22,18.99,19.88,18.98,19.69,1930073.43
2025-05-23,19.69,20.15,18.4,18.49,2576715.68
2025-05-24,18.49,18.81,18.33,18.41,760568.5
2025-05-25,18.41,18.46,17.86,18.37,999560.71
2025-05-26,18.37,18.73,18.1,18.25,772107.26
2025-05-27,18.25,19,17.94,18.63,1004624.27
2025-05-28,18.63,18.86,18,18.47,958061.87
2025-05-29,18.47,19.18,18.06,18.13,1309290.05
2025-05-30,18.13,18.22,16.88,16.96,1536287.9
2025-05-31,16.96,17.13,16.45,16.95,1521223.77
2025-06-01,16.95,17.18,16.61,17.11,992571.88
2025-06-02,17.11,17.59,16.79,17.56,911814.75
2025-06-03,17.56,17.83,17.41,17.58,725767.39
2025-06-04,17.58,17.93,17.16,17.26,809598.93
2025-06-05,17.26,17.48,16.17,16.32,970587.22
2025-06-06,16.32,17.03,16.26,16.74,896002.74
2025-06-07,16.74,17.39,16.69,17.22,462537.78
2025-06-08,17.22,17.22,16.85,16.94,635665.13
2025-06-09,16.94,17.93,16.63,17.87,686839.9
2025-06-10,17.87,18.59,17.62,18.55,1172980.65
2025-06-11,18.55,18.72,17.95,18.09,1117979.02
2025-06-12,18.09,18.13,17.02,17.12,924388.31
2025-06-13,17.12,17.12,16,16.92,1875000.19
2025-06-14,16.92,16.92,16.48,16.65,402024.01
2025-06-15,16.65,16.81,16.37,16.68,211909.11
2025-06-16,16.68,17.52,16.49,16.94,829157.8
2025-06-17,16.94,17.17,16.21,16.49,571630.39
2025-06-18,16.49,16.69,16.06,16.54,566520.84
2025-06-19,16.54,16.78,16.41,16.72,560524.68
2025-06-20,16.72,16.91,15.85,16.13,588634.56
2025-06-21,16.13,16.28,15.25,15.59,729234.41
2025-06-22,15.59,15.77,14.5,15.21,1560498.87
2025-06-23,15.21,16.52,15.13,16.39,865079.36
2025-06-24,16.39,16.57,16.23,16.43,475741.92
2025-06-25,16.43,16.56,16.15,16.24,424364.09
2025-06-26,16.24,16.61,16.03,16.11,434044.24
2025-06-27,16.11,16.33,15.9,16.19,495298.96
2025-06-28,16.19,16.34,16.07,16.28,164236.14
2025-06-29,16.28,17.16,16.18,16.96,557833.72
2025-06-30,16.96,17.01,16.43,16.57,947897.31
2025-07-01,16.57,16.64,15.85,15.94,1020692.07
2025-07-02,15.94,17.22,15.83,16.96,1113851.52
2025-07-03,16.96,17.31,16.9,16.97,906647.07
2025-07-04,16.97,17.02,16.1,16.29,803541.69
2025-07-05,16.29,16.43,16.11,16.37,118466.97
2025-07-06,16.37,16.86,16.26,16.65,214324.54
2025-07-07,16.65,16.78,16.38,16.66,236454.19
2025-07-08,16.66,17.23,16.36,16.94,2086225.26
2025-07-09,16.94,17.78,16.8,17.66,1187589.82
2025-07-10,17.66,18.55,17.49,18.49,1210587.64
2025-07-11,18.49,18.9,18,18.26,1452250.94
2025-07-12,18.26,18.53,17.75,18.14,772576.17
2025-07-13,18.14,18.68,18.07,18.46,1048937.65
2025-07-14,18.46,19.2,18.3,18.55,1851215.17
2025-07-15,18.55,19.07,17.82,19.03,2575698.94
2025-07-16,19.03,20.33,18.91,19.87,3830879.62
2025-07-17,19.87,20.44,19.35,20.27,2913023.39
2025-07-18,20.27,24.96,20.15,23.17,17701744.12
2025-07-19,23.17,25.94,22.46,24.37,11301598.21
2025-07-20,24.37,25.6,24,24.69,7777082.5
2025-07-21,24.69,24.94,23.63,24.01,5792486.68
2025-07-22,24.01,24.86,22.94,24.22,6579836.31
2025-07-23,24.22,24.47,21.97,22.55,5484338.45
2025-07-24,22.55,23.36,21.38,22.27,4763510.21
2025-07-25,22.27,22.76,21.56,22.7,2687215.26
2025-07-26,22.7,23.35,22.49,22.8,1428154.58
2025-07-27,22.8,23.44,22.5,23.31,1324741.56
2025-07-28,23.31,23.79,21.77,21.9,2866027.78
2025-07-29,21.9,22.42,21.46,21.74,1126196.26
2025-07-30,21.74,21.96,20.4,21.4,2764417.2
2025-07-31,21.4,21.86,20.55,20.57,1376101.98
2025-08-01,20.57,20.64,19.33,19.78,4254280.24
2025-08-02,19.78,20.06,19.02,19.19,1297168.09
2025-08-03,19.19,20.09,18.94,19.87,1492299.55
2025-08-04,19.87,21.04,19.87,20.97,1173750.4
2025-08-05,20.98,21.07,20.94,21.05,1089376.1
2025-08-06,20.18,20.18,19.85,19.9,1831948.84
2025-08-07,20.3,21.57,20.12,21.56,1995856.91
2025-08-08,21.56,21.89,21.15,21.49,6454810.34
