date,open,high,low,close,volume
2025-05-09,2207.19,2490.71,2184.12,2345.32,2617510161.4
2025-05-10,2345.32,2600.37,2318.3,2583.77,1784431662.12
2025-05-11,2583.77,2607.64,2439.78,2514.75,1513299417.69
2025-05-12,2514.75,2624.32,2408.1,2495.56,2051277136.7
2025-05-13,2495.56,2739.27,2415.76,2680.04,1873346978.72
2025-05-14,2680.04,2725.04,2548,2610.07,1542184822.16
2025-05-15,2610.07,2646.75,2478.7,2549,1528520349.7
2025-05-16,2549,2649.18,2530.01,2537.78,1190470675.39
2025-05-17,2537.78,2538.25,2447.65,2476.16,887082740
2025-05-18,2476.16,2587.97,2326.5,2498.72,1329246436.5
2025-05-19,2498.72,2547.45,2349.55,2528.66,1740260302.28
2025-05-20,2528.66,2588.36,2444.2,2525.1,1121450524.59
2025-05-21,2525.1,2617.03,2454.01,2552.21,1802437428.43
2025-05-22,2552.21,2692.69,2546.12,2665.1,1523259393.19
2025-05-23,2665.1,2733.44,2502.42,2526.9,1688250894.58
2025-05-24,2526.9,2576.3,2515.98,2530.92,464730641.55
2025-05-25,2530.92,2555,2464.25,2552.23,589652070.16
2025-05-26,2552.23,2600.15,2527.36,2564.47,590861351.31
2025-05-27,2564.47,2713.33,2511.1,2662,1280752626.8
2025-05-28,2662,2689.79,2611.05,2682.1,965255963.52
2025-05-29,2682.1,2788.28,2620.36,2631.82,1415485994.05
2025-05-30,2631.82,2649.44,2508.97,2531.79,1083869480.12
2025-05-31,2531.79,2551.37,2479.94,2529.32,500287625.87
2025-06-01,2529.32,2549.01,2470.58,2540.45,512156252.24
2025-06-02,2540.45,2616.44,2476.59,2609.07,884892086.43
2025-06-03,2609.07,2657.23,2583.3,2594.88,1073527716.78
2025-06-04,2594.88,2680.55,2585.02,2608.28,858114267.83
2025-06-05,2608.28,2641.72,2393.11,2415.85,1351426110.77
2025-06-06,2415.85,2532.69,2385.42,2478.31,865502968.12
2025-06-07,2478.31,2543.98,2458.79,2526.17,357329388.56
2025-06-08,2526.17,2549.53,2493.72,2510.78,315777224.57
2025-06-09,2510.78,2695.13,2479.6,2681.27,810951391.12
2025-06-10,2681.27,2826.68,2657.34,2816.15,1667701406.47
2025-06-11,2816.15,2879.79,2744.11,2772.57,1295621784.12
2025-06-12,2772.57,2785.3,2618.39,2644.51,1170537265
2025-06-13,2644.51,2646.56,2446.47,2580.25,1792683839.24
2025-06-14,2580.25,2580.87,2490.47,2532.75,551015115.63
2025-06-15,2532.75,2560.57,2493.32,2548.41,456963811.88
2025-06-16,2548.41,2681.43,2516.21,2545.23,1256426999.66
2025-06-17,2545.23,2619.34,2454.56,2510.96,1226237468.69
2025-06-18,2510.96,2548.88,2466.89,2525.85,879550757.97
2025-06-19,2525.85,2547.93,2485.66,2521.84,473983171.76
2025-06-20,2521.84,2569.74,2368.96,2407.22,949347412.87
2025-06-21,2407.22,2449.16,2217.69,2296.94,705748797.49
2025-06-22,2296.94,2314.86,2113.65,2228.57,1494221559.94
2025-06-23,2228.57,2439.75,2189.86,2413.17,1541484884.73
2025-06-24,2413.17,2483.31,2378.22,2449.69,1168281547.61
2025-06-25,2449.69,2469.72,2391.65,2420.23,962396741.81
2025-06-26,2420.23,2521.41,2395.33,2417.5,937995211.41
2025-06-27,2417.5,2464.25,2384.39,2424.42,731599180.91
2025-06-28,2424.42,2449,2407.31,2437.55,218789309.47
2025-06-29,2437.55,2525.9,2417.25,2501.26,353963423.9
2025-06-30,2501.26,2524.69,2435.11,2486.37,862990157.33
2025-07-01,2486.37,2501.58,2387.31,2405.7,627531445.49
2025-07-02,2405.7,2619.85,2375.73,2571.33,1127288937.64
2025-07-03,2571.33,2636.51,2557.62,2592.04,987452946.33
2025-07-04,2592.04,2603.8,2475.46,2508.69,659258591.62
2025-07-05,2508.69,2530.4,2488.62,2517.09,245918493.32
2025-07-06,2517.09,2605.48,2504.53,2571.14,419467064.37
2025-07-07,2571.14,2591.09,2512.71,2542.5,722742288.77
2025-07-08,2542.5,2628.25,2523.96,2616.29,782816619.68
2025-07-09,2616.29,2796.41,2590.85,2769.99,1401139415.9
2025-07-10,2769.99,3000.74,2756.79,2951.31,1744393184.02
2025-07-11,2951.31,3039.9,2914.32,2959.03,1980022543.13
2025-07-12,2959.03,2980.71,2905.43,2944.27,689836595.19
2025-07-13,2944.27,3021.17,2937.49,2973.01,768491471.97
2025-07-14,2973.01,3083.04,2964.19,3014.66,1733654671.96
2025-07-15,3014.66,3144.48,2933.53,3139.33,1864246145.13
2025-07-16,3139.33,3425.33,3101.74,3373.1,2498357116.86
2025-07-17,3373.1,3526.44,3312.55,3479.48,2597432476.09
2025-07-18,3479.48,3676.78,3462.02,3549.56,3107895984.56
2025-07-19,3549.56,3610.57,3510.16,3594.34,978223077.89
2025-07-20,3594.34,3825.1,3581.09,3758.64,1803996590.01
2025-07-21,3758.64,3859.77,3703.91,3764.26,2235864180.81
2025-07-22,3764.26,3800.87,3618.98,3748.64,2350611646.53
2025-07-23,3748.64,3766.35,3528.71,3630.21,2237459018.02
2025-07-24,3630.21,3775.3,3510.45,3708.76,2321023591.06
2025-07-25,3708.76,3750.35,3575.42,3726.01,2367987074.41
2025-07-26,3726.01,3794.86,3700.41,3742.79,785620815.9
2025-07-27,3742.79,3880.83,3732.24,3874.12,981387021.29
2025-07-28,3874.12,3941.6,3754.34,3798.95,1977987690.88
2025-07-29,3798.95,3885.97,3716.15,3793.46,1799411630.81
2025-07-30,3793.46,3833.7,3677.33,3810.29,1576605891.64
2025-07-31,3810.29,3878.33,3684.07,3698.19,1411476606.14
2025-08-01,3698.19,3723.77,3430.49,3487.02,2402758445.59
2025-08-02,3487.02,3536.9,3368.07,3393.4,1497485032.53
2025-08-03,3393.4,3522.08,3356.18,3497.6,842128496.52
2025-08-04,3497.6,3737.28,3492.02,3720.93,1488663337.16
2025-08-05,3720.93,3721.28,3694.69,3706.76,35097896.67
2025-08-06,3611.81,3613.66,3564.36,3582.75,145592394.08
