date,open,high,low,close,volume
2025-05-09,4.356,4.359,4.344,4.349,120681.14
2025-05-10,4.349,4.367,4.348,4.362,93421.34
2025-05-11,4.362,4.368,4.357,4.36,63586.11
2025-05-12,4.36,4.37,4.353,4.362,200089.56
2025-05-13,4.362,4.37,4.358,4.364,90098.1
2025-05-14,4.364,4.374,4.359,4.365,158285.81
2025-05-15,4.365,4.389,4.362,4.382,113791.47
2025-05-16,4.382,4.395,4.368,4.386,136466.75
2025-05-17,4.386,4.396,4.363,4.389,67978.37
2025-05-18,4.389,4.393,4.379,4.388,66568.9
2025-05-19,4.388,4.4,4.375,4.392,126157.13
2025-05-20,4.392,4.401,4.381,4.387,73515.37
2025-05-21,4.387,4.425,4.378,4.415,203687.92
2025-05-22,4.415,4.42,4.39,4.398,242805.09
2025-05-23,4.398,4.414,4.349,4.411,187975.73
2025-05-24,4.411,4.42,4.405,4.415,104603.81
2025-05-25,4.415,4.428,4.411,4.416,95724.79
2025-05-26,4.416,4.433,4.411,4.416,273303.06
2025-05-27,4.416,4.435,4.41,4.423,121093.07
2025-05-28,4.423,4.441,4.411,4.43,88396.88
2025-05-29,4.43,4.437,4.416,4.428,110384.11
2025-05-30,4.428,4.441,4.415,4.428,214216.1
2025-05-31,4.428,4.436,4.423,4.429,87559.07
2025-06-01,4.429,4.439,4.422,4.432,70471.28
2025-06-02,4.432,4.432,4.405,4.41,120964.93
2025-06-03,4.41,4.43,4.406,4.421,52701.46
2025-06-04,4.421,4.426,3.903,4.417,119776.58
2025-06-05,4.417,4.433,4.419,4.42,67114.56
2025-06-06,4.42,4.429,4.409,4.42,103944.05
2025-06-07,4.42,4.418,4.39,4.404,68594.85
2025-06-08,4.404,4.415,4.383,4.414,114657.4
2025-06-09,4.414,4.417,4.396,4.41,111693.88
2025-06-10,4.41,4.452,4.403,4.446,139173.18
2025-06-11,4.446,4.455,4.438,4.449,87047.04
2025-06-12,4.449,4.456,4.437,4.445,300134.98
2025-06-13,4.445,4.455,4.441,4.445,580964.66
2025-06-14,4.445,4.455,4.439,4.439,547441.54
2025-06-15,4.439,4.448,4.434,4.435,584220.55
2025-06-16,4.435,4.448,4.428,4.432,645698.79
2025-06-17,4.432,4.443,4.42,4.422,1397034.41
2025-06-18,4.422,4.433,4.411,4.412,1368951.21
2025-06-19,4.412,4.43,4.393,4.423,1513183.23
2025-06-20,4.423,4.464,4.42,4.46,2083290.4
2025-06-21,4.46,4.462,4.433,4.449,1667172.52
2025-06-22,4.449,4.458,4.438,4.44,2303298.91
2025-06-23,4.44,4.454,4.438,4.443,1927990.76
2025-06-24,4.443,4.447,4.424,4.431,1473203.02
2025-06-25,4.431,4.439,4.424,4.429,1534978.74
2025-06-26,4.429,4.434,4.412,4.42,1448449.6
2025-06-27,4.42,4.425,4.399,4.4,1221414.92
2025-06-28,4.4,4.417,4.391,4.41,1136550.14
2025-06-29,4.41,4.41,4.388,4.394,1009621.46
2025-06-30,4.394,4.422,4.391,4.416,1467403.15
2025-07-01,4.416,4.443,4.415,4.425,1623773.53
2025-07-02,4.425,4.433,4.407,4.419,2228792.29
2025-07-03,4.419,4.423,4.409,4.423,3236031.11
2025-07-04,4.423,4.446,4.413,4.434,1907485.52
2025-07-05,4.434,4.445,4.43,4.431,911344.42
2025-07-06,4.431,4.438,4.424,4.431,1104414.96
2025-07-07,4.431,4.441,4.427,4.436,1507908.9
2025-07-08,4.436,4.45,4.435,4.444,1286868.1
2025-07-09,4.444,4.458,4.439,4.451,2765411.86
2025-07-10,4.451,4.463,4.438,4.462,2515580.47
2025-07-11,4.462,4.473,4.447,4.449,3920390.73
2025-07-12,4.449,4.505,4.445,4.491,1983864.13
2025-07-13,4.491,4.499,4.484,4.497,1733431.25
2025-07-14,4.497,4.522,4.484,4.508,2748513.63
2025-07-15,4.508,4.517,4.499,4.499,2801613.95
2025-07-16,4.499,4.514,4.49,4.506,3384518.29
2025-07-17,4.506,4.531,4.492,4.521,5012780.94
2025-07-18,4.521,4.528,4.512,4.514,9509116.77
2025-07-19,4.514,4.521,4.506,4.507,3660270.45
2025-07-20,4.507,4.517,4.502,4.512,4927652.57
2025-07-21,4.512,4.516,4.501,4.511,3308275.2
2025-07-22,4.511,4.511,4.501,4.503,4298210.81
2025-07-23,4.503,4.511,4.49,4.499,4966476.47
2025-07-24,4.499,4.509,4.491,4.495,2846590.68
2025-07-25,4.495,4.535,4.495,4.534,3769932.54
2025-07-26,4.534,4.583,4.529,4.582,1903494.53
2025-07-27,4.582,4.606,4.575,4.591,2224466.03
2025-07-28,4.591,4.605,4.585,4.586,2733697.26
2025-07-29,4.586,4.592,4.575,4.575,1953185.14
2025-07-30,4.575,4.593,4.574,4.588,2753041.42
2025-07-31,4.588,4.6,4.578,4.589,2986990.1
2025-08-01,4.589,4.595,4.577,4.583,5124074.25
2025-08-02,4.583,4.595,4.579,4.581,4126635.67
2025-08-03,4.581,4.594,4.581,4.588,2121640.29
2025-08-04,4.588,4.588,4.575,4.583,4510616.24
2025-08-05,4.583,4.584,4.569,4.575,2889668.8
2025-08-06,4.574,4.58,4.573,4.577,243568.6
