date,open,high,low,close,volume
2025-05-08,0.1758,0.1971,0.175,0.1953,33721827.77
2025-05-09,0.1953,0.2065,0.1928,0.2025,49356962.17
2025-05-10,0.2025,0.2198,0.2004,0.2192,41688871.01
2025-05-11,0.2192,0.2208,0.2011,0.2069,33746068.82
2025-05-12,0.2069,0.2298,0.2047,0.215,82266207
2025-05-13,0.215,0.2186,0.2007,0.2162,46623693.28
2025-05-14,0.2162,0.2168,0.2038,0.2061,30720692.6
2025-05-15,0.2061,0.2079,0.1934,0.1981,30209730.65
2025-05-16,0.1981,0.2019,0.1938,0.1956,21733944.74
2025-05-17,0.1956,0.196,0.187,0.1911,16568827.73
2025-05-18,0.1911,0.201,0.1869,0.1969,22096740.08
2025-05-19,0.1969,0.1979,0.1845,0.194,21528557.69
2025-05-20,0.194,0.1985,0.1904,0.195,19686395.09
2025-05-21,0.195,0.2025,0.1925,0.1981,27655702.72
2025-05-22,0.1981,0.2064,0.1973,0.2047,28575390.14
2025-05-23,0.2047,0.2093,0.1889,0.1906,32010818.06
2025-05-24,0.1906,0.1937,0.1871,0.1885,11647640.36
2025-05-25,0.1885,0.1904,0.1807,0.1882,13485030.52
2025-05-26,0.1882,0.1933,0.1843,0.186,13141855.91
2025-05-27,0.186,0.192,0.1823,0.1873,17067784.06
2025-05-28,0.1873,0.1885,0.1813,0.1861,13441218.86
2025-05-29,0.1861,0.1907,0.1788,0.1797,22282302.81
2025-05-30,0.1797,0.1806,0.1652,0.1674,29247274.54
2025-05-31,0.1674,0.1706,0.161,0.1675,21031362.59
2025-06-01,0.1675,0.1698,0.1641,0.1688,10970257.8
2025-06-02,0.1688,0.1727,0.1666,0.1715,13434620.95
2025-06-03,0.1715,0.1756,0.171,0.172,12215463.95
2025-06-04,0.172,0.174,0.1664,0.1672,11315700.61
2025-06-05,0.1672,0.1698,0.156,0.1595,18097403.77
2025-06-06,0.1595,0.1692,0.1586,0.1646,11772443.82
2025-06-07,0.1646,0.1723,0.1639,0.1688,9350860.77
2025-06-08,0.1688,0.1722,0.1666,0.1694,8484927.47
2025-06-09,0.1694,0.179,0.1677,0.178,19580163.28
2025-06-10,0.178,0.184,0.1761,0.1801,14379943.77
2025-06-11,0.1801,0.1819,0.1711,0.1729,21694809.73
2025-06-12,0.1729,0.1732,0.1621,0.163,18262609.67
2025-06-13,0.163,0.163,0.1503,0.1591,31970946.84
2025-06-14,0.1591,0.1599,0.1513,0.155,13174671.91
2025-06-15,0.155,0.156,0.1508,0.1545,16174314.12
2025-06-16,0.1545,0.1634,0.1531,0.1535,22608344.28
2025-06-17,0.1535,0.1572,0.1468,0.1486,23578911.18
2025-06-18,0.1486,0.1522,0.1439,0.148,16445549.74
2025-06-19,0.148,0.1497,0.1445,0.1478,13375266.25
2025-06-20,0.1478,0.1515,0.1409,0.1446,14868169.14
2025-06-21,0.1446,0.1464,0.1338,0.138,18725040.11
2025-06-22,0.138,0.1399,0.1261,0.1337,37201979.66
2025-06-23,0.1337,0.1524,0.1332,0.1517,27896600.74
2025-06-24,0.1517,0.1561,0.1507,0.1541,19350507.15
2025-06-25,0.1541,0.1563,0.1491,0.1499,16840117.44
2025-06-26,0.1499,0.1527,0.142,0.1429,18731437.33
2025-06-27,0.1429,0.1478,0.1415,0.1461,15937511.29
2025-06-28,0.1461,0.1488,0.1452,0.1478,9014248.99
2025-06-29,0.1478,0.1541,0.1467,0.1527,8293115.16
2025-06-30,0.1527,0.1534,0.1474,0.1501,15663784.91
2025-07-01,0.1501,0.1517,0.1429,0.1448,11618278.45
2025-07-02,0.1448,0.1593,0.1432,0.1554,18049173.1
2025-07-03,0.1554,0.1629,0.1549,0.1591,17573480.95
2025-07-04,0.1591,0.1628,0.1518,0.1531,12716685.42
2025-07-05,0.1531,0.1567,0.1526,0.1542,9261145.43
2025-07-06,0.1542,0.1616,0.1523,0.1593,12516523.66
2025-07-07,0.1593,0.1613,0.1562,0.1584,15617285.95
2025-07-08,0.1584,0.1622,0.1551,0.1608,15436291.8
2025-07-09,0.1608,0.1736,0.1599,0.171,23394033.61
2025-07-10,0.171,0.191,0.1703,0.1899,30299188.29
2025-07-11,0.1899,0.2094,0.1881,0.1937,74325460.45
2025-07-12,0.1937,0.2067,0.1901,0.1974,42503497.05
2025-07-13,0.1974,0.2519,0.1964,0.2415,169129086
2025-07-14,0.2415,0.2597,0.2334,0.2369,129637459.65
2025-07-15,0.2369,0.2417,0.2231,0.2331,82662854.36
2025-07-16,0.2331,0.2447,0.2287,0.2363,66848808.95
2025-07-17,0.2363,0.2854,0.2287,0.2767,144361385.85
2025-07-18,0.2767,0.2991,0.2532,0.2597,161181625.14
2025-07-19,0.2597,0.2726,0.2564,0.2667,57923405.63
2025-07-20,0.2667,0.2837,0.2642,0.271,90865440.83
2025-07-21,0.271,0.2886,0.2638,0.2713,101375856.09
2025-07-22,0.2713,0.2757,0.2593,0.2754,84675115.39
2025-07-23,0.2754,0.2755,0.2385,0.2453,95897884.05
2025-07-24,0.2453,0.2504,0.231,0.2392,73967137.32
2025-07-25,0.2392,0.2645,0.2332,0.2586,126680460.96
2025-07-26,0.2586,0.2913,0.2559,0.2799,129954852.26
2025-07-27,0.2799,0.3052,0.2764,0.2917,138807360.66
2025-07-28,0.2917,0.2925,0.2651,0.2716,87814851.55
2025-07-29,0.2716,0.2795,0.257,0.2638,70857698.22
2025-07-30,0.2638,0.2649,0.2457,0.2558,76651439.86
2025-07-31,0.2558,0.279,0.2499,0.251,97460298.82
2025-08-01,0.251,0.2562,0.2368,0.2411,106828359.21
2025-08-02,0.2411,0.2448,0.2254,0.2301,64527695.87
2025-08-03,0.2301,0.2512,0.2268,0.2487,55942806.94
2025-08-04,0.2487,0.2564,0.2455,0.2508,66932876.9
2025-08-05,0.2508,0.2511,0.2492,0.2504,834548.64
