date,open,high,low,close,volume
2025-05-11,5.84,5.982,5.498,5.766,9792391.75
2025-05-12,5.766,6.13,5.563,5.738,14002323.47
2025-05-13,5.738,5.985,5.444,5.908,8799702.24
2025-05-14,5.908,5.991,5.594,5.638,6990236.24
2025-05-15,5.638,5.702,5.3,5.407,7386726.35
2025-05-16,5.407,5.54,5.199,5.265,7194062.26
2025-05-17,5.265,5.278,5.085,5.149,5083577.4
2025-05-18,5.149,5.456,5.022,5.339,5545679.52
2025-05-19,5.339,5.364,4.982,5.214,4316613.98
2025-05-20,5.214,5.361,5.068,5.262,4582281.07
2025-05-21,5.262,5.494,5.178,5.354,6562728.59
2025-05-22,5.354,5.707,5.347,5.693,5576637.16
2025-05-23,5.693,5.839,5.205,5.228,5773533.2
2025-05-24,5.228,5.449,5.171,5.203,4598607.01
2025-05-25,5.203,5.278,5.012,5.266,4060305.12
2025-05-26,5.266,5.414,5.181,5.224,4342017.17
2025-05-27,5.224,5.406,5.107,5.333,4236960.6
2025-05-28,5.333,5.466,5.188,5.439,5115298.04
2025-05-29,5.439,5.565,5.235,5.261,5627672.24
2025-05-30,5.261,5.29,4.787,4.795,9762651.88
2025-05-31,4.795,4.941,4.689,4.909,4969177.33
2025-06-01,4.909,5.203,4.801,4.938,4238128.78
2025-06-02,4.938,5.145,4.832,5.126,3156892.28
2025-06-03,5.126,5.581,5.088,5.329,7889250.74
2025-06-04,5.329,5.485,5.174,5.202,7229341.76
2025-06-05,5.202,5.325,4.809,4.857,7349144.2
2025-06-06,4.857,5.079,4.843,4.951,4489093.59
2025-06-07,4.951,5.245,4.932,5.237,2687099.05
2025-06-08,5.237,5.704,5.185,5.558,10505298.54
2025-06-09,5.558,6.153,5.499,6.034,16826605.97
2025-06-10,6.034,6.236,5.889,6.175,12138506.32
2025-06-11,6.175,6.318,5.953,6.07,9237758.55
2025-06-12,6.07,6.161,5.77,5.824,8059909.12
2025-06-13,5.824,5.826,5.323,5.462,9578229.21
2025-06-14,5.462,5.785,5.402,5.483,8437109.87
2025-06-15,5.483,5.522,5.284,5.515,4513147.26
2025-06-16,5.515,5.744,5.388,5.399,7514245.84
2025-06-17,5.399,5.482,5.062,5.127,7061435.66
2025-06-18,5.127,5.255,4.988,5.117,4161910.48
2025-06-19,5.117,5.15,4.971,5.058,3539122.06
2025-06-20,5.058,5.27,4.828,4.925,5909718.44
2025-06-21,4.925,5.014,4.607,4.806,5213296.19
2025-06-22,4.806,4.836,4.314,4.557,6766568.38
2025-06-23,4.557,4.994,4.471,4.967,5948805.94
2025-06-24,4.967,5.065,4.877,4.961,4219865.73
2025-06-25,4.961,5.064,4.776,4.822,3679499.77
2025-06-26,4.822,4.925,4.665,4.736,2878140.57
2025-06-27,4.736,4.826,4.666,4.764,6314073.72
2025-06-28,4.764,4.888,4.703,4.863,2038657.45
2025-06-29,4.863,5.129,4.825,5.08,3354229.31
2025-06-30,5.08,5.105,4.881,4.904,4789901.42
2025-07-01,4.904,4.93,4.67,4.694,2869512.63
2025-07-02,4.694,5.099,4.671,5.023,4074655.79
2025-07-03,5.023,5.141,4.937,5.013,3972272.28
2025-07-04,5.013,5.037,4.714,4.787,2920588.04
2025-07-05,4.787,4.822,4.684,4.775,1940080.43
2025-07-06,4.775,4.905,4.726,4.839,1703379.9
2025-07-07,4.839,4.897,4.714,4.782,3359632.46
2025-07-08,4.782,4.866,4.701,4.839,2352669.89
2025-07-09,4.839,5.214,4.799,5.153,4578210.3
2025-07-10,5.153,5.445,5.067,5.409,6587232.08
2025-07-11,5.409,5.579,5.283,5.348,6359364.77
2025-07-12,5.348,5.441,5.141,5.357,4296445.93
2025-07-13,5.357,5.539,5.321,5.463,5042789.27
2025-07-14,5.463,5.67,5.338,5.378,9525392.83
2025-07-15,5.378,5.645,5.194,5.607,9358313.61
2025-07-16,5.607,5.774,5.467,5.624,8266446.42
2025-07-17,5.624,5.844,5.459,5.758,10378319.31
2025-07-18,5.758,6.172,5.609,5.686,13692508.55
2025-07-19,5.686,5.842,5.527,5.807,6083825.35
2025-07-20,5.807,6.132,5.752,5.982,9374064.46
2025-07-21,5.982,6.256,5.866,6.149,11123811.07
2025-07-22,6.149,6.181,5.789,6.127,10066438.92
2025-07-23,6.127,6.141,5.418,5.599,7870732.18
2025-07-24,5.599,5.759,5.269,5.49,7824664.61
2025-07-25,5.49,5.643,5.323,5.624,7012005.54
2025-07-26,5.624,5.8,5.567,5.649,4556605.2
2025-07-27,5.649,5.838,5.627,5.8,4569917.72
2025-07-28,5.8,5.998,5.495,5.539,8461073.36
2025-07-29,5.539,5.736,5.349,5.456,5079504.41
2025-07-30,5.456,5.499,5.181,5.474,8090070.76
2025-07-31,5.474,5.581,5.219,5.228,4346409.13
2025-08-01,5.228,5.292,4.906,5.016,6467979.23
2025-08-02,5.016,5.079,4.858,4.948,4569088.22
2025-08-03,4.948,5.143,4.872,5.116,2286906.83
2025-08-04,5.116,5.322,5.113,5.301,2627303.05
2025-08-05,5.301,5.322,5.297,5.32,29435.99
2025-08-06,5.069,5.07,4.987,5,422958.3
2025-08-07,5.115,5.355,5.064,5.354,2967209.83
2025-08-08,5.354,5.416,5.197,5.288,3720790.77
