date,open,high,low,close,volume
2025-05-09,8.897,8.917,8.674,8.734,634288.96
2025-05-10,8.734,8.765,8.216,8.242,117625.61
2025-05-11,8.242,8.443,8.18,8.339,128857.29
2025-05-12,8.339,8.647,8.307,8.647,131485.98
2025-05-13,8.647,8.764,8.567,8.764,93889.48
2025-05-14,8.764,8.88,8.731,8.88,89269.93
2025-05-15,8.88,9.07,8.781,8.794,708967.12
2025-05-16,8.794,8.962,8.778,8.958,84118.31
2025-05-17,8.958,9.012,8.92,8.959,74697.1
2025-05-18,8.959,9.015,8.551,8.688,139736.11
2025-05-19,8.688,8.795,8.567,8.685,163311.13
2025-05-20,8.685,8.782,8.66,8.779,91566.27
2025-05-21,8.779,8.951,8.71,8.916,155133.28
2025-05-22,8.916,8.979,8.78,8.922,255985.79
2025-05-23,8.922,8.923,8.74,8.866,102200.9
2025-05-24,8.866,8.906,8.801,8.867,82718.51
2025-05-25,8.867,8.926,8.801,8.884,65867.72
2025-05-26,8.884,9.48,8.55,8.763,734763.79
2025-05-27,8.763,9.193,8.684,9.143,732806.53
2025-05-28,9.143,9.225,9,9.093,310578.94
2025-05-29,9.093,9.153,8.952,9.131,144063.31
2025-05-30,9.131,9.242,8.707,8.765,243335.42
2025-05-31,8.765,8.803,8.553,8.659,122110.92
2025-06-01,8.659,8.746,8.604,8.666,77815.84
2025-06-02,8.666,8.734,8.306,8.528,231005.95
2025-06-03,8.528,8.984,8.478,8.984,149773.82
2025-06-04,8.984,9.123,8.833,9.004,231133.68
2025-06-05,9.004,9.293,8.602,8.82,769913.33
2025-06-06,8.82,9.039,8.66,8.984,723247.99
2025-06-07,8.984,9.243,8.921,9.243,377954.43
2025-06-08,9.243,9.33,8.901,9.27,469892.92
2025-06-09,9.27,9.4,8.993,9.11,433560.1
2025-06-10,9.11,9.168,8.703,8.872,375108.72
2025-06-11,8.872,9.113,8.757,9.106,230353.19
2025-06-12,9.106,9.117,8.602,8.9,565363.94
2025-06-13,8.9,9.318,8.78,8.897,386674.85
2025-06-14,8.897,9.206,8.873,9.11,301160.56
2025-06-15,9.11,9.357,9.05,9.27,184622.42
2025-06-16,9.27,9.35,9.189,9.31,63698.13
2025-06-17,9.31,9.32,9.068,9.29,171629.19
2025-06-18,9.29,9.299,9.113,9.224,97194.26
2025-06-19,9.224,9.249,8.866,9.03,182063.65
2025-06-20,9.03,9.196,8.822,8.93,232240.05
2025-06-21,8.93,9,8.844,8.999,135132.68
2025-06-22,8.999,9.101,8.925,9.053,177079.3
2025-06-23,9.053,9.186,8.987,9.186,147282.34
2025-06-24,9.186,9.22,8.887,9.049,177326.86
2025-06-25,9.049,9.079,9,9,68334.14
2025-06-26,9,9.07,8.978,8.993,51166.75
2025-06-27,8.993,9.094,8.955,9.094,60324.14
2025-06-28,9.094,9.094,9.027,9.091,46570.04
2025-06-29,9.091,9.2,9,9.129,153034.45
2025-06-30,9.129,9.171,9.001,9.075,142776.55
2025-07-01,9.075,9.115,8.839,8.941,214643.3
2025-07-02,8.941,9.061,8.941,9.061,74528.93
2025-07-03,9.061,9.075,8.967,9.075,52914.29
2025-07-04,9.075,9.089,9.02,9.038,48582
2025-07-05,9.038,9.087,9.008,9.039,53359.1
2025-07-06,9.039,9.087,9,9.087,67564.53
2025-07-07,9.087,9.155,9,9.085,107082.32
2025-07-08,9.085,9.136,9.062,9.136,50799.35
2025-07-09,9.136,9.17,8.884,9.012,286922.01
2025-07-10,9.012,9.096,8.901,9.062,153929.44
2025-07-11,9.062,9.091,8.901,9.04,172162.14
2025-07-12,9.04,9.066,9,9.057,65981.71
2025-07-13,9.057,9.065,8.999,9.037,110898.57
2025-07-14,9.037,9.071,9,9.056,145509.64
2025-07-15,9.056,9.124,8.903,8.903,205997.42
2025-07-16,8.903,8.975,8.8,8.865,129643.43
2025-07-17,8.865,8.997,8.757,8.997,91493.6
2025-07-18,8.997,9.02,8.944,9.02,98572.75
2025-07-19,9.02,9.02,8.961,9.02,47767.76
2025-07-20,9.02,9.02,8.951,9.016,75983.98
2025-07-21,9.016,9.02,8.97,9.018,70589.96
2025-07-22,9.018,9.02,8.973,8.999,61049.42
2025-07-23,8.999,9,8.973,8.999,66624.03
2025-07-24,8.999,9.01,8.981,9.01,52550.1
2025-07-25,9.01,9.02,8.973,9.01,58996.96
2025-07-26,9.01,9.01,8.973,9.01,38453.71
2025-07-27,9.01,9.01,8.985,9.009,46562.96
2025-07-28,9.009,9.009,8.973,9.009,58498.3
2025-07-29,9.009,9.009,8.973,9.006,55209.12
2025-07-30,9.006,9.007,8.973,9.006,56029.48
2025-07-31,9.006,9.006,8.97,8.974,29749.91
2025-08-01,8.974,9.006,8.955,9.005,79384.07
2025-08-02,9.005,9.01,8.97,9.01,49155.65
2025-08-03,9.01,9.01,9.01,9.01,46446.84
2025-08-04,9.01,9.01,8.901,8.957,62757.39
2025-08-05,8.957,8.964,8.95,8.95,578.14
2025-08-06,9.01,9.01,8.974,9.01,37917.01
