date,open,high,low,close,volume
2025-05-09,15.88,16.76,15.59,16.02,52581604.17
2025-05-10,16.02,17.46,15.87,17.33,35562854.37
2025-05-11,17.33,17.4,16.31,17.1,51838260.88
2025-05-12,17.1,17.97,16.04,16.74,60808836.04
2025-05-13,16.74,17.8,16.04,17.39,43258739.87
2025-05-14,17.39,17.53,16.68,17.02,38670633.38
2025-05-15,17.02,17.21,15.71,16.05,41982401.93
2025-05-16,16.05,16.55,15.61,15.77,26393747.72
2025-05-17,15.77,15.79,15.09,15.33,22519386.58
2025-05-18,15.33,16.4,14.91,15.88,30425842.76
2025-05-19,15.88,16.01,14.85,15.79,40016239.74
2025-05-20,15.79,16.44,15.25,15.7,37637729.87
2025-05-21,15.7,16.49,15.52,16.11,48311044.05
2025-05-22,16.11,16.91,16.05,16.74,45574819.11
2025-05-23,16.74,17.15,15.42,15.54,51505106.69
2025-05-24,15.54,15.91,15.25,15.35,17320141.1
2025-05-25,15.35,15.56,14.87,15.54,17653238.3
2025-05-26,15.54,15.96,15.41,15.54,20113983.21
2025-05-27,15.54,16.13,15.16,15.91,20159335.74
2025-05-28,15.91,16.15,15.32,15.69,20739278.91
2025-05-29,15.69,16.19,15,15.05,29160727.68
2025-05-30,15.05,15.12,13.78,13.9,42744243.86
2025-05-31,13.9,14.19,13.41,13.97,25348364.93
2025-06-01,13.97,14.13,13.59,14.07,20871484.04
2025-06-02,14.07,14.12,13.6,14.09,20573502.3
2025-06-03,14.09,14.45,14.01,14.12,23799713.16
2025-06-04,14.12,14.48,13.72,13.84,19278363.97
2025-06-05,13.84,14.04,12.65,12.89,28899862.03
2025-06-06,12.89,13.69,12.83,13.58,21339882.6
2025-06-07,13.58,14.09,13.5,13.83,17208879.34
2025-06-08,13.83,13.98,13.57,13.73,11694327.1
2025-06-09,13.73,14.4,13.55,14.36,23642688.64
2025-06-10,14.36,15.53,14.33,15.45,50716061.29
2025-06-11,15.45,15.66,14.76,14.9,39954026.7
2025-06-12,14.9,14.92,13.84,13.98,29268415.12
2025-06-13,13.98,13.99,12.77,13.45,43230313.21
2025-06-14,13.45,13.47,12.85,13.16,13507474.44
2025-06-15,13.16,13.33,13,13.3,11207740.37
2025-06-16,13.3,14.16,13.18,13.57,34757995.6
2025-06-17,13.57,13.78,12.81,12.99,31506127.17
2025-06-18,12.99,13.23,12.64,13.12,24993927.46
2025-06-19,13.12,13.38,12.92,13.07,16261981.01
2025-06-20,13.07,13.28,12.3,12.51,24273394.89
2025-06-21,12.51,12.74,11.7,12.03,20428695.27
2025-06-22,12.03,12.2,10.94,11.66,42508969.07
2025-06-23,11.66,12.95,11.41,12.84,39119350.43
2025-06-24,12.84,13.73,12.8,13.42,37183809
2025-06-25,13.42,13.51,13,13.14,31859570.54
2025-06-26,13.14,13.56,12.89,12.95,22936567.24
2025-06-27,12.95,13.24,12.74,13.06,20163110.74
2025-06-28,13.06,13.45,13.01,13.4,12044179.77
2025-06-29,13.4,13.87,13.25,13.71,16612545.69
2025-06-30,13.71,13.78,13.14,13.38,23700862.76
2025-07-01,13.38,13.44,12.79,12.9,13768804.22
2025-07-02,12.9,13.85,12.74,13.56,26827829.08
2025-07-03,13.56,14.08,13.45,13.67,28334461.67
2025-07-04,13.67,13.79,12.95,13.17,17357571.08
2025-07-05,13.17,13.27,13,13.23,7699406.38
2025-07-06,13.23,13.7,13.1,13.49,12947650.28
2025-07-07,13.49,13.73,13.25,13.43,19451740.31
2025-07-08,13.43,14,13.2,13.97,19800369.1
2025-07-09,13.97,14.38,13.82,14.25,35559482.71
2025-07-10,14.25,15.34,14.16,15.24,34712560.72
2025-07-11,15.24,15.87,15.03,15.29,50435724.68
2025-07-12,15.29,15.48,14.72,15.11,22937004.63
2025-07-13,15.11,15.95,15.05,15.66,24910789.74
2025-07-14,15.66,16.47,15.58,15.76,52330168.69
2025-07-15,15.76,16.19,15.14,16.11,41553970.73
2025-07-16,16.11,17.04,15.83,16.68,70781065.1
2025-07-17,16.68,18.13,16.34,18.01,65225384.55
2025-07-18,18.01,19.15,17.34,17.83,95684103.79
2025-07-19,17.83,18.55,17.56,18.4,32329482.21
2025-07-20,18.4,19.95,18.34,19.29,77614006.45
2025-07-21,19.29,20.28,19.01,19.5,71798432.05
2025-07-22,19.5,20,18.64,19.67,71698428.5
2025-07-23,19.67,19.77,17.57,18.19,64139545.21
2025-07-24,18.19,18.69,17.19,17.92,58339757.12
2025-07-25,17.92,18.48,17.27,18.29,53148811.48
2025-07-26,18.29,18.64,18.17,18.41,26928660.76
2025-07-27,18.41,19.29,18.37,19.24,39146619.96
2025-07-28,19.24,19.55,17.98,18.11,44948359.67
2025-07-29,18.11,18.63,17.48,17.83,47728324.31
2025-07-30,17.83,17.94,16.77,17.71,35709103.98
2025-07-31,17.71,18.23,16.85,16.93,36543513.53
2025-08-01,16.93,17.03,15.67,16.07,69069368.88
2025-08-02,16.07,16.24,15.44,15.64,26689232.21
2025-08-03,15.64,16.4,15.44,16.3,17313283.27
2025-08-04,16.3,17.2,16.28,17.11,28413548.34
2025-08-05,17.11,17.12,17.04,17.08,273198.17
2025-08-06,16.38,16.39,16.12,16.16,1611284.33
