date,open,high,low,close,volume
2025-05-09,94.96,101.51,93.86,100.52,62403171.89
2025-05-10,100.52,106.96,100.48,105.26,72588653.53
2025-05-11,105.26,105.92,98.25,100.13,54096321.55
2025-05-12,100.13,105.03,98.34,103.85,71042046.67
2025-05-13,103.85,105.22,99.47,103.45,62833093.93
2025-05-14,103.45,105.95,98.62,100.99,52240136.27
2025-05-15,100.99,101.92,95.61,99.28,55330956.33
2025-05-16,99.28,102.19,98.32,99.5,30881778.03
2025-05-17,99.5,101.23,95.71,96.1,27566118.42
2025-05-18,96.1,102.47,95.9,100.98,28134103.24
2025-05-19,100.98,101.25,94.42,98.28,28673974.11
2025-05-20,98.28,99.68,92.39,94.5,39038477.62
2025-05-21,94.5,98.34,93.51,97.15,33941895.53
2025-05-22,97.15,101.05,97.04,100.28,40525430.91
2025-05-23,100.28,102.89,94.67,95.29,35690648.68
2025-05-24,95.29,97.82,94.91,95.62,16304346.64
2025-05-25,95.62,96.05,93.15,95.67,15384886.02
2025-05-26,95.67,97.62,94.38,95.06,18077301.29
2025-05-27,95.06,97.03,93.11,95.95,29193828.1
2025-05-28,95.95,97.49,93.55,95.37,18183862.47
2025-05-29,95.37,98.9,92.9,93.21,29535342.82
2025-05-30,93.21,93.89,84.96,85.69,30719011.2
2025-05-31,85.69,87.95,83.2,87.09,18864692.96
2025-06-01,87.09,88.76,85.87,88.44,12795696.88
2025-06-02,88.44,89.99,87.04,89.58,15767846.88
2025-06-03,89.58,90.63,88.81,89.55,14157977.37
2025-06-04,89.55,91.02,87.47,88.02,12781518.98
2025-06-05,88.02,89.12,81.44,83.65,19567361
2025-06-06,83.65,87.73,83.26,87.34,15183559.26
2025-06-07,87.34,89.36,86.74,88.39,10925272.95
2025-06-08,88.39,88.66,86.74,87.24,11664798.34
2025-06-09,87.24,90.83,86.79,90.8,17038580.58
2025-06-10,90.8,93.48,89.59,93.33,21765408.46
2025-06-11,93.33,94.17,90.42,91.58,19173212.04
2025-06-12,91.58,91.87,86.1,86.2,16384821.24
2025-06-13,86.2,86.73,81.42,86.61,24884599.11
2025-06-14,86.61,86.95,84.27,85.24,12403288.79
2025-06-15,85.24,86.6,84.96,86.32,11660165.61
2025-06-16,86.32,88.94,85.39,86.67,17900437.75
2025-06-17,86.67,87.77,82.54,84.26,19946739.96
2025-06-18,84.26,85.66,83.38,85.13,13627679.6
2025-06-19,85.13,85.95,84.23,85.14,13789770.75
2025-06-20,85.14,85.99,81,82.94,20040137.33
2025-06-21,82.94,84.13,78.7,80.27,14916125.39
2025-06-22,80.27,82.05,76.24,80.25,22712090.6
2025-06-23,80.25,85.47,79.53,84.96,18904526.56
2025-06-24,84.96,85.42,83.9,84.88,14044159.8
2025-06-25,84.88,85.49,84.02,84.74,19361461.81
2025-06-26,84.74,85.98,83.83,84.33,17128287.77
2025-06-27,84.33,85.67,83.24,84.86,18975316.31
2025-06-28,84.86,87.41,84.63,86.36,11687887.58
2025-06-29,86.36,88.49,85.9,88,11977577.85
2025-06-30,88,88.35,84.8,86.01,19303722.6
2025-07-01,86.01,86.85,82.45,83.26,16177762.34
2025-07-02,83.26,88.69,83.02,87.35,20214016.05
2025-07-03,87.35,92.29,86.97,89.08,28832461.87
2025-07-04,89.08,89.33,85.74,86.87,20958561.58
2025-07-05,86.87,87.87,85.88,87.6,9379340.77
2025-07-06,87.6,88.54,86.52,87.38,12501614.11
2025-07-07,87.38,88.28,85.18,86.08,18404546.06
2025-07-08,86.08,88.02,85.57,87.8,16653184.6
2025-07-09,87.8,91.39,87.18,90.66,24076057.46
2025-07-10,90.66,95.31,90.17,94.87,26469094.78
2025-07-11,94.87,98.3,92.73,94.29,46221298.64
2025-07-12,94.29,95.46,90.8,92.8,28535175.38
2025-07-13,92.8,96.9,92.58,94.66,27676782.11
2025-07-14,94.66,97.95,94.17,95.65,35069783.94
2025-07-15,95.65,96.71,91.24,96.37,33443520.28
2025-07-16,96.37,99.94,95.17,97.53,34585416.59
2025-07-17,97.53,103.6,95.38,101.65,57470025.71
2025-07-18,101.65,112.26,100.16,101.77,106213582.56
2025-07-19,101.77,114.19,99.75,113.24,92775468.17
2025-07-20,113.24,121.43,110.64,116.65,110228989.82
2025-07-21,116.65,121.96,114.68,115.52,72195384.9
2025-07-22,115.52,119.95,112.69,119.72,93617521.24
2025-07-23,119.72,122.29,108.99,112.11,86941564.72
2025-07-24,112.11,115.48,106.75,112.29,43622430.93
2025-07-25,112.29,116.35,108.38,113.81,53154900.7
2025-07-26,113.81,115.46,112.14,113.95,19604191.37
2025-07-27,113.95,115.61,112.52,114.84,21100768.68
2025-07-28,114.84,116.39,108.36,109,38991763.1
2025-07-29,109,110.76,106.79,108.52,31014415.2
2025-07-30,108.52,111.33,105.52,110.53,60355273.09
2025-07-31,110.53,111.85,105.82,106.12,45390329.94
2025-08-01,106.12,108.33,103.21,106.58,74855462.8
2025-08-02,106.58,110.15,104.14,106.14,55632657.81
2025-08-03,106.14,111.44,104.23,110.43,34176513.75
2025-08-04,110.43,121.42,110.21,121.18,58080850.26
2025-08-05,121.18,121.26,120.24,120.73,756583.18
2025-08-06,120.27,120.42,117.97,118.39,4820917.92
