date,open,high,low,close,volume
2025-05-09,2.736,2.986,2.723,2.902,12258030.15
2025-05-10,2.902,3.382,2.877,3.349,10429841.23
2025-05-11,3.349,3.368,3.067,3.14,9174011.5
2025-05-12,3.14,3.34,3.014,3.188,12241897
2025-05-13,3.188,3.294,2.996,3.21,6896382.33
2025-05-14,3.21,3.293,3.023,3.052,9873970.05
2025-05-15,3.052,3.099,2.818,2.882,8164367.88
2025-05-16,2.882,2.99,2.771,2.796,5824991.25
2025-05-17,2.796,2.806,2.659,2.694,5222947.47
2025-05-18,2.694,2.944,2.644,2.868,6735728.43
2025-05-19,2.868,2.878,2.646,2.77,5403041.73
2025-05-20,2.77,2.888,2.676,2.813,6802421.93
2025-05-21,2.813,2.966,2.757,2.866,6759623.64
2025-05-22,2.866,3.104,2.865,3.076,8726741.87
2025-05-23,3.076,3.16,2.784,2.8,7663432.76
2025-05-24,2.8,2.858,2.759,2.776,2771530.55
2025-05-25,2.776,2.814,2.638,2.798,3488848.71
2025-05-26,2.798,2.871,2.74,2.77,3988087.57
2025-05-27,2.77,2.926,2.699,2.818,5253906.19
2025-05-28,2.818,2.9,2.738,2.87,4962000.18
2025-05-29,2.87,2.99,2.746,2.755,6326520.19
2025-05-30,2.755,2.77,2.411,2.446,9934980.49
2025-05-31,2.446,2.466,2.335,2.422,5675197.84
2025-06-01,2.422,2.474,2.354,2.464,3350222.12
2025-06-02,2.464,2.516,2.375,2.504,4418168.95
2025-06-03,2.504,2.593,2.478,2.508,3770702.36
2025-06-04,2.508,2.577,2.422,2.437,3519024.68
2025-06-05,2.437,2.52,2.225,2.248,6200653.24
2025-06-06,2.248,2.369,2.246,2.316,4698636.58
2025-06-07,2.316,2.464,2.304,2.424,2364752.25
2025-06-08,2.424,2.463,2.374,2.422,2351240.65
2025-06-09,2.422,2.552,2.374,2.544,3368445.96
2025-06-10,2.544,2.665,2.504,2.662,3885339.82
2025-06-11,2.662,2.73,2.559,2.574,4714818.52
2025-06-12,2.574,2.579,2.367,2.371,5127437.54
2025-06-13,2.371,2.371,2.161,2.241,8829693.25
2025-06-14,2.241,2.249,2.16,2.234,3124467.62
2025-06-15,2.234,2.273,2.173,2.227,3371081.24
2025-06-16,2.227,2.388,2.206,2.273,5331604.42
2025-06-17,2.273,2.3,2.097,2.14,6180323.84
2025-06-18,2.14,2.203,2.073,2.188,4170673.49
2025-06-19,2.188,2.213,2.143,2.182,2988505.35
2025-06-20,2.182,2.201,2.019,2.075,5365025.71
2025-06-21,2.075,2.104,1.907,1.974,3934525.97
2025-06-22,1.974,2.008,1.795,1.899,7888158.56
2025-06-23,1.899,2.149,1.866,2.124,7818814.13
2025-06-24,2.124,2.231,2.113,2.192,5921279.53
2025-06-25,2.192,2.199,2.117,2.139,4092584.69
2025-06-26,2.139,2.192,2.027,2.052,10689348.17
2025-06-27,2.052,2.129,2.025,2.114,10453028.29
2025-06-28,2.114,2.184,2.09,2.168,2038465.79
2025-06-29,2.168,2.295,2.113,2.259,3189339
2025-06-30,2.259,2.275,2.113,2.148,3896300.48
2025-07-01,2.148,2.166,2.018,2.04,2831853.69
2025-07-02,2.04,2.271,2.023,2.221,4914678.93
2025-07-03,2.221,2.365,2.216,2.275,5008454.51
2025-07-04,2.275,2.299,2.1,2.134,3189929.84
2025-07-05,2.134,2.161,2.098,2.151,1278773.54
2025-07-06,2.151,2.224,2.115,2.18,1751342.58
2025-07-07,2.18,2.214,2.132,2.161,2033106.42
2025-07-08,2.161,2.26,2.11,2.245,4034807.44
2025-07-09,2.245,2.36,2.206,2.339,4528001.9
2025-07-10,2.339,2.536,2.32,2.516,4819793.67
2025-07-11,2.516,2.641,2.455,2.506,6893625.04
2025-07-12,2.506,2.556,2.408,2.483,3559035.88
2025-07-13,2.483,2.591,2.472,2.531,3673182.02
2025-07-14,2.531,2.696,2.526,2.58,6956002.99
2025-07-15,2.58,2.672,2.481,2.67,6170780.24
2025-07-16,2.67,2.819,2.612,2.734,7568656.16
2025-07-17,2.734,2.864,2.662,2.82,9594788.06
2025-07-18,2.82,3.044,2.723,2.805,12356895.14
2025-07-19,2.805,2.949,2.742,2.921,4748252.61
2025-07-20,2.921,3.071,2.885,2.977,6291090.41
2025-07-21,2.977,3.1,2.914,3.023,9098363.36
2025-07-22,3.023,3.053,2.854,3.031,9354003.37
2025-07-23,3.031,3.038,2.661,2.755,8473712.69
2025-07-24,2.755,2.829,2.584,2.719,7500044.85
2025-07-25,2.719,2.868,2.605,2.857,6123472.62
2025-07-26,2.857,2.935,2.834,2.882,3416326.92
2025-07-27,2.882,2.978,2.879,2.964,4078143.3
2025-07-28,2.964,3.016,2.723,2.749,6988606.71
2025-07-29,2.749,2.832,2.659,2.725,5753534.61
2025-07-30,2.725,2.735,2.509,2.658,6636036.79
2025-07-31,2.658,2.736,2.525,2.534,5922475.66
2025-08-01,2.534,2.549,2.352,2.415,7851861.38
2025-08-02,2.415,2.451,2.302,2.347,3844309.05
2025-08-03,2.347,2.459,2.315,2.445,2023538.99
2025-08-04,2.445,2.568,2.443,2.552,3394728.27
2025-08-05,2.553,2.556,2.542,2.553,615129.64
2025-08-06,2.468,2.469,2.404,2.415,2404396.32
