date,open,high,low,close,volume
2025-05-09,52.61,55.78,52.46,55.65,317330.07
2025-05-10,55.65,56.81,54.94,56.11,161520.2
2025-05-11,56.11,56.21,54.7,55.03,106219.13
2025-05-12,55.03,55.3,53.94,54.31,143172.87
2025-05-13,54.31,55.13,53.62,54.55,119765.02
2025-05-14,54.55,54.99,54.03,54.59,53441.92
2025-05-15,54.59,55.47,53.38,53.47,130574.47
2025-05-16,53.47,54.15,53.08,53.58,55647.85
2025-05-17,53.58,53.58,52.71,53.31,25779.37
2025-05-18,53.31,55.09,53.08,53.1,119731.86
2025-05-19,53.1,53.85,52.07,52.39,171541.57
2025-05-20,52.39,53.11,51.93,52.21,83287.24
2025-05-21,52.21,53.88,52.12,52.51,231711.36
2025-05-22,52.51,54.02,52.61,52.8,143368.01
2025-05-23,52.8,52.32,50.73,52.31,103416.53
2025-05-24,52.31,52.61,51.39,52.17,73076.75
2025-05-25,52.17,53.26,51.35,52.45,35930.67
2025-05-26,52.45,52.66,51.86,52.37,29211.99
2025-05-27,52.37,52.46,51.32,52.07,68207.41
2025-05-28,52.07,52.69,51.36,52.52,43380.19
2025-05-29,52.52,51.87,50.6,51.85,54431.83
2025-05-30,51.85,51.23,49.81,50.49,83131.7
2025-05-31,50.49,51.04,50.01,50.37,89823.31
2025-06-01,50.37,51.27,49.92,50.09,65162.03
2025-06-02,50.09,50.71,49.98,50.12,46281.66
2025-06-03,50.12,50.74,49.56,50.1,78452.25
2025-06-04,50.1,50.27,49.39,50.06,47902.11
2025-06-05,50.06,50.47,48.19,49.73,79911.38
2025-06-06,49.73,51.82,50.16,51.78,102802.98
2025-06-07,51.78,53.07,51.83,52.06,48524.5
2025-06-08,52.06,52.77,50.83,51.9,98089.41
2025-06-09,51.9,55.42,52.76,52.83,95611.81
2025-06-10,52.83,54.14,52.67,53.74,62490.49
2025-06-11,53.74,54.6,52.69,53.82,64986.94
2025-06-12,53.82,53.68,52.13,52.24,63639.93
2025-06-13,52.24,54.06,51.44,51.96,98675.99
2025-06-14,51.96,52.03,51.26,51.46,28586.33
2025-06-15,51.46,52.12,51.4,51.57,28811.09
2025-06-16,51.57,52.74,50.88,51.55,117289.62
2025-06-17,51.55,50.75,46.04,48.53,343194.06
2025-06-18,48.53,49.23,47.81,48.18,72366.35
2025-06-19,48.18,54.62,47.96,52.38,458840.02
2025-06-20,52.38,54,51.48,51.49,138617.3
2025-06-21,51.49,51.58,49.75,50.88,79516.49
2025-06-22,50.88,50.41,49.01,49.91,109800.29
2025-06-23,49.91,58.96,50.56,51.88,831072.81
2025-06-24,51.88,52.97,49.88,50.19,145892.99
2025-06-25,50.19,51.39,50.15,50.95,55454.53
2025-06-26,50.95,50.96,49.25,49.94,70515.43
2025-06-27,49.94,50.25,49.63,50,22747.49
2025-06-28,50,50.55,49.8,50.14,14891.53
2025-06-29,50.14,50.78,49.94,50.11,29194.33
2025-06-30,50.11,50.13,49.24,49.91,26992.28
2025-07-01,49.91,49.46,48.66,49.06,38303.43
2025-07-02,49.06,50.53,49.38,49.71,84601.37
2025-07-03,49.71,50.47,49.72,49.9,32223.78
2025-07-04,49.9,49.51,48.05,48.89,65401.2
2025-07-05,48.89,49.27,48.5,48.84,23648.78
2025-07-06,48.84,49.29,48.39,48.86,37359.59
2025-07-07,48.86,48.67,47.73,48.16,39634.17
2025-07-08,48.16,48.63,47.93,48.1,16108.47
2025-07-09,48.1,49.68,48.1,48.8,38771.26
2025-07-10,48.8,51.53,48.47,49.02,75560.19
2025-07-11,49.02,50.24,48.57,48.65,70637.97
2025-07-12,48.65,49.13,48.14,48.57,26989.15
2025-07-13,48.57,49.64,48.57,48.72,26810.44
2025-07-14,48.72,49.3,46.08,47.65,162072.06
2025-07-15,47.65,47.95,46.25,47.75,26700.21
2025-07-16,47.75,48.2,46.79,47.02,31341.21
2025-07-17,47.02,48.06,46.33,47,32642.51
2025-07-18,47,48.77,45.98,48.13,85881.53
2025-07-19,48.13,49.23,47.78,48.93,33532.03
2025-07-20,48.93,49.54,47.99,49.21,55152.39
2025-07-21,49.21,49.4,48.17,49.02,55277.61
2025-07-22,49.02,50.36,48.38,48.43,20407.7
2025-07-23,48.43,49.88,47.81,48.47,78946.67
2025-07-24,48.47,48.91,47.67,48.21,16413.57
2025-07-25,48.21,48.94,47.69,48.01,55849.25
2025-07-26,48.01,49.65,47.78,48.63,31189.84
2025-07-27,48.63,49.6,48.27,48.8,25430.25
2025-07-28,48.8,49.46,48.19,48.4,94316.78
2025-07-29,48.4,48.73,47.87,48.17,15136.66
2025-07-30,48.17,48.52,47.48,48.06,13979.86
2025-07-31,48.06,47.37,46.2,46.92,18093.17
2025-08-01,46.92,46.64,45.71,46.21,34867.5
2025-08-02,46.21,46.39,45.12,45.75,33231.03
2025-08-03,45.75,47.05,46.13,46.39,21258.85
2025-08-04,46.39,46.94,46.28,46.67,13721.66
2025-08-05,46.64,46.73,46.59,46.66,25385.49
2025-08-06,45.42,45.43,44.94,44.95,161995.37
