date,open,high,low,close,volume
2025-05-08,0.8722,0.9843,0.8714,0.9757,40826609.51
2025-05-09,0.9757,1.062,0.964,1.005,53463092.7
2025-05-10,1.005,1.107,0.9932,1.102,36743079.52
2025-05-11,1.102,1.11,1.007,1.039,35686858.48
2025-05-12,1.039,1.11,0.9745,1.029,57878791.22
2025-05-13,1.029,1.079,0.9724,1.044,44779682.11
2025-05-14,1.044,1.134,0.998,1.009,75015182.81
2025-05-15,1.009,1.032,0.948,0.9687,54629574.66
2025-05-16,0.9687,0.999,0.9317,0.9375,32281220.22
2025-05-17,0.9375,0.939,0.903,0.9153,24241863.48
2025-05-18,0.9153,0.9965,0.8919,0.9597,32285158.94
2025-05-19,0.9597,0.9713,0.8843,0.9273,29486098.39
2025-05-20,0.9273,0.9603,0.9156,0.9443,23793155.58
2025-05-21,0.9443,0.998,0.931,0.9754,31891691.83
2025-05-22,0.9754,1.033,0.9754,1.02,36359372.15
2025-05-23,1.02,1.051,0.9239,0.9334,38751028.85
2025-05-24,0.9334,0.9655,0.9276,0.9397,15576085.36
2025-05-25,0.9397,0.9524,0.9043,0.9509,16728267.68
2025-05-26,0.9509,0.9734,0.9301,0.9404,13045422.68
2025-05-27,0.9404,0.9711,0.9157,0.9487,15802497.63
2025-05-28,0.9487,0.9632,0.9082,0.9339,12290591.3
2025-05-29,0.9339,0.9576,0.8951,0.9004,17901229.59
2025-05-30,0.9004,0.9048,0.8082,0.8188,28460092.06
2025-05-31,0.8188,0.8429,0.784,0.832,16167085.5
2025-06-01,0.832,0.8482,0.8076,0.845,10448844.39
2025-06-02,0.845,0.8557,0.8187,0.8517,13670335.73
2025-06-03,0.8517,0.8702,0.8406,0.8508,11156586.42
2025-06-04,0.8508,0.8614,0.8255,0.832,10273598.47
2025-06-05,0.832,0.8389,0.7582,0.776,17388860.62
2025-06-06,0.776,0.8229,0.7687,0.8059,11297166.57
2025-06-07,0.8059,0.8431,0.8026,0.8366,7411470.04
2025-06-08,0.8366,0.8484,0.8186,0.8322,6419989.98
2025-06-09,0.8322,0.8785,0.8189,0.8759,11774664.72
2025-06-10,0.8759,0.9064,0.8583,0.8996,15454490.81
2025-06-11,0.8996,0.9203,0.8546,0.8668,17881108.9
2025-06-12,0.8668,0.8728,0.8067,0.814,16043757.66
2025-06-13,0.814,0.8147,0.752,0.7979,27396296.76
2025-06-14,0.7979,0.7994,0.7689,0.7858,9669873.81
2025-06-15,0.7858,0.7982,0.775,0.7925,7752379.89
2025-06-16,0.7925,0.8409,0.7859,0.7918,13817583.96
2025-06-17,0.7918,0.7978,0.7275,0.744,25770281.32
2025-06-18,0.744,0.7871,0.7196,0.7765,23205999.04
2025-06-19,0.7765,0.7941,0.7581,0.7686,18013795.04
