date,open,high,low,close,volume
2025-05-08,8.26e-06,1.178e-05,8.22e-06,1.111e-05,85274295.56
2025-05-09,1.111e-05,1.395e-05,1.064e-05,1.237e-05,149667939.74
2025-05-10,1.237e-05,1.406e-05,1.216e-05,1.369e-05,106286984.99
2025-05-11,1.369e-05,1.424e-05,1.258e-05,1.361e-05,68508167.16
2025-05-12,1.361e-05,1.54e-05,1.278e-05,1.362e-05,124676922.52
2025-05-13,1.362e-05,1.51e-05,1.274e-05,1.444e-05,81429182.29
2025-05-14,1.444e-05,1.45e-05,1.349e-05,1.39e-05,53575408.3
2025-05-15,1.39e-05,1.414e-05,1.267e-05,1.303e-05,67211114.34
2025-05-16,1.303e-05,1.379e-05,1.252e-05,1.26e-05,40899004.68
2025-05-17,1.26e-05,1.276e-05,1.196e-05,1.217e-05,28066680.42
2025-05-18,1.217e-05,1.425e-05,1.215e-05,1.386e-05,64516219.24
2025-05-19,1.386e-05,1.419e-05,1.25e-05,1.328e-05,51746663.47
2025-05-20,1.328e-05,1.366e-05,1.263e-05,1.316e-05,39642780.36
2025-05-21,1.316e-05,1.463e-05,1.281e-05,1.365e-05,86402572.48
2025-05-22,1.365e-05,1.553e-05,1.363e-05,1.552e-05,72111755.72
2025-05-23,1.552e-05,1.633e-05,1.357e-05,1.381e-05,106330561.12
2025-05-24,1.381e-05,1.421e-05,1.358e-05,1.378e-05,38160754.93
2025-05-25,1.378e-05,1.399e-05,1.263e-05,1.361e-05,56995197.41
2025-05-26,1.361e-05,1.447e-05,1.349e-05,1.386e-05,53683863.43
2025-05-27,1.386e-05,1.432e-05,1.336e-05,1.39e-05,37892723.04
2025-05-28,1.39e-05,1.417e-05,1.338e-05,1.399e-05,28281369.28
2025-05-29,1.399e-05,1.512e-05,1.336e-05,1.344e-05,67905486.17
2025-05-30,1.344e-05,1.356e-05,1.151e-05,1.162e-05,52670517.95
2025-05-31,1.162e-05,1.188e-05,1.095e-05,1.165e-05,47380393.96
2025-06-01,1.165e-05,1.204e-05,1.129e-05,1.181e-05,19693473.16
2025-06-02,1.181e-05,1.243e-05,1.14e-05,1.235e-05,24270918.34
2025-06-03,1.235e-05,1.296e-05,1.217e-05,1.227e-05,37569922.37
2025-06-04,1.227e-05,1.263e-05,1.176e-05,1.183e-05,23502928.74
2025-06-05,1.183e-05,1.207e-05,1.037e-05,1.065e-05,51320628.84
2025-06-06,1.065e-05,1.152e-05,1.056e-05,1.107e-05,30620579.2
2025-06-07,1.107e-05,1.163e-05,1.097e-05,1.151e-05,14978851.77
2025-06-08,1.151e-05,1.207e-05,1.131e-05,1.167e-05,17148788.06
2025-06-09,1.167e-05,1.272e-05,1.141e-05,1.266e-05,30730951.5
2025-06-10,1.266e-05,1.362e-05,1.243e-05,1.313e-05,60054748.51
2025-06-11,1.313e-05,1.345e-05,1.221e-05,1.247e-05,40284130.49
2025-06-12,1.247e-05,1.26e-05,1.137e-05,1.151e-05,34419467.45
2025-06-13,1.151e-05,1.152e-05,1.046e-05,1.123e-05,52635329.93
2025-06-14,1.123e-05,1.132e-05,1.07e-05,1.095e-05,14140522.88
2025-06-15,1.095e-05,1.132e-05,1.081e-05,1.112e-05,11930306.57
2025-06-16,1.112e-05,1.156e-05,1.055e-05,1.059e-05,27701799.07
2025-06-17,1.059e-05,1.077e-05,9.66e-06,1.013e-05,33664721.99
2025-06-18,1.013e-05,1.04e-05,9.75e-06,1.034e-05,22922369.97
2025-06-19,1.034e-05,1.049e-05,1.015e-05,1.03e-05,15601662.27
2025-06-20,1.03e-05,1.052e-05,9.46e-06,9.84e-06,42865126.32
2025-06-21,9.84e-06,1.011e-05,8.93e-06,9.27e-06,19443962.1
2025-06-22,9.27e-06,9.48e-06,8.31e-06,8.88e-06,31054859.87
2025-06-23,8.88e-06,1.003e-05,8.67e-06,9.91e-06,33874870.58
2025-06-24,9.91e-06,1.03e-05,9.77e-06,1.006e-05,24066313.72
2025-06-25,1.006e-05,1.018e-05,9.38e-06,9.47e-06,18717822.5
2025-06-26,9.47e-06,9.75e-06,9.11e-06,9.17e-06,18179858.64
2025-06-27,9.17e-06,9.37e-06,8.93e-06,9.17e-06,15970488.91
2025-06-28,9.17e-06,9.62e-06,9.15e-06,9.56e-06,8942748.43
2025-06-29,9.56e-06,1.049e-05,9.43e-06,1.039e-05,12330108.38
2025-06-30,1.039e-05,1.042e-05,9.6e-06,9.75e-06,19795498.15
2025-07-01,9.75e-06,9.83e-06,9.16e-06,9.25e-06,14469271.65
2025-07-02,9.25e-06,1.039e-05,9.19e-06,1.006e-05,25388715.11
2025-07-03,1.006e-05,1.078e-05,9.89e-06,1.012e-05,29642768.59
2025-07-04,1.012e-05,1.027e-05,9.44e-06,9.65e-06,18830859.65
2025-07-05,9.65e-06,9.93e-06,9.52e-06,9.69e-06,8856314.33
2025-07-06,9.69e-06,1.032e-05,9.57e-06,1.003e-05,23995290.97
2025-07-07,1.003e-05,1.027e-05,9.73e-06,9.9e-06,22326435.23
2025-07-08,9.9e-06,1.03e-05,9.72e-06,1.02e-05,21276633.16
2025-07-09,1.02e-05,1.135e-05,1.001e-05,1.105e-05,41892897.51
2025-07-10,1.105e-05,1.254e-05,1.088e-05,1.241e-05,51696944.97
2025-07-11,1.241e-05,1.326e-05,1.201e-05,1.236e-05,76503370.26
2025-07-12,1.236e-05,1.257e-05,1.184e-05,1.224e-05,29414201.15
2025-07-13,1.224e-05,1.27e-05,1.209e-05,1.231e-05,33805232.31
2025-07-14,1.231e-05,1.336e-05,1.202e-05,1.222e-05,51009779.94
2025-07-15,1.222e-05,1.291e-05,1.166e-05,1.285e-05,46077697.93
2025-07-16,1.285e-05,1.411e-05,1.249e-05,1.355e-05,76245250.66
2025-07-17,1.355e-05,1.385e-05,1.281e-05,1.337e-05,68782326
2025-07-18,1.337e-05,1.434e-05,1.267e-05,1.299e-05,80944058.56
2025-07-19,1.299e-05,1.354e-05,1.265e-05,1.344e-05,28718060.37
2025-07-20,1.344e-05,1.461e-05,1.332e-05,1.403e-05,50362154.64
2025-07-21,1.403e-05,1.454e-05,1.366e-05,1.411e-05,56886523.65
2025-07-22,1.411e-05,1.475e-05,1.349e-05,1.417e-05,56168962.67
2025-07-23,1.417e-05,1.419e-05,1.221e-05,1.273e-05,43948641.55
2025-07-24,1.273e-05,1.305e-05,1.186e-05,1.239e-05,36104282.78
2025-07-25,1.239e-05,1.257e-05,1.174e-05,1.255e-05,29395444.95
2025-07-26,1.255e-05,1.277e-05,1.233e-05,1.241e-05,13620491.54
2025-07-27,1.241e-05,1.297e-05,1.239e-05,1.279e-05,17057802.75
2025-07-28,1.279e-05,1.315e-05,1.182e-05,1.191e-05,28112380.45
2025-07-29,1.191e-05,1.214e-05,1.125e-05,1.152e-05,18750022.02
2025-07-30,1.152e-05,1.161e-05,1.074e-05,1.134e-05,18464432.35
2025-07-31,1.134e-05,1.166e-05,1.069e-05,1.078e-05,15689721.59
2025-08-01,1.078e-05,1.083e-05,1.004e-05,1.037e-05,21841460
2025-08-02,1.037e-05,1.063e-05,9.86e-06,1.013e-05,15316581.5
2025-08-03,1.013e-05,1.056e-05,1e-05,1.045e-05,8094671.91
2025-08-04,1.045e-05,1.083e-05,1.034e-05,1.076e-05,10986072.3
2025-08-05,1.076e-05,1.077e-05,1.071e-05,1.077e-05,2607266.33
