date,open,high,low,close,volume
2025-05-09,0.6464,0.78,0.6464,0.7487,296968.08
2025-05-10,0.7487,0.7973,0.7145,0.7819,105863.18
2025-05-11,0.7819,1.192,0.7627,1.128,1111450.34
2025-05-12,1.128,1.67,0.9067,1.208,2366725.48
2025-05-13,1.208,1.34,0.9956,1.238,768143.62
2025-05-14,1.238,1.307,0.8291,0.8976,1401632.28
2025-05-15,0.8976,0.9475,0.81,0.896,519429.6
2025-05-16,0.896,0.9612,0.7168,0.7259,725923
2025-05-17,0.7259,0.7458,0.6595,0.6941,256704.54
2025-05-18,0.6941,0.784,0.686,0.753,236013.75
2025-05-19,0.753,0.753,0.6965,0.7372,108439.37
2025-05-20,0.7372,0.7771,0.7226,0.7611,94093.6
2025-05-21,0.7611,0.8673,0.7578,0.8476,286761.12
2025-05-22,0.8476,0.8561,0.7962,0.8268,109137.01
2025-05-23,0.8268,0.8268,0.7287,0.7545,195975.14
2025-05-24,0.7545,0.8103,0.7545,0.7743,86543.85
2025-05-25,0.7743,0.789,0.762,0.7853,49328.4
2025-05-26,0.7853,0.7964,0.7648,0.772,49596
2025-05-27,0.772,0.7742,0.7335,0.7516,155193.51
2025-05-28,0.7516,0.7562,0.71,0.7304,183296.29
2025-05-29,0.7304,0.7408,0.7013,0.7098,178713.97
2025-05-30,0.7098,0.7253,0.6506,0.6591,226827.53
2025-05-31,0.6591,0.6786,0.6025,0.6555,155673.45
2025-06-01,0.6555,0.6555,0.6262,0.6478,170146.07
2025-06-02,0.6478,0.6591,0.6308,0.648,137228.17
2025-06-03,0.648,0.6594,0.641,0.6484,108729.88
2025-06-04,0.6484,0.6576,0.6418,0.645,128706.87
2025-06-05,0.645,0.6526,0.6029,0.6199,144986.9
2025-06-06,0.6199,0.628,0.612,0.6261,30198.57
2025-06-07,0.6261,0.6581,0.6211,0.64,49227.3
2025-06-08,0.64,0.6411,0.6269,0.6296,34106.73
2025-06-09,0.6296,0.6386,0.6253,0.6356,23922.49
2025-06-10,0.6356,0.6471,0.6334,0.6418,46557.52
2025-06-11,0.6418,0.6453,0.627,0.6331,45059.41
2025-06-12,0.6331,0.6352,0.6088,0.6181,25454.76
2025-06-13,0.6181,0.6181,0.3986,0.5877,215134.84
2025-06-14,0.5877,0.6393,0.5755,0.6095,39955.87
2025-06-15,0.6095,0.6221,0.5933,0.6049,16280.92
2025-06-16,0.6049,0.609,0.5509,0.5787,47408.7
2025-06-17,0.5787,0.5864,0.5248,0.5488,62131.98
2025-06-18,0.5488,0.5631,0.523,0.5394,33784.9
2025-06-19,0.5394,0.5461,0.5237,0.5382,26968.5
2025-06-20,0.5382,0.56,0.5258,0.5401,36315.21
2025-06-21,0.5401,0.5449,0.5014,0.5188,45605.7
2025-06-22,0.5188,0.523,0.4719,0.5011,58944.67
2025-06-23,0.5011,0.5423,0.4952,0.5379,50457.23
2025-06-24,0.5379,0.5538,0.5256,0.5436,24209.28
2025-06-25,0.5436,0.6671,0.5433,0.6346,178524.61
2025-06-26,0.6346,0.6346,0.5442,0.5706,68832.11
2025-06-27,0.5706,0.5998,0.5432,0.5734,64216.78
2025-06-28,0.5734,0.5758,0.5218,0.5333,69204.17
2025-06-29,0.5333,0.551,0.5135,0.5354,35114.86
2025-06-30,0.5354,0.5358,0.5021,0.5072,27293.48
2025-07-01,0.5072,0.5072,0.4755,0.4774,31661.3
2025-07-02,0.4774,0.5067,0.4774,0.4954,29741.35
2025-07-03,0.4954,0.5127,0.4904,0.4963,35090.87
2025-07-04,0.4963,0.4963,0.4511,0.4696,61078.8
2025-07-05,0.4696,0.4731,0.4564,0.4608,11665.5
2025-07-06,0.4608,0.4829,0.4462,0.4667,37874.13
2025-07-07,0.4667,0.476,0.453,0.458,22182.73
2025-07-08,0.458,0.4664,0.454,0.46,18770.76
2025-07-09,0.46,0.4736,0.4584,0.4682,26931.63
2025-07-10,0.4682,0.5087,0.4667,0.5029,39672.91
2025-07-11,0.5029,0.5273,0.4586,0.4712,96912.98
2025-07-12,0.4712,0.4749,0.4561,0.4649,90222.81
2025-07-13,0.4649,0.4733,0.4613,0.4661,90847.52
2025-07-14,0.4661,0.476,0.454,0.4599,59163.2
2025-07-15,0.4599,0.46,0.4209,0.4461,31182.99
2025-07-16,0.4461,0.4557,0.4315,0.4457,38249.13
2025-07-17,0.4457,0.4484,0.4329,0.4423,38386.31
2025-07-18,0.4423,0.4602,0.4409,0.4494,37626.77
2025-07-19,0.4494,0.45,0.4386,0.444,19704.38
2025-07-20,0.444,0.455,0.4428,0.4462,24934.05
2025-07-21,0.4462,0.46,0.4418,0.4557,54492.69
2025-07-22,0.4557,0.5213,0.4557,0.491,138267.16
2025-07-23,0.491,0.4922,0.4415,0.4537,106572.46
2025-07-24,0.4537,0.4537,0.4353,0.4455,23724.02
2025-07-25,0.4455,0.4466,0.4336,0.4432,34809.26
2025-07-26,0.4432,0.445,0.4401,0.4422,11009.17
2025-07-27,0.4422,0.4448,0.4401,0.4428,35877.72
2025-07-28,0.4428,0.4719,0.4387,0.4416,38955.6
2025-07-29,0.4416,0.442,0.4211,0.4282,44339.35
2025-07-30,0.4282,0.43,0.4045,0.4191,19603.14
2025-07-31,0.4191,0.4362,0.4016,0.4088,31246.87
2025-08-01,0.4088,0.412,0.3224,0.372,156712.28
2025-08-02,0.372,0.3812,0.3398,0.3544,48574.92
2025-08-03,0.3544,0.3768,0.3496,0.3607,39023.55
2025-08-04,0.3607,0.3688,0.3506,0.363,57914.46
2025-08-05,0.3617,0.3628,0.3583,0.3591,940793.41
2025-08-06,0.3441,0.3498,0.3415,0.3416,3054867.96
