date,open,high,low,close,volume
2025-05-11,0.2744,0.2765,0.2527,0.255,8223683.68
2025-05-12,0.255,0.2702,0.2464,0.2552,9167151.05
2025-05-13,0.2552,0.2644,0.2437,0.2593,9719476.09
2025-05-14,0.2593,0.2639,0.2469,0.2493,2574536.11
2025-05-15,0.2493,0.2515,0.2315,0.2354,2798169.87
2025-05-16,0.2354,0.2457,0.2341,0.2382,1833257.91
2025-05-17,0.2382,0.2382,0.2269,0.2315,1678642.44
2025-05-18,0.2315,0.2448,0.2275,0.2421,1477155.13
2025-05-19,0.2421,0.2433,0.2268,0.2329,1766831.41
2025-05-20,0.2329,0.2377,0.2258,0.2319,1854937.03
2025-05-21,0.2319,0.2448,0.2293,0.2421,2103892.8
2025-05-22,0.2421,0.2534,0.2421,0.2512,2552655.57
2025-05-23,0.2512,0.2573,0.2336,0.235,1687575.78
2025-05-24,0.235,0.2403,0.2319,0.2332,855246.95
2025-05-25,0.2332,0.2362,0.2269,0.2359,1008378.34
2025-05-26,0.2359,0.2391,0.2283,0.2312,1046539.22
2025-05-27,0.2312,0.2354,0.2264,0.2299,1211974.9
2025-05-28,0.2299,0.2337,0.2229,0.2291,1315972.03
2025-05-29,0.2291,0.2361,0.224,0.2247,1468084.3
2025-05-30,0.2247,0.2277,0.2048,0.2065,1958982.41
2025-05-31,0.2065,0.218,0.2009,0.214,1341990.27
2025-06-01,0.214,0.2168,0.2098,0.2152,954371.68
2025-06-02,0.2152,0.2195,0.2112,0.2188,1149360.17
2025-06-03,0.2188,0.2211,0.2128,0.2154,907579.36
2025-06-04,0.2154,0.2197,0.212,0.2132,1112503.31
2025-06-05,0.2132,0.217,0.1954,0.1991,1306875.42
2025-06-06,0.1991,0.2261,0.1982,0.2144,2883118.7
2025-06-07,0.2144,0.2193,0.2129,0.2132,1188157.31
2025-06-08,0.2132,0.214,0.2083,0.2103,792234.1
2025-06-09,0.2103,0.2194,0.2078,0.219,922824.08
2025-06-10,0.219,0.2272,0.2147,0.2258,1240919.46
2025-06-11,0.2258,0.2398,0.219,0.2306,2595060.6
2025-06-12,0.2306,0.233,0.2097,0.2109,1968675.48
2025-06-13,0.2109,0.2109,0.191,0.2046,2575099.72
2025-06-14,0.2046,0.2047,0.196,0.1992,818701.33
2025-06-15,0.1992,0.2012,0.1953,0.1989,620724.73
2025-06-16,0.1989,0.2081,0.1969,0.1997,849570.12
2025-06-17,0.1997,0.2028,0.1932,0.1943,1091981.03
2025-06-18,0.1943,0.1975,0.1823,0.1902,1101452.56
2025-06-19,0.1902,0.1924,0.1846,0.1872,733186.12
2025-06-20,0.1872,0.1925,0.1799,0.1827,1576717.2
2025-06-21,0.1827,0.1884,0.1676,0.1729,1493797.99
2025-06-22,0.1729,0.1752,0.1637,0.1727,1503470.53
2025-06-23,0.1727,0.1832,0.1667,0.1813,1576999.27
2025-06-24,0.1813,0.1855,0.1791,0.1844,1530881.21
2025-06-25,0.1844,0.1851,0.1768,0.1778,854115.67
2025-06-26,0.1778,0.1812,0.171,0.173,652113.94
2025-06-27,0.173,0.1767,0.1717,0.1747,607534.8
2025-06-28,0.1747,0.1788,0.1741,0.1781,571733.83
2025-06-29,0.1781,0.1868,0.1766,0.1847,919995.31
2025-06-30,0.1847,0.193,0.1811,0.1887,1950045.65
2025-07-01,0.1887,0.1894,0.1755,0.177,2003003.01
2025-07-02,0.177,0.1918,0.1748,0.1882,1103804.13
2025-07-03,0.1882,0.1925,0.1856,0.1872,1005581.68
2025-07-04,0.1872,0.1882,0.1775,0.1797,1062733.78
2025-07-05,0.1797,0.1835,0.1789,0.1825,723640.39
2025-07-06,0.1825,0.1861,0.1801,0.1836,462489.55
2025-07-07,0.1836,0.1873,0.1824,0.185,879829.62
2025-07-08,0.185,0.1958,0.1829,0.1927,1410520.88
2025-07-09,0.1927,0.2084,0.1917,0.2081,2607358.9
2025-07-10,0.2081,0.2238,0.2042,0.2205,2576752.64
2025-07-11,0.2205,0.2403,0.2173,0.2293,3523298.77
2025-07-12,0.2293,0.2363,0.2215,0.2263,2441672.27
