date,open,high,low,close,volume
2025-05-08,1.282e-05,1.457e-05,1.274e-05,1.439e-05,16135432.81
2025-05-09,1.439e-05,1.563e-05,1.411e-05,1.503e-05,26417005.21
2025-05-10,1.503e-05,1.709e-05,1.486e-05,1.707e-05,26952298.89
2025-05-11,1.707e-05,1.728e-05,1.561e-05,1.591e-05,20782878.67
2025-05-12,1.591e-05,1.764e-05,1.504e-05,1.578e-05,35596915.3
2025-05-13,1.578e-05,1.661e-05,1.48e-05,1.636e-05,21074531.18
2025-05-14,1.636e-05,1.67e-05,1.552e-05,1.573e-05,15448457.24
2025-05-15,1.573e-05,1.59e-05,1.446e-05,1.482e-05,13310913.46
2025-05-16,1.482e-05,1.521e-05,1.441e-05,1.457e-05,8745350.7
2025-05-17,1.457e-05,1.462e-05,1.398e-05,1.419e-05,7103328.19
2025-05-18,1.419e-05,1.535e-05,1.409e-05,1.5e-05,9939465.08
2025-05-19,1.5e-05,1.514e-05,1.388e-05,1.46e-05,9784938.51
2025-05-20,1.46e-05,1.492e-05,1.413e-05,1.462e-05,5929267.89
2025-05-21,1.462e-05,1.517e-05,1.429e-05,1.483e-05,12132950.33
2025-05-22,1.483e-05,1.553e-05,1.483e-05,1.553e-05,13352621.3
2025-05-23,1.553e-05,1.605e-05,1.419e-05,1.431e-05,18109586.19
2025-05-24,1.431e-05,1.459e-05,1.425e-05,1.439e-05,3885949.64
2025-05-25,1.439e-05,1.47e-05,1.393e-05,1.449e-05,7968440.95
2025-05-26,1.449e-05,1.475e-05,1.42e-05,1.441e-05,6919313.33
2025-05-27,1.441e-05,1.468e-05,1.406e-05,1.447e-05,8318940.56
2025-05-28,1.447e-05,1.455e-05,1.394e-05,1.433e-05,6001656.53
2025-05-29,1.433e-05,1.469e-05,1.384e-05,1.39e-05,7516338.63
2025-05-30,1.39e-05,1.397e-05,1.267e-05,1.276e-05,11839339.45
2025-05-31,1.276e-05,1.295e-05,1.227e-05,1.282e-05,6694071.89
2025-06-01,1.282e-05,1.309e-05,1.258e-05,1.295e-05,4580666.84
2025-06-02,1.295e-05,1.325e-05,1.265e-05,1.32e-05,5762575.98
2025-06-03,1.32e-05,1.345e-05,1.295e-05,1.305e-05,4377796.73
2025-06-04,1.305e-05,1.319e-05,1.271e-05,1.281e-05,3210849.62
2025-06-05,1.281e-05,1.296e-05,1.191e-05,1.202e-05,6860877.24
