date,open,high,low,close,volume
2025-05-11,177.93,180.03,169.47,173.23,298828128.25
2025-05-12,173.23,181.35,168.37,174.22,607439815.08
2025-05-13,174.22,184.79,166.18,183.77,426481222.52
2025-05-14,183.77,184.84,173.21,176.68,359369658.14
2025-05-15,176.68,178.36,166.83,169.17,416500006.6
2025-05-16,169.17,174.24,166.44,167.48,266324544.91
2025-05-17,167.48,169.99,164.1,166.02,219578844.48
2025-05-18,166.02,176.82,164.72,173.38,295333516.3
2025-05-19,173.38,173.95,159.5,166.88,333708835.79
2025-05-20,166.88,173.05,164.6,168.64,294367253.89
2025-05-21,168.64,175.98,165.66,173.61,437347677.53
2025-05-22,173.61,180.83,172.67,179.72,382502539.27
2025-05-23,179.72,187.67,173.36,174.03,653657871.87
2025-05-24,174.03,178.36,172.67,175.96,195112928.08
2025-05-25,175.96,176.95,169.23,175.81,245361650.31
2025-05-26,175.81,179.09,173.56,174.98,201379763.47
2025-05-27,174.98,179.48,171.36,176.8,260529810.97
2025-05-28,176.8,177.48,169.03,172.28,220733710.07
2025-05-29,172.28,175.41,166.05,166.71,253136898.85
2025-05-30,166.71,167.48,155.34,156.26,290792123.78
2025-05-31,156.26,158.08,152.22,156.53,190288070.24
2025-06-01,156.53,157.98,150.68,157.77,167972634.42
2025-06-02,157.77,158.98,151.76,156.91,217518120.62
2025-06-03,156.91,163.71,154.36,155.3,201821172.15
2025-06-04,155.3,158.01,153.05,153.31,148877566.64
2025-06-05,153.31,154.66,141.57,144.38,281549617.46
2025-06-06,144.38,152.46,144.27,147.95,163583793.09
2025-06-07,147.95,152.91,147.01,150.16,91401983.83
2025-06-08,150.16,155.33,148.1,152.53,84863431.72
2025-06-09,152.53,161.76,149.7,161.23,179108410.9
2025-06-10,161.23,165.68,156.4,165.14,282391223.47
2025-06-11,165.14,168.37,159.28,161.02,347532150.94
2025-06-12,161.02,161.34,152.11,152.41,244390728.28
2025-06-13,152.41,152.63,140.95,148.66,411444727.38
2025-06-14,148.66,148.76,142.06,144.72,129033268.57
2025-06-15,144.72,153.54,144.31,152.98,173155092.67
2025-06-16,152.98,158.81,150.39,150.74,280457762.66
2025-06-17,150.74,154.34,145.63,147.61,231469810.36
2025-06-18,147.61,149.3,143.81,146.41,173323788.84
2025-06-19,146.41,147.94,143.01,147.06,118290943.95
2025-06-20,147.06,148.8,135.74,140.15,209040394.59
2025-06-21,140.15,142.61,131.03,135.47,171088028.19
2025-06-22,135.47,137.64,126.09,131.78,299805281.71
2025-06-23,131.78,147.01,130.75,144.6,303946442.39
2025-06-24,144.6,146.81,142.43,145.98,227254323.46
2025-06-25,145.98,147.99,142.38,143.65,186155680.36
2025-06-26,143.65,148.03,138.72,139.15,172524820.6
2025-06-27,139.15,144.87,137.25,142.17,153999088.73
2025-06-28,142.17,152.72,141.24,150.81,158063386.87
2025-06-29,150.81,154.76,149.46,153.36,125325349.22
2025-06-30,153.36,162.24,149.51,154.88,301641460.78
2025-07-01,154.88,155.63,144.9,146.93,181207323.43
2025-07-02,146.93,154.51,145.9,152.35,194625028.54
2025-07-03,152.35,156.41,150.01,152.4,179108954.13
2025-07-04,152.4,153.91,145.29,147.75,126735058.69
2025-07-05,147.75,148.7,145.98,147.62,58791536.83
2025-07-06,147.62,153.84,146.85,151.91,105109960.71
2025-07-07,151.91,153.58,147.75,148.91,197402475.12
2025-07-08,148.91,152.87,147.86,151.73,136427428.99
2025-07-09,151.73,157.97,150.62,157.11,259666672.36
2025-07-10,157.11,165.38,155.75,164.34,247646914.87
2025-07-11,164.34,168.21,159.65,162.98,314326276.37
2025-07-12,162.98,163.98,157.81,160.76,133459776.12
2025-07-13,160.76,164.22,159.73,161.22,138616610.04
2025-07-14,161.22,168.66,160.71,162.26,288370746.54
2025-07-15,162.26,164.24,157.22,164.03,226893508.78
2025-07-16,164.03,176.08,161.56,173.73,448832181.75
2025-07-17,173.73,178.23,168.82,176,370359016.35
2025-07-18,176,184.76,173.37,177.36,493005880.88
2025-07-19,177.36,178.71,174.15,177.05,270528871.82
2025-07-20,177.05,183.71,176.43,181.54,369233722.51
2025-07-21,181.54,199.45,178.39,195.82,767167569.74
2025-07-22,195.82,206.4,193.89,205.8,851563456.61
2025-07-23,205.8,205.84,184.1,189.5,545246153.35
2025-07-24,189.5,192.02,179.48,182.97,500594161.49
2025-07-25,182.97,186.92,175.77,186.8,548134766.85
2025-07-26,186.8,189.79,184.43,184.92,184124510.84
2025-07-27,184.92,190.74,184.62,188.71,198444213.45
2025-07-28,188.71,195.31,182.22,183.13,392184056.3
2025-07-29,183.13,186.64,178.26,181.47,281675365.23
2025-07-30,181.47,182.5,170.45,177.77,264745022.53
2025-07-31,177.77,182.67,171.49,172.22,274056279.25
2025-08-01,172.22,172.24,159.2,162.67,517751854.06
2025-08-02,162.67,165.21,155.81,158.48,187758990.15
2025-08-03,158.48,163.13,156.3,162.01,121815182.3
2025-08-04,162.01,169.83,161.33,169.57,244834590.1
2025-08-05,169.57,169.63,168.62,169.26,4601626.69
2025-08-06,164.07,164.13,161.74,162.2,16989212.08
2025-08-07,168.16,175.55,166.74,175.44,228221779.43
2025-08-08,175.44,175.97,173.51,174.51,87759172.25
