date,open,high,low,close,volume
2025-05-08,1809.53,2205.64,2203.66,2204.1,1515891.77
2025-05-09,2204.1,2343.68,2337.35,2342.27,4117454.92
2025-05-10,2342.27,2582.22,2580.41,2580.93,1692185.35
2025-05-11,2580.93,2513.49,2511.73,2512.24,1430944.08
2025-05-12,2512.24,2494.06,2492.32,2492.81,1986050.55
2025-05-13,2492.81,2678.16,2676.82,2677.63,779805.59
2025-05-14,2677.63,2608.24,2607.46,2607.72,455907.85
2025-05-15,2607.72,2547.22,2546.2,2546.45,354338.66
2025-05-16,2546.45,2536,2535.24,2535.5,256769.68
2025-05-17,2535.5,2474.43,2473.93,2474.43,213790.47
2025-05-18,2474.43,2497.47,2495.97,2496.72,707196.23
2025-05-19,2496.72,2527.14,2526.38,2526.89,141707.99
2025-05-20,2526.89,2523.58,2522.83,2523.58,62483.96
2025-05-21,2523.58,2550.68,2549.66,2550.68,343244.83
2025-05-22,2550.68,2663.5,2662.97,2662.97,79436.33
2025-05-23,2662.97,2525.38,2524.63,2525.38,381358.22
2025-05-24,2525.38,2529.4,2528.9,2528.9,33811.33
2025-05-25,2528.9,2550.95,2550.19,2550.44,42974.97
2025-05-26,2550.44,2563.19,2562.67,2563.19,23804.32
2025-05-27,2563.19,2660.67,2659.34,2660.14,358799.22
2025-05-28,2660.14,2680.49,2679.69,2680.49,72292.84
2025-05-29,2680.49,2630.24,2629.19,2629.98,395759.05
2025-05-30,2629.98,2530.27,2529.26,2529.76,342555.42
2025-05-31,2529.76,2527.8,2527.04,2527.55,109771.47
2025-06-01,2527.55,2538.93,2538.16,2538.93,68906.44
2025-06-02,2538.93,2607.77,2606.98,2607.77,59404.9
2025-06-03,2607.77,2593.84,2593.06,2593.84,58335.51
2025-06-04,2593.84,2607.24,2606.45,2606.72,195764.3
2025-06-05,2606.72,2414.88,2414.16,2414.88,497610.93
2025-06-06,2414.88,2478.31,2477.32,2477.81,253728.19
2025-06-07,2477.81,2525.92,2525.66,2525.66,66955.37
2025-06-08,2525.66,2510.28,2509.78,2510.28,159503.05
2025-06-09,2510.28,2681.27,2679.66,2680.2,491762.64
2025-06-10,2680.2,2815.87,2813.9,2814.46,515299.54
2025-06-11,2814.46,2771.74,2770.63,2771.18,284323.45
2025-06-12,2771.18,2643.45,2643.19,2643.19,173208.09
2025-06-13,2643.19,2580.25,2578.7,2578.7,565586.68
2025-06-14,2578.7,2531.74,2531.23,2531.74,78635.75
2025-06-15,2531.74,2547.39,2546.88,2547.39,34491.67
2025-06-16,2547.39,2544.21,2543.7,2544.21,128584.47
2025-06-17,2544.21,2509.96,2509.7,2509.96,181043.1
2025-06-18,2509.96,2525.09,2524.59,2524.84,285508.87
2025-06-19,2524.84,2521.34,2520.58,2521.34,89305.71
2025-06-20,2521.34,2407.22,2405.78,2406.26,447852.57
2025-06-21,2406.26,2296.71,2295.33,2296.25,731172.22
2025-06-22,2296.25,2228.35,2222.33,2226.56,1096560.65
2025-06-23,2226.56,2412.2,2410.52,2411.72,863107.1
2025-06-24,2411.72,2448.71,2448.22,2448.71,87957.67
2025-06-25,2448.71,2419.5,2418.29,2419.02,596240.02
2025-06-26,2419.02,2416.53,2415.81,2416.53,186314.69
2025-06-27,2416.53,2423.45,2422.24,2423.21,407317
2025-06-28,2423.21,2436.33,2435.84,2435.84,22911.55
2025-06-29,2435.84,2500.26,2499.51,2500.26,134964.01
2025-06-30,2500.26,2485.62,2484.88,2485.13,96174.41
2025-07-01,2485.13,2404.98,2404.26,2404.74,112156.97
2025-07-02,2404.74,2570.3,2569.53,2570.3,180178.13
2025-07-03,2570.3,2591.52,2589.97,2590.74,923522.51
2025-07-04,2590.74,2507.69,2506.68,2507.69,407398.75
2025-07-05,2507.69,2516.08,2515.58,2516.08,70475.49
2025-07-06,2516.08,2570.88,2569.6,2570.63,440579.55
2025-07-07,2570.63,2542.5,2541.74,2541.99,121252.99
2025-07-08,2541.99,2616.29,2614.72,2614.72,338449.39
2025-07-09,2614.72,2768.88,2766.39,2767.77,1530689.74
2025-07-10,2767.77,2950.13,2948.36,2948.36,777600.12
2025-07-11,2948.36,2957.85,2956.07,2956.96,670549.52
2025-07-12,2956.96,2943.09,2941.33,2942.8,720102.64
2025-07-13,2942.8,2972.12,2971.23,2971.23,194704.45
2025-07-14,2971.23,3013.76,3012.25,3013.15,785227.59
2025-07-15,3013.15,3138.07,3136.5,3136.5,493968.11
2025-07-16,3136.5,3370.74,3367.37,3369.73,814597.78
2025-07-17,3369.73,3476.35,3469.74,3472.17,1740044.82
2025-07-18,3472.17,3543.88,3532.17,3541.4,993361.58
2025-07-19,3541.4,3588.95,3584.64,3588.95,28126.59
2025-07-20,3588.95,3753.38,3745.86,3749.62,824803.75
2025-07-21,3749.62,3758.61,3742.8,3751.84,1004854.76
2025-07-22,3751.84,3740.02,3732.15,3736.27,1552532.06
2025-07-23,3736.27,3621.13,3612.06,3618.59,650984.94
2025-07-24,3618.59,3704.31,3696.89,3702.46,752153.76
2025-07-25,3702.46,3721.91,3716.32,3718.56,296889.67
2025-07-26,3718.56,3739.05,3735.3,3739.05,158086.92
2025-07-27,3739.05,3870.63,3865.98,3867.92,169840.43
2025-07-28,3867.92,3796.29,3792.87,3794.01,360620.78
2025-07-29,3794.01,3790.8,3788.15,3788.15,163155.58
2025-07-30,3788.15,3807.62,3804.19,3806.48,466446.02
2025-07-31,3806.48,3694.49,3693.01,3693.01,131175.81
2025-08-01,3693.01,3483.88,3481.44,3481.44,348352.96
2025-08-02,3481.44,3391.36,3386.27,3388.99,378685.58
2025-08-03,3388.99,3493.4,3489.91,3493.4,594192.9
2025-08-04,3493.4,3718.7,3713.49,3717.58,128962.89
2025-08-05,3716.01,3716.85,3690.86,3701.44,105717.7
