date,open,high,low,close,volume
2025-05-09,423.2,451.52,417.78,430.36,23262463.22
2025-05-10,430.36,469.24,424.12,464.63,16638128.06
2025-05-11,464.63,468.17,439.32,458.79,14067430.73
2025-05-12,458.79,490.83,435.27,456.45,26421989.38
2025-05-13,456.45,470.54,442.17,462.13,16889725.64
2025-05-14,462.13,470.41,443.9,455.56,15693486.1
2025-05-15,455.56,462.4,418.07,436.43,21611537.19
2025-05-16,436.43,446.02,424.02,425.42,11144589.13
2025-05-17,425.42,428.06,410.04,423.59,11582471.59
2025-05-18,423.59,440.86,396.58,425.62,17323960.25
2025-05-19,425.62,428.34,388.02,410.97,21895753.73
2025-05-20,410.97,424.38,406.41,415.55,19753544.7
2025-05-21,415.55,487.25,410.9,470.06,18788764.09
2025-05-22,470.06,515.73,458.7,489.27,20753629.67
2025-05-23,489.27,492.54,414.46,420.63,21393982.66
2025-05-24,420.63,441.31,418.77,432.06,10856031.73
2025-05-25,432.06,436.33,411.68,432.05,9560669.13
2025-05-26,432.05,460.6,426.09,435.19,13188482.82
2025-05-27,435.19,458.96,425.81,448.37,10754346.94
2025-05-28,448.37,457.57,427.25,434.88,9355478.87
2025-05-29,434.88,442.74,414.7,416.38,10986323.6
2025-05-30,416.38,418.52,375.8,376.56,22293995.63
2025-05-31,376.56,435.8,366.17,430.63,21365128.98
2025-06-01,430.63,439.04,410.59,414.28,10566992.46
2025-06-02,414.28,420.12,397.57,403.97,10637391.82
2025-06-03,403.97,407.88,384.42,387,15714996.3
2025-06-04,387,400.04,377.07,381.29,12782418.44
2025-06-05,381.29,384.33,346.63,351.94,18258669.54
2025-06-06,351.94,378.75,351.56,367.58,17087692.2
2025-06-07,367.58,392.45,365.32,386.38,10575306.05
2025-06-08,386.38,389.62,373.41,383.5,7921560.36
2025-06-09,383.5,432.74,380.25,420.35,23622248.02
2025-06-10,420.35,443.24,415.31,427.78,21742021.99
2025-06-11,427.78,436.56,401.21,407.94,15584400.75
2025-06-12,407.94,408.34,378.68,386.41,20920116.41
2025-06-13,386.41,386.49,353.64,375.52,20931491.31
2025-06-14,375.52,379.78,353.81,363.62,6981236.15
2025-06-15,363.62,375.56,355.09,367,9110498.88
2025-06-16,367,391.62,363.9,367.29,11423581.27
2025-06-17,367.29,372.04,334.57,349.96,16341657.53
2025-06-18,349.96,366.87,337.95,362.62,13170249.94
2025-06-19,362.62,368.01,345.5,350.52,8063211.11
2025-06-20,350.52,359.74,330.45,340.36,10791749.56
2025-06-21,340.36,345.43,302.65,316.35,14982132.03
2025-06-22,316.35,323.33,287.63,305.49,22585003.78
2025-06-23,305.49,359.89,296.97,350.17,23112333.96
2025-06-24,350.17,364.35,341.13,345.62,20368160.16
2025-06-25,345.62,346.81,322.8,323.29,12506160.92
2025-06-26,323.29,333.63,315.82,319.84,10729338.81
2025-06-27,319.84,328.29,314.83,326.17,8931203.07
2025-06-28,326.17,334.05,316.74,329.99,4911406.76
2025-06-29,329.99,351.18,328.63,346.11,6961194.71
2025-06-30,346.11,348,328.88,334.72,8913816.79
2025-07-01,334.72,337.73,316.37,318.31,9521361.88
2025-07-02,318.31,343.05,316.89,334.93,9557904.33
2025-07-03,334.93,346.7,329.43,338.2,6714009.77
2025-07-04,338.2,340.51,315.44,324.85,5277091.29
2025-07-05,324.85,325.83,317.9,322.32,3554533.77
2025-07-06,322.32,332.32,318.75,326.7,4344857
2025-07-07,326.7,331.96,317.03,320.06,4204900.88
2025-07-08,320.06,323.64,315.53,321.09,5453872.1
2025-07-09,321.09,351.65,317.82,347.87,12823422.5
2025-07-10,347.87,381.84,345.84,375.68,15492959.01
2025-07-11,375.68,402.73,369.15,394.26,17119844.68
2025-07-12,394.26,401.31,373.71,384.87,8597991.82
2025-07-13,384.87,404.99,381.53,391.12,7895604.53
2025-07-14,391.12,432.08,390.95,408.76,19242937.91
2025-07-15,408.76,437.38,400.44,436.17,20320433.06
2025-07-16,436.17,446.74,428.7,432.32,18116294.54
2025-07-17,432.32,438.21,412.78,422.54,16948556.05
2025-07-18,422.54,439.01,397.68,411.71,17680940.46
2025-07-19,411.71,419.9,403.98,413.9,7513274.92
2025-07-20,413.9,434.88,406.93,413.44,14772838.17
2025-07-21,413.44,449.53,408.05,446.65,21707051.73
2025-07-22,446.65,461.28,415.17,452.21,25712118.1
2025-07-23,452.21,452.21,409.22,424.86,14230552.66
2025-07-24,424.86,436.69,402.34,416.41,12698313.48
2025-07-25,416.41,428.65,403.15,427.4,12368060.52
2025-07-26,427.4,434.77,422.33,426.55,7281842.3
2025-07-27,426.55,433.74,421.53,429.05,8182903.96
2025-07-28,429.05,439.01,399.83,402.55,13070725.32
2025-07-29,402.55,411.26,375.06,383.65,16618474.96
2025-07-30,383.65,384.72,355.56,372.89,16921586.64
2025-07-31,372.89,382.35,351.89,352.95,12215174.68
2025-08-01,352.95,357.56,334.88,343.51,17839889.35
2025-08-02,343.51,349.44,327.42,333.8,6663132.25
2025-08-03,333.8,358.3,329,349.92,12145167.39
2025-08-04,349.92,362.88,349.35,357.99,6860430.27
2025-08-05,357.99,358.06,355.69,357.26,72883.87
2025-08-06,342.15,342.98,338.28,338.49,372650.87
