date,open,high,low,close,volume
2025-05-11,3.514,3.585,3.331,3.411,996382.23
2025-05-12,3.411,3.583,3.246,3.36,1238821.4
2025-05-13,3.36,3.434,3.196,3.396,1047355.24
2025-05-14,3.396,3.458,3.228,3.249,797719.35
2025-05-15,3.249,3.282,3.03,3.067,1164353.07
2025-05-16,3.067,3.18,3.065,3.101,507554
2025-05-17,3.101,3.106,3.01,3.074,608738.07
2025-05-18,3.074,3.195,3.022,3.14,718801.03
2025-05-19,3.14,3.141,2.888,3.03,677590.84
2025-05-20,3.03,3.095,3.011,3.087,1155589.81
2025-05-21,3.087,3.139,3.019,3.1,664697.41
2025-05-22,3.1,3.197,3.086,3.175,430973.44
2025-05-23,3.175,3.216,2.945,2.977,1092311.95
2025-05-24,2.977,3.041,2.966,3.032,249407.14
2025-05-25,3.032,3.043,2.916,2.994,125134.44
2025-05-26,2.994,3.024,2.939,2.969,341012.56
2025-05-27,2.969,3.026,2.928,3.011,324594.29
2025-05-28,3.011,3.693,2.978,3.325,4898132.27
2025-05-29,3.325,3.473,3.251,3.378,1412775.16
2025-05-30,3.378,3.402,3.07,3.098,941833.73
2025-05-31,3.098,3.167,2.996,3.155,720853.84
2025-06-01,3.155,3.221,3.095,3.191,183704.82
2025-06-02,3.191,3.253,3.103,3.215,391141.35
2025-06-03,3.215,3.238,3.165,3.184,283219.94
2025-06-04,3.184,3.225,3.141,3.167,362914.32
2025-06-05,3.167,3.256,2.996,3.035,560522.41
2025-06-06,3.035,3.21,3.025,3.155,1002983.17
2025-06-07,3.155,3.207,3.124,3.182,1563530.84
2025-06-08,3.182,3.201,3.121,3.172,367855.41
2025-06-09,3.172,3.329,3.152,3.31,575598.34
2025-06-10,3.31,3.392,3.274,3.348,519371.64
2025-06-11,3.348,3.348,3.207,3.24,578517.55
2025-06-12,3.24,3.243,3.068,3.095,319272.04
2025-06-13,3.095,3.095,2.904,3.027,596658.69
2025-06-14,3.027,3.035,2.908,2.955,307289.44
2025-06-15,2.955,2.983,2.942,2.978,143762.05
2025-06-16,2.978,3.047,2.957,2.963,928947.17
2025-06-17,2.963,3.025,2.915,2.959,352392.13
2025-06-18,2.959,2.991,2.849,2.949,398285.96
2025-06-19,2.949,2.975,2.909,2.968,268436.38
2025-06-20,2.968,3.007,2.891,2.939,232315.62
2025-06-21,2.939,2.971,2.781,2.854,199606.87
2025-06-22,2.854,2.893,2.609,2.733,480771.89
2025-06-23,2.733,2.944,2.714,2.913,1259216.53
2025-06-24,2.913,2.935,2.851,2.902,1471313.1
2025-06-25,2.902,2.918,2.817,2.833,411130.43
2025-06-26,2.833,2.889,2.795,2.816,253583.08
2025-06-27,2.816,2.866,2.809,2.853,184577.14
2025-06-28,2.853,2.861,2.823,2.853,159860.81
2025-06-29,2.853,2.919,2.84,2.913,268371.12
2025-06-30,2.913,2.966,2.871,2.914,296421.74
2025-07-01,2.914,2.915,2.751,2.789,599756.38
2025-07-02,2.789,2.907,2.765,2.865,278951.49
2025-07-03,2.865,2.921,2.848,2.853,442116.08
2025-07-04,2.853,2.853,2.733,2.742,395402.31
2025-07-05,2.742,2.765,2.722,2.747,162288.32
2025-07-06,2.747,3.064,2.723,2.837,5212754.65
2025-07-07,2.837,2.855,2.731,2.738,993192.66
2025-07-08,2.738,2.808,2.728,2.804,901766.51
2025-07-09,2.804,2.854,2.79,2.838,822723.47
2025-07-10,2.838,2.949,2.831,2.944,2158354.51
2025-07-11,2.944,3.016,2.915,2.963,3322563.26
2025-07-12,2.963,3.025,2.897,3.001,508625.42
2025-07-13,3.001,3.046,2.943,2.972,1950240.31
2025-07-14,2.972,3.057,2.954,3.025,1514659.11
2025-07-15,3.025,3.099,2.957,3.095,597753.1
2025-07-16,3.095,3.19,3.061,3.162,985579.22
2025-07-17,3.162,3.269,3.1,3.2,918841.5
2025-07-18,3.2,3.353,3.154,3.19,1570870.93
2025-07-19,3.19,3.227,3.14,3.201,228992.01
2025-07-20,3.201,3.326,3.178,3.276,896183.47
2025-07-21,3.276,3.381,3.229,3.328,695812.77
2025-07-22,3.328,3.591,3.201,3.342,3528799.22
2025-07-23,3.342,3.344,3.109,3.199,1617249.1
2025-07-24,3.199,3.334,3.025,3.122,1100598.64
2025-07-25,3.122,3.197,3.057,3.191,587990.57
2025-07-26,3.191,3.371,3.187,3.299,1135167.17
2025-07-27,3.299,3.383,3.282,3.375,486183.98
2025-07-28,3.375,3.444,3.187,3.205,1120381.81
2025-07-29,3.205,3.41,3.184,3.373,1293734.61
2025-07-30,3.373,3.489,3.268,3.407,1748439.38
2025-07-31,3.407,3.686,3.405,3.527,2845490.12
2025-08-01,3.527,3.657,3.353,3.565,3244623.94
2025-08-02,3.565,3.718,3.492,3.541,1319872.1
2025-08-03,3.541,3.743,3.463,3.563,1122205.79
2025-08-04,3.563,3.668,3.333,3.42,2564071.86
2025-08-05,3.42,3.422,3.403,3.416,1302255.47
2025-08-06,3.195,3.199,3.144,3.158,6191803.54
2025-08-07,3.311,3.354,3.226,3.344,788227.92
2025-08-08,3.347,3.383,3.28,3.322,59952971.98
