date,open,high,low,close,volume
2025-05-09,0.2571,0.266,0.2542,0.2602,42241445.1
2025-05-10,0.2602,0.2667,0.2587,0.2662,35163699.82
2025-05-11,0.2662,0.2687,0.2596,0.2651,31076590.45
2025-05-12,0.2651,0.28,0.2631,0.2717,67695531.87
2025-05-13,0.2717,0.273,0.2608,0.2708,33389546.8
2025-05-14,0.2708,0.2789,0.2691,0.2747,35767957.31
2025-05-15,0.2747,0.2764,0.2673,0.2732,35212808.54
2025-05-16,0.2732,0.2782,0.2706,0.2717,26087916.69
2025-05-17,0.2717,0.2723,0.267,0.2696,19883294.28
2025-05-18,0.2696,0.2746,0.2637,0.268,23136625.67
2025-05-19,0.268,0.268,0.2605,0.2667,22716981.17
2025-05-20,0.2667,0.2755,0.2661,0.2691,29173435.35
2025-05-21,0.2691,0.2743,0.2658,0.2683,28100629.42
2025-05-22,0.2683,0.2821,0.2673,0.2759,39288816.98
2025-05-23,0.2759,0.2762,0.264,0.2687,30500944.4
2025-05-24,0.2687,0.2739,0.2686,0.2703,13784828.64
2025-05-25,0.2703,0.2738,0.2687,0.2723,16409519.26
2025-05-26,0.2723,0.2749,0.2703,0.2739,13526063.11
2025-05-27,0.2739,0.279,0.272,0.2779,17262730.24
2025-05-28,0.2779,0.2797,0.2731,0.2738,15001739.49
2025-05-29,0.2738,0.2782,0.2725,0.2747,17871619.94
2025-05-30,0.2747,0.2763,0.2667,0.267,25406414.08
2025-05-31,0.267,0.2695,0.2632,0.2656,17096648.47
2025-06-01,0.2656,0.2714,0.2649,0.2708,9993429.86
2025-06-02,0.2708,0.2718,0.2659,0.2688,12318259.47
2025-06-03,0.2688,0.272,0.2683,0.2702,10795084.96
2025-06-04,0.2702,0.2748,0.268,0.2744,14388227.88
2025-06-05,0.2744,0.285,0.2661,0.282,27677776.55
2025-06-06,0.282,0.2825,0.2757,0.2779,17306127.1
2025-06-07,0.2779,0.287,0.2773,0.2869,12412871.66
2025-06-08,0.2869,0.2876,0.2815,0.2817,13929906.05
