date,open,high,low,close,volume
2025-05-08,4.875,6.155,4.839,6.151,26558381.94
2025-05-09,6.151,6.698,6,6.359,31262617.19
2025-05-10,6.359,7.577,6.356,7.549,34010429.11
2025-05-11,7.549,7.555,6.722,6.928,23027982.72
2025-05-12,6.928,7.34,6.612,6.891,22291139.28
2025-05-13,6.891,7.362,6.528,7.094,26437513.18
2025-05-14,7.094,7.153,6.536,6.607,28995414.78
2025-05-15,6.607,6.781,6.118,6.225,25110689.36
2025-05-16,6.225,6.464,6.04,6.078,18615038.25
2025-05-17,6.078,6.088,5.65,5.738,13194684.28
2025-05-18,5.738,6.327,5.681,6.13,18931048.16
2025-05-19,6.13,6.172,5.66,5.931,21647846.81
2025-05-20,5.931,6.12,5.699,6.023,25822862.62
2025-05-21,6.023,6.506,5.949,6.214,45786902.57
2025-05-22,6.214,6.589,6.209,6.432,33461254.4
2025-05-23,6.432,6.789,5.938,5.981,27355655.28
2025-05-24,5.981,6.314,5.953,6.118,7357716.96
2025-05-25,6.118,6.176,5.898,6.162,6960991.93
2025-05-26,6.162,6.658,6.119,6.504,20069494.37
2025-05-27,6.504,6.784,6.267,6.328,18809175.39
2025-05-28,6.328,6.981,6.241,6.85,29996797.74
2025-05-29,6.85,7.673,6.537,6.56,41828750.58
2025-05-30,6.56,6.697,6.128,6.207,25492324.03
2025-05-31,6.207,6.228,5.893,6.056,10044296.54
2025-06-01,6.056,6.386,5.888,6.314,13268733.38
2025-06-02,6.314,6.477,6.04,6.446,8719160.32
2025-06-03,6.446,7.077,6.289,6.638,16338278.18
2025-06-04,6.638,6.847,6.264,6.312,13531926.88
2025-06-05,6.312,6.471,5.802,5.904,9691613.47
2025-06-06,5.904,6.159,5.831,5.994,5534363.78
2025-06-07,5.994,6.42,5.969,6.353,7851791.97
2025-06-08,6.353,6.457,6.212,6.325,6688771.23
2025-06-09,6.325,6.881,6.21,6.847,7640121.37
2025-06-10,6.847,8.677,6.831,8.665,46762993.96
2025-06-11,8.665,8.673,7.961,8.159,24834321.87
2025-06-12,8.159,8.245,7.487,7.491,15150459.32
2025-06-13,7.491,7.777,6.796,7.766,25254351.36
2025-06-14,7.766,7.767,7.11,7.304,5981234.23
2025-06-15,7.304,7.478,6.973,7.179,4861683.15
2025-06-16,7.179,7.974,7.021,7.448,22128070.77
2025-06-17,7.448,7.872,7.266,7.437,16076779.28
2025-06-18,7.437,7.795,7.132,7.585,17842695.88
2025-06-19,7.585,7.951,7.467,7.683,12347663.63
2025-06-20,7.683,7.993,7.001,7.071,25904359.76
2025-06-21,7.071,7.13,6.224,6.469,16972647.62
2025-06-22,6.469,6.613,5.926,6.261,12591738.35
2025-06-23,6.261,6.924,6.029,6.804,15155677.25
2025-06-24,6.804,7.166,6.721,7.061,12856251.54
2025-06-25,7.061,7.366,6.867,6.979,10849755.37
2025-06-26,6.979,7.321,6.744,6.812,9899468.56
2025-06-27,6.812,6.995,6.734,6.913,6713818.09
2025-06-28,6.913,7.174,6.837,7.129,3073075.99
2025-06-29,7.129,7.502,6.958,7.395,7137039.69
2025-06-30,7.395,7.452,7.051,7.132,6751140.89
2025-07-01,7.132,7.181,6.599,6.6,8773149.77
2025-07-02,6.6,7.573,6.504,7.352,19784382.63
2025-07-03,7.352,7.864,7.289,7.475,12726413.78
2025-07-04,7.475,7.634,6.782,6.934,16139836.24
2025-07-05,6.934,7.42,6.825,7.329,10875782.15
2025-07-06,7.329,7.571,7.221,7.422,8784973.85
2025-07-07,7.422,7.517,7.233,7.391,7289825.75
2025-07-08,7.391,7.813,7.321,7.66,15190172.61
2025-07-09,7.66,8.49,7.539,8.303,22024314.79
2025-07-10,8.303,8.614,8.019,8.471,17903853.6
2025-07-11,8.471,9.066,8.308,8.696,23664986.79
2025-07-12,8.696,8.864,8.176,8.392,10821092.36
2025-07-13,8.392,8.745,8.352,8.514,6145266.85
2025-07-14,8.514,9.647,8.489,9.134,24886299.99
2025-07-15,9.134,9.412,8.693,9.345,17444237.06
2025-07-16,9.345,9.532,8.776,8.909,32343855.75
2025-07-17,8.909,9.166,8.646,8.941,26384278.02
2025-07-18,8.941,10.93,8.868,10.14,55208745.95
2025-07-19,10.14,10.41,9.803,10.18,9652567.3
2025-07-20,10.18,10.89,10.12,10.66,15708199
2025-07-21,10.66,11.69,10.32,10.83,25969564.94
2025-07-22,10.83,11.08,10.13,10.78,22258915.67
2025-07-23,10.78,10.85,9.701,10.18,16230302.61
2025-07-24,10.18,10.53,9.666,10.12,14333266.33
2025-07-25,10.12,10.62,9.731,10.43,14049408.42
2025-07-26,10.43,10.76,10.33,10.56,6663254.22
2025-07-27,10.56,11.06,10.46,10.99,6463797.79
2025-07-28,10.99,11.19,10.36,10.46,9562680.21
2025-07-29,10.46,10.66,10.01,10.3,11365987.27
2025-07-30,10.3,10.5,9.582,10.01,14284321.41
2025-07-31,10.01,10.23,9.313,9.343,10407875.48
2025-08-01,9.343,9.431,8.86,9.042,21604109.58
2025-08-02,9.042,9.175,8.69,8.767,7534376.42
2025-08-03,8.767,9.226,8.686,9.15,4200628.15
2025-08-04,9.15,10.09,9.146,9.957,14200568.62
2025-08-05,9.961,9.969,9.908,9.923,1526454.23
