date,open,high,low,close,volume
2025-05-09,30.56,30.62,30.25,30.44,4817176.77
2025-05-10,30.44,30.58,30.26,30.37,2958655.84
2025-05-11,30.37,30.52,30.2,30.3,3711778.69
2025-05-12,30.3,30.57,30.21,30.34,5598963.56
2025-05-13,30.34,30.44,30.23,30.33,4380463.57
2025-05-14,30.33,30.5,30.18,30.48,3484011.4
2025-05-15,30.48,30.55,30.28,30.38,4593817.93
2025-05-16,30.38,30.5,30.24,30.25,3202678.8
2025-05-17,30.25,30.34,30.19,30.26,2227320.55
2025-05-18,30.26,30.66,30.25,30.43,3636543.51
2025-05-19,30.43,30.52,30.1,30.35,5690930.68
2025-05-20,30.35,30.46,30.22,30.37,4850821.11
2025-05-21,30.37,30.72,30.2,30.28,7497012.96
2025-05-22,30.28,32.21,30.22,32.02,7931880.07
2025-05-23,32.02,32.23,31.8,31.87,7679097.17
2025-05-24,31.71,31.89,31.29,31.73,6055928.85
2025-05-25,31.87,32.48,31.76,32.42,3873414.84
2025-05-26,32.42,32.55,32.16,32.22,3230797.23
2025-05-27,32.22,32.26,31.9,31.95,4149617.95
2025-05-28,31.95,32,31.48,31.68,3186792.57
2025-05-29,31.68,31.71,31.17,31.2,4662993.97
2025-05-30,31.2,31.72,31.07,31.32,5711859.31
2025-05-31,31.32,31.36,31.1,31.3,2666378.37
2025-06-01,31.3,31.33,31.09,31.28,2017112.94
2025-06-02,31.28,31.48,31.04,31.48,3503043.57
2025-06-03,31.48,31.65,31.36,31.45,2437564.93
2025-06-04,31.45,31.52,31.35,31.38,1968420.15
2025-06-05,31.38,31.64,30.96,31.03,4016279.83
2025-06-06,31.03,31.67,30.99,31.46,2032226.51
2025-06-07,31.46,31.67,31.4,31.49,2096398.67
2025-06-08,31.49,31.51,31.32,31.33,1312226.68
2025-06-09,31.33,31.94,31.31,31.87,2445120.1
2025-06-10,31.87,31.87,31.41,31.51,2474215.93
2025-06-11,31.51,32.23,31.35,32.2,2889087.42
2025-06-12,32.2,35.06,32.12,34.16,5469828.1
2025-06-13,34.16,37.94,33.65,37.93,8491725.73
2025-06-14,37.93,40.32,37.93,40.27,4181464.65
2025-06-15,40.27,40.38,38.82,39.82,3363940.37
2025-06-16,39.82,52.98,39.7,51.81,6955475.32
2025-06-17,51.81,51.89,47.63,48.32,10449843.24
2025-06-18,48.32,49.57,47.51,49.53,5817359.9
2025-06-19,49.53,49.84,49.38,49.53,3340102.94
2025-06-20,49.53,49.89,49.02,49.17,3529252.33
2025-06-21,49.17,49.3,48.56,48.73,2880232.23
2025-06-22,48.73,48.82,48.11,48.4,7108442.4
2025-06-23,48.4,48.55,47.54,48.1,6557618.45
2025-06-24,48.1,48.75,47.96,48.29,4482871.02
2025-06-25,48.29,48.33,48.07,48.14,3343421.68
2025-06-26,48.14,48.25,47.51,47.85,2827969.06
2025-06-27,47.85,48.05,45.28,46.31,3904759.13
2025-06-28,46.31,47.61,46.23,47.36,1282269.74
2025-06-29,47.36,47.68,46.57,47.12,1851197.45
2025-06-30,47.12,47.22,43.67,44.59,4938734.97
2025-07-01,44.59,45.02,41.9,44.16,6849488.64
2025-07-02,44.16,44.48,43.61,43.82,2924436.43
2025-07-03,43.82,44.1,43.78,43.99,2475157.33
2025-07-04,43.99,45.34,43.67,45.09,3382689.98
2025-07-05,45.09,45.99,44.99,45.35,1919309.99
2025-07-06,45.35,45.46,45.06,45.2,2128523.21
2025-07-07,45.2,45.33,44.78,45.16,3295323.56
2025-07-08,45.16,45.21,44.94,45.05,3050752.54
2025-07-09,45.05,47.17,44.92,46.76,4109575.42
2025-07-10,46.76,47.09,46.49,46.8,3595073.75
2025-07-11,46.8,47.11,46.6,46.75,4426567.08
2025-07-12,46.75,46.83,45.99,46.22,2162095.81
2025-07-13,46.22,46.51,46.16,46.37,1928445.65
2025-07-14,46.37,46.73,45.89,45.93,4729660.07
2025-07-15,45.93,46.13,43.81,44.42,12292645.69
2025-07-16,44.42,45.5,44.15,45.13,14527336.82
2025-07-17,45.13,45.95,44.8,45.44,15449223.32
2025-07-18,45.44,46.24,43.81,44.21,15165220.87
2025-07-19,44.21,44.53,43.95,44.26,8243069.33
2025-07-20,44.26,45.07,44.16,44.56,10306459.93
2025-07-21,44.56,45.21,44.18,44.49,11231020.67
2025-07-22,44.49,45.13,43.97,45.07,10681488.52
2025-07-23,45.07,45.12,43.72,44.33,7624966.22
2025-07-24,44.33,44.77,43.6,44.28,9913084.29
2025-07-25,44.28,44.33,43.09,44.12,11963264.98
2025-07-26,44.12,44.41,43.89,44.2,5017873.27
2025-07-27,44.2,45.02,44.13,44.91,6107552.64
2025-07-28,44.91,45.1,43.92,44.17,9675223.95
2025-07-29,44.17,44.72,43.68,44.08,9608355.79
2025-07-30,44.08,44.32,43.33,44.18,9338450.99
2025-07-31,44.18,44.61,43.17,43.28,8887516.33
2025-08-01,43.28,43.49,42.08,42.37,14177744.82
2025-08-02,42.37,42.7,41.75,41.87,9915580.46
2025-08-03,41.87,42.78,41.66,42.59,6603988.05
2025-08-04,42.59,43.43,42.55,43.25,9917160.02
2025-08-05,43.25,43.28,43.12,43.18,196879.95
2025-08-06,42.88,42.9,42.61,42.7,752473.89
