date,open,high,low,close,volume
2025-05-09,103238.35,102982.3,102941.11,102951.41,33137998.34
2025-05-10,102951.41,104803.6,104751.19,104751.19,34435906.71
2025-05-11,104751.19,104124.02,104051.13,104082.37,36167582.89
2025-05-12,104082.37,102802.44,102689.36,102771.6,48710654.91
2025-05-13,102771.6,104240.73,104084.52,104105.35,28559220.4
2025-05-14,104105.35,103647.3,103440.22,103512.7,28834496.84
2025-05-15,103512.7,103787.64,103714.99,103725.37,19923568.57
2025-05-16,103725.37,103458.2,103406.45,103447.85,17135101.91
2025-05-17,103447.85,103107.74,103066.48,103087.11,11218970.02
2025-05-18,103087.11,106467.32,106307.59,106360.83,34990587.06
2025-05-19,106360.83,105544.26,105449.2,105491.45,41412777.81
2025-05-20,105491.45,106822.44,106726.25,106747.63,32749105.08
2025-05-21,106747.63,109612.1,109480.46,109480.46,60410223.18
2025-05-22,109480.46,111565.7,111476.32,111487.49,53257575.68
2025-05-23,111487.49,107289.98,107086.04,107204.11,51700254.33
2025-05-24,107204.11,107671.68,107574.68,107650.12,26554056.25
2025-05-25,107650.12,108943.3,108747.03,108888.78,26231307.58
2025-05-26,108888.78,109373.67,109176.64,109318.94,25286564.1
2025-05-27,109318.94,108921.46,108812.49,108845.18,31131898.06
2025-05-28,108845.18,107713.29,107497.65,107691.72,27318159.8
2025-05-29,107691.72,105555.1,105438.96,105523.43,46442971.1
2025-05-30,105523.43,104018.46,103945.63,104018.46,30852916.06
2025-05-31,104018.46,104644.18,104602.32,104602.32,22345148.17
2025-06-01,104602.32,105691.62,105628.2,105649.34,19570483.54
2025-06-02,105649.34,105898.2,105845.24,105866.43,28038723.05
2025-06-03,105866.43,105426.57,105352.76,105405.48,21832637.27
2025-06-04,105405.48,104735.53,104683.15,104735.53,9737261.8
2025-06-05,104735.53,101580.61,101519.66,101550.14,34581883.25
2025-06-06,101550.14,104392.54,104309.03,104371.66,40028619.62
2025-06-07,104371.66,105625.23,105561.85,105561.85,7972031.28
2025-06-08,105561.85,105779.28,105715.81,105758.12,8053481.15
2025-06-09,105758.12,110302.12,110202.85,110224.91,46441060.71
2025-06-10,110224.91,110296.2,110207.96,110274.14,22343746.4
2025-06-11,110274.14,108676.78,108568.1,108665.91,12235781.73
2025-06-12,108665.91,105726.04,105683.75,105726.04,25982174.33
2025-06-13,105726.04,106121.08,106089.24,106099.86,22896348.88
2025-06-14,106099.86,105481.13,105438.94,105481.13,9053445.39
2025-06-15,105481.13,105625.23,105582.98,105625.23,8259892.99
2025-06-16,105625.23,106855.39,106780.59,106791.28,20050062.21
2025-06-17,106791.28,104598.68,104525.46,104598.68,35165030.23
2025-06-18,104598.68,104927.87,104864.91,104906.88,32830609.48
2025-06-19,104906.88,104699.72,104657.84,104689.25,10959917.59
2025-06-20,104689.25,103313.31,103220.33,103282.32,30237963.66
2025-06-21,103282.32,102165.68,102104.38,102135.03,16127121.28
2025-06-22,102135.03,101015.42,100964.91,100985.12,24879702.87
2025-06-23,100985.12,105423.73,105318.31,105360.48,38452359.23
2025-06-24,105360.48,106101.41,106048.34,106080.18,13383075.93
2025-06-25,106080.18,107367.66,107303.22,107303.22,31642646.58
2025-06-26,107303.22,106969.37,106894.46,106937.26,24082271.29
2025-06-27,106937.26,107062.32,106998.05,107030.19,14956398.25
2025-06-28,107030.19,107324.97,107239.09,107271.3,3064740.97
2025-06-29,107271.3,108348.51,108305.16,108337.67,8258580.89
2025-06-30,108337.67,107148.39,107105.52,107116.24,12098778.75
2025-07-01,107116.24,105713.61,105639.6,105692.46,11002585.37
2025-07-02,105692.46,108886.62,108810.4,108832.18,21571625.74
2025-07-03,108832.18,109638.97,109540.29,109551.26,14919785.94
2025-07-04,109551.26,107984.5,107908.88,107973.7,13701862.04
2025-07-05,107973.7,108212.04,107984.72,108190.39,6867925.81
2025-07-06,108190.39,109223.01,109135.62,109157.47,13296470.96
2025-07-07,109157.47,108233.85,108071.43,108190.54,21017093.96
2025-07-08,108190.54,108944.15,108856.99,108900.57,10960842.62
2025-07-09,108900.57,111247.18,110957.82,111180.41,19887951.44
2025-07-10,111180.41,116000.14,115872.51,115953.73,32867083.63
2025-07-11,115953.73,117550.41,117056.59,117385.8,36597371.4
2025-07-12,117385.8,117362.44,117209.73,117291.96,9349341.95
2025-07-13,117291.96,119068.1,118853.67,118925.14,10077716.62
2025-07-14,118925.14,119725.17,119497.42,119665.23,28170392.43
2025-07-15,119665.23,117648.34,117483.46,117636.57,25598893.24
2025-07-16,117636.57,118617.28,118522.32,118581.67,23252679.6
2025-07-17,118581.67,119246.96,119139.6,119175.39,34560861.8
2025-07-18,119175.39,117978.71,117860.68,117907.89,27779099.85
2025-07-19,117907.89,117818.94,117783.57,117795.36,4751864.69
2025-07-20,117795.36,117316.88,117164.35,117258.21,27242600.59
2025-07-21,117258.21,117430.01,117300.82,117383.03,36712716.19
2025-07-22,117383.03,120011.5,119855.47,119903.48,54607640.3
2025-07-23,119903.48,118808.78,118630.57,118678.09,46393639.08
2025-07-24,118678.09,118397.33,118231.57,118243.41,20262191.33
2025-07-25,118243.41,117608.82,117455.88,117538.23,24820548.09
2025-07-26,117538.23,117959.47,117829.7,117900.49,16819683.51
2025-07-27,117900.49,119456.76,119325.35,119361.19,8121335.24
2025-07-28,119361.19,118048.11,117918.25,117941.86,15248703.09
2025-07-29,117941.86,117942.11,117812.37,117824.17,13135038.24
2025-07-30,117824.17,117853.3,117723.66,117759.02,29767124.41
2025-07-31,117759.02,115765.36,115638.02,115719.05,19318138.85
2025-08-01,115719.05,113240.83,113138.89,113161.54,24381786.03
2025-08-02,113161.54,112523.81,112445.03,112445.03,13559745.96
2025-08-03,112445.03,114227.41,114124.59,114170.29,3979976.19
2025-08-04,114170.29,115042.89,114950.83,115008.37,9313377.56
2025-08-05,115008.37,115085.47,114802.17,114928.97,10703.05
2025-08-06,114081.98,114126.38,113528.94,113624.33,389890.91
