date,open,high,low,close,volume
2025-05-08,1929.08,2359.49,2344.04,2352.86,68374.24
2025-05-09,2352.86,2504.8,2490.73,2493.08,21036.57
2025-05-10,2493.08,2759.47,2741.38,2759.47,123706.88
2025-05-11,2759.47,2685.75,2658.09,2683.24,36706.7
2025-05-12,2683.24,2662.76,2640.3,2657.77,51826.54
2025-05-13,2657.77,2859.6,2843.52,2846.2,64124.94
2025-05-14,2846.2,2784.94,2769.28,2777.11,21006.09
2025-05-15,2777.11,2719.78,2701.94,2712.14,21002.78
2025-05-16,2712.14,2707.81,2692.58,2707.81,27457.21
2025-05-17,2707.81,2642.06,2634.63,2634.63,93476.82
2025-05-18,2634.63,2666.13,2658.64,2661.14,105088.29
2025-05-19,2661.14,2708.19,2690.49,2695.55,87255
2025-05-20,2695.55,2701.86,2681.66,2694.28,80909.28
2025-05-21,2694.28,2723.21,2710.45,2713,32637.38
2025-05-22,2713,2841,2819.68,2825.01,98027.71
2025-05-23,2825.01,2698.73,2665.88,2686.09,172581.58
2025-05-24,2686.09,2700.49,2687.84,2700.49,145556.5
2025-05-25,2700.49,2723.23,2713.02,2723.23,138911.93
2025-05-26,2723.23,2736.29,2726.03,2736.29,37706.07
2025-05-27,2736.29,2840.35,2835.03,2840.35,19709.22
2025-05-28,2840.35,2861.8,2856.44,2861.8,19039.56
2025-05-29,2861.8,2808.15,2800.26,2808.15,32041.01
2025-05-30,2808.15,2701.42,2691.29,2691.29,11822.85
2025-05-31,2691.29,2701.31,2686.14,2696.26,81831.34
2025-06-01,2696.26,2715.74,2703.04,2705.58,45967.79
2025-06-02,2705.58,2789.1,2776.05,2781.27,13316.71
2025-06-03,2781.27,2794.69,2760.95,2763.55,47892.27
2025-06-04,2763.55,2785.64,2777.82,2777.82,42111.72
2025-06-05,2777.82,2580.13,2568.05,2572.88,3795
2025-06-06,2572.88,2649.31,2639.4,2649.31,4532.98
2025-06-07,2649.31,2700.48,2682.79,2690.37,45386.56
2025-06-08,2690.37,2684.02,2671.47,2679,11734.03
2025-06-09,2679,2866.28,2858.23,2860.92,382.5
2025-06-10,2860.92,3007.65,3002.02,3002.02,18081.14
2025-06-11,3002.02,2961.1,2947.24,2950.01,12044.91
2025-06-12,2950.01,2829.63,2805.83,2808.47,12688.67
2025-06-13,2808.47,2758.29,2717,2747.97,249735.17
2025-06-14,2747.97,2707.51,2694.85,2704.98,99516.1
2025-06-15,2704.98,2724.25,2706.41,2711.51,4856.31
2025-06-16,2711.51,2723.4,2703.03,2720.85,11775.84
2025-06-17,2720.85,2689.24,2676.68,2684.22,4160.54
2025-06-18,2684.22,2700.13,2692.56,2700.13,2155.79
2025-06-19,2700.13,2695.85,2695.85,2695.85,472.31
2025-06-20,2695.85,2575.73,2566.1,2568.5,147123.89
2025-06-21,2568.5,2457.73,2450.83,2450.83,36664.49
2025-06-22,2450.83,2406.86,2377.88,2389.03,54015.9
