date,open,high,low,close,volume
2025-05-08,1400,1400,1400,1400,0
2025-05-09,1400,1400,1400,1400,0
2025-05-10,1400,1399.86,1399.86,1399.86,0
2025-05-11,1399.86,1400,1400,1400,0
2025-05-12,1400,1400,1400,1400,0
2025-05-13,1400,1400,1400,1400,0
2025-05-14,1400,1400,1400,1400,0
2025-05-15,1400,1400,1400,1400,0
2025-05-16,1400,1400,1400,1400,0
2025-05-17,1400,1400,1400,1400,0
2025-05-18,1400,1400,1400,1400,0
2025-05-19,1400,1400,1400,1400,0
2025-05-20,1400,1400,1400,1400,0
2025-05-21,1400,1400,1400,1400,0
2025-05-22,1400,1399.86,1399.86,1399.86,0
2025-05-23,1399.86,1399.86,1399.86,1399.86,0
2025-05-24,1399.86,1398.74,1398.74,1398.74,0
2025-05-25,1398.74,1400,1400,1400,0
2025-05-26,1400,1400,1400,1400,0
2025-05-27,1400,1400,1400,1400,0
2025-05-28,1400,1400,1400,1400,0
2025-05-29,1400,1400,1400,1400,0
2025-05-30,1400,1400,1400,1400,0
2025-05-31,1400,1400,1400,1400,0
2025-06-01,1400,1400,1400,1400,0
2025-06-02,1400,1400,1400,1400,0
2025-06-03,1400,1400,1400,1400,0
2025-06-04,1400,1400,1400,1400,0
2025-06-05,1400,1401.4,1401.4,1401.4,0
2025-06-06,1401.4,1401.4,1401.4,1401.4,0
2025-06-07,1401.4,1400,1400,1400,0
2025-06-08,1400,1400,1400,1400,0
2025-06-09,1400,1400,1400,1400,0
2025-06-10,1400,1399.72,1399.72,1399.72,0
2025-06-11,1399.72,1400,1400,1400,0
2025-06-12,1400,1400,1400,1400,0
2025-06-13,1400,1400,1400,1400,0
2025-06-14,1400,1400,1400,1400,0
2025-06-15,1400,1400,1400,1400,0
2025-06-16,1400,1400,1400,1400,0
2025-06-17,1400,1400,1400,1400,0
2025-06-18,1400,1401.4,1401.4,1401.4,0
2025-06-19,1401.4,1400,1400,1400,0
2025-06-20,1400,1400,1400,1400,0
2025-06-21,1400,1400,1400,1400,0
2025-06-22,1400,1401.4,1401.4,1401.4,0
2025-06-23,1401.4,1401.4,1401.4,1401.4,0
2025-06-24,1401.4,1400,1400,1400,0
2025-06-25,1400,1401.4,1401.4,1401.4,0
2025-06-26,1401.4,1400,1400,1400,0
2025-06-27,1400,1400,1400,1400,0
2025-06-28,1400,1400,1400,1400,0
2025-06-29,1400,1400,1400,1400,0
2025-06-30,1400,1400,1400,1400,0
2025-07-01,1400,1401.4,1401.4,1401.4,0
2025-07-02,1401.4,1400,1400,1400,0
2025-07-03,1400,1400,1400,1400,0
2025-07-04,1400,1400,1400,1400,0
2025-07-05,1400,1400,1400,1400,0
2025-07-06,1400,1400,1400,1400,0
2025-07-07,1400,1400,1400,1400,0
2025-07-08,1400,1400,1400,1400,0
2025-07-09,1400,1400,1400,1400,0
2025-07-10,1400,1400,1400,1400,0
2025-07-11,1400,1400,1400,1400,0
2025-07-12,1400,1400,1400,1400,0
2025-07-13,1400,1400,1400,1400,0
2025-07-14,1400,1400,1400,1400,0
2025-07-15,1400,1400,1400,1400,0
2025-07-16,1400,1400,1400,1400,0
2025-07-17,1400,1401.4,1401.4,1401.4,0
2025-07-18,1401.4,1401.4,1401.4,1401.4,0
2025-07-19,1401.4,1400,1400,1400,0
2025-07-20,1400,1400,1400,1400,0
2025-07-21,1400,1400,1400,1400,0
2025-07-22,1400,1400,1400,1400,0
2025-07-23,1400,1400,1400,1400,0
2025-07-24,1400,1400,1400,1400,0
2025-07-25,1400,1400,1400,1400,0
2025-07-26,1400,1400,1400,1400,0
2025-07-27,1400,1400,1400,1400,0
2025-07-28,1400,1400,1400,1400,0
2025-07-29,1400,1399.86,1399.86,1399.86,0
2025-07-30,1399.86,1400,1400,1400,0
2025-07-31,1400,1400,1400,1400,0
2025-08-01,1400,1399.58,1399.58,1399.58,0
2025-08-02,1399.58,1400,1400,1400,0
2025-08-03,1400,1401.4,1401.4,1401.4,0
2025-08-04,1401.4,1400,1400,1400,0
2025-08-05,1400,1400.11,1399.97,1400.05,0
