date,open,high,low,close,volume
2025-05-08,0.2603,0.2915,0.2589,0.2912,52671785.54
2025-05-09,0.2912,0.3066,0.2894,0.2953,71342529.81
2025-05-10,0.2953,0.3216,0.2937,0.3216,49480248.03
2025-05-11,0.3216,0.3247,0.3008,0.3063,40146443.05
2025-05-12,0.3063,0.3344,0.3056,0.3126,99021862.87
2025-05-13,0.3126,0.3182,0.2975,0.3141,48860794.99
2025-05-14,0.3141,0.318,0.3009,0.3038,42114711.53
2025-05-15,0.3038,0.308,0.287,0.2932,49993877.67
2025-05-16,0.2932,0.301,0.2891,0.2931,30311979.27
2025-05-17,0.2931,0.2942,0.2817,0.2866,27586887.88
2025-05-18,0.2866,0.2976,0.2818,0.2926,38812879.76
2025-05-19,0.2926,0.2941,0.277,0.2867,39715108.51
2025-05-20,0.2867,0.2897,0.2801,0.2877,33766128.61
2025-05-21,0.2877,0.2982,0.2841,0.2933,44603348.29
2025-05-22,0.2933,0.3068,0.2932,0.3043,33046257.98
2025-05-23,0.3043,0.3124,0.2842,0.2852,45287660.38
2025-05-24,0.2852,0.2916,0.2842,0.286,10224411.14
2025-05-25,0.286,0.2879,0.2777,0.2878,19781937.45
2025-05-26,0.2878,0.2906,0.2833,0.2858,16453770.99
2025-05-27,0.2858,0.2931,0.2812,0.2873,16854928.32
2025-05-28,0.2873,0.2899,0.2791,0.2854,16333416.66
2025-05-29,0.2854,0.2886,0.2784,0.2791,23703018.49
2025-05-30,0.2791,0.2801,0.2637,0.2652,36776678.27
2025-05-31,0.2652,0.2678,0.259,0.2642,17247850.02
2025-06-01,0.2642,0.2683,0.2621,0.2675,13856589.15
2025-06-02,0.2675,0.2721,0.2639,0.272,17990783.05
2025-06-03,0.272,0.2765,0.2699,0.273,18626686.3
2025-06-04,0.273,0.2757,0.2654,0.2667,13879258.17
2025-06-05,0.2667,0.2691,0.2526,0.2572,23108677.4
2025-06-06,0.2572,0.2668,0.256,0.263,12121364.3
2025-06-07,0.263,0.268,0.2621,0.2648,7971849.95
2025-06-08,0.2648,0.2745,0.2634,0.268,17095978.69
2025-06-09,0.268,0.2751,0.2643,0.275,14832403.65
2025-06-10,0.275,0.2814,0.2722,0.2805,21753487.96
2025-06-11,0.2805,0.2848,0.2762,0.2769,27912563.97
2025-06-12,0.2769,0.2783,0.2675,0.2675,19385092.81
2025-06-13,0.2675,0.2675,0.2538,0.2609,27450066.57
2025-06-14,0.2609,0.2612,0.2531,0.2566,8824827.27
2025-06-15,0.2566,0.2599,0.2546,0.2587,8273623.71
2025-06-16,0.2587,0.2703,0.2564,0.2617,19401434.7
2025-06-17,0.2617,0.2639,0.2506,0.252,21362724.69
2025-06-18,0.252,0.2541,0.246,0.2524,15847036.38
2025-06-19,0.2524,0.2532,0.2474,0.2496,7241858.09
2025-06-20,0.2496,0.2517,0.2402,0.242,17540441.2
2025-06-21,0.242,0.2449,0.2327,0.2373,12603801.84
2025-06-22,0.2373,0.2389,0.2169,0.2289,22882625.6
2025-06-23,0.2289,0.2464,0.2252,0.2459,18964433.5
2025-06-24,0.2459,0.2499,0.244,0.2488,12188192.83
2025-06-25,0.2488,0.2493,0.2398,0.2415,12334737.26
2025-06-26,0.2415,0.2443,0.2339,0.2342,10826789.2
2025-06-27,0.2342,0.2385,0.2327,0.237,11703050.23
2025-06-28,0.237,0.2402,0.2361,0.239,6386245.2
2025-06-29,0.239,0.2422,0.2349,0.2404,7895425.37
2025-06-30,0.2404,0.2432,0.2338,0.2381,19588410.14
2025-07-01,0.2381,0.2396,0.2229,0.2255,18484962.36
2025-07-02,0.2255,0.2405,0.2242,0.2381,14813844.67
2025-07-03,0.2381,0.2478,0.2378,0.2427,18040670.49
2025-07-04,0.2427,0.2449,0.2351,0.2377,10981133.52
2025-07-05,0.2377,0.2388,0.235,0.2384,4500180.59
2025-07-06,0.2384,0.2518,0.2368,0.2506,18015834.56
2025-07-07,0.2506,0.2574,0.2462,0.2483,32688188.47
2025-07-08,0.2483,0.2598,0.2462,0.2596,27329550.65
2025-07-09,0.2596,0.2975,0.2569,0.2883,70418942.07
2025-07-10,0.2883,0.306,0.2854,0.303,66287498.18
2025-07-11,0.303,0.3999,0.2977,0.3602,185853478.37
2025-07-12,0.3602,0.4188,0.351,0.393,172297707.47
2025-07-13,0.393,0.4823,0.3874,0.4709,237933414.15
2025-07-14,0.4709,0.5172,0.4384,0.4636,273036147
2025-07-15,0.4636,0.4741,0.4297,0.4517,153536885.17
2025-07-16,0.4517,0.4809,0.4475,0.4537,143040824.4
2025-07-17,0.4537,0.5144,0.4448,0.4977,177371818.96
2025-07-18,0.4977,0.5206,0.45,0.4592,148581956.96
2025-07-19,0.4592,0.4694,0.4505,0.4613,50320935.71
2025-07-20,0.4613,0.4773,0.4552,0.4629,58641002.23
2025-07-21,0.4629,0.494,0.4563,0.4732,87664127.93
2025-07-22,0.4732,0.4767,0.4495,0.4725,68138703.47
2025-07-23,0.4725,0.4746,0.4092,0.428,85428310.15
2025-07-24,0.428,0.4481,0.4014,0.4246,75439442.55
2025-07-25,0.4246,0.4336,0.4051,0.4314,66228395.12
2025-07-26,0.4314,0.4468,0.4288,0.4353,37265480.88
2025-07-27,0.4353,0.4596,0.4341,0.4444,41421867.57
2025-07-28,0.4444,0.4542,0.4156,0.4192,41481328.66
2025-07-29,0.4192,0.4348,0.412,0.421,34665738.51
2025-07-30,0.421,0.4242,0.3931,0.4076,45165495.07
2025-07-31,0.4076,0.4287,0.4002,0.401,50601064.72
2025-08-01,0.401,0.4015,0.3748,0.382,73589007.63
2025-08-02,0.382,0.3911,0.362,0.367,43597573.94
2025-08-03,0.367,0.4032,0.3612,0.3994,44342051.75
2025-08-04,0.3994,0.4196,0.3969,0.4136,49392270.67
2025-08-05,0.4136,0.4172,0.4135,0.4165,523986.73
