date,open,high,low,close,volume
2025-05-09,299.23,316.6,295.16,316.6,5836495.82
2025-05-10,316.6,333.14,309.66,325.83,3550478.43
2025-05-11,325.83,343.49,317.97,332.07,3567979.55
2025-05-12,332.07,350.71,330.18,337.38,4271205.09
2025-05-13,337.38,346.01,332.04,341.82,5010280.11
2025-05-14,341.82,348.96,336.98,340.5,3991335.59
2025-05-15,340.5,349.12,327.63,335.57,3721594.63
2025-05-16,335.57,343.13,331.58,333.9,1833666.6
2025-05-17,333.9,340,332.66,336.7,1263833.26
2025-05-18,336.7,345.25,335.25,337.84,1596077.03
2025-05-19,337.84,345.94,335.98,343.14,1557879.06
2025-05-20,343.14,356.62,342.98,351.93,2239676.03
2025-05-21,351.93,403.43,349.88,396.63,9966420.09
2025-05-22,395.8,412.81,384.66,386.78,10894069.32
2025-05-23,386.78,399.6,362.89,391.98,11540092.69
2025-05-24,391.56,406.84,384.49,403.63,5212769.39
2025-05-25,403.63,417.97,395.48,417.95,4550459.47
2025-05-26,417.95,420.02,390.35,402.07,6306384.8
2025-05-27,402.07,404.09,370,371.86,7276904.35
2025-05-28,371.86,371.86,320.91,346.75,11657268.33
2025-05-29,346.75,351.29,333.51,338.62,6273354.79
2025-05-30,338.62,341.67,325.13,325.44,5209194.26
2025-05-31,325.44,331.04,313.48,325.37,7048711.96
2025-06-01,325.37,350.03,318.29,348.04,3253398.74
2025-06-02,348.04,369.17,340.16,358.44,5456342.78
2025-06-03,358.44,370.85,341.34,344.28,3559842.43
2025-06-04,344.28,352.73,301.55,312.95,4147616.33
2025-06-05,312.95,338.73,309.64,316.91,4775122.55
2025-06-06,316.91,339.73,315.35,322.6,2655480.79
2025-06-07,323.09,333.04,323.11,327.54,2577101.82
2025-06-08,328.01,336.52,323.99,326.78,1634793.88
2025-06-09,326.78,335.43,324.32,333.41,1721988.74
2025-06-10,333.55,343.9,331.99,338.83,4484373.42
2025-06-11,338.27,344.95,325.13,330.46,2409994.11
2025-06-12,330.46,331.76,314.88,318.68,2253147.44
2025-06-13,318.68,323.61,300,312.85,3030756.94
2025-06-14,312.85,318.6,306.98,312.46,1314569.11
2025-06-15,312.46,319.11,310.78,314.92,1042307.27
2025-06-16,314.73,323.24,304.15,321.97,6763270.93
2025-06-17,321.74,331.05,312.44,319.86,4554743.4
2025-06-18,319.69,333.76,314.22,315.95,3920613.54
2025-06-19,315.95,323.44,301.99,310.74,4555142.09
2025-06-20,310.74,319,303.92,310.6,2012543.87
2025-06-21,310.35,313.96,306.09,309.26,2612132.88
2025-06-22,308.6,313.83,288.93,298.53,3608899.94
2025-06-23,298.53,313.36,291.94,311.95,2966318.47
2025-06-24,311.95,319.83,305.58,314.57,3303550.55
2025-06-25,314.47,323.49,310.6,311.89,4186489.42
2025-06-26,311.89,319.54,305.41,312.26,4506314.58
2025-06-27,312.06,312.89,302.26,307.54,1699504.27
2025-06-28,307.54,316.09,303.96,310.79,1712260.93
2025-06-29,310.79,323.23,306.56,313.56,2374212.9
2025-06-30,313.56,337.55,311.02,325.88,5135503.33
2025-07-01,325.9,322.14,308.61,310.51,5259363.9
2025-07-02,310.51,331.45,317.51,321.65,5230464.63
2025-07-03,321.65,337.25,312.8,320.69,5976247.9
2025-07-04,320.38,323.18,312.26,313.45,1375625.03
2025-07-05,312.74,318.13,311.42,316.83,2186144.93
2025-07-06,316.83,323.99,315.25,320.06,2903219.47
2025-07-07,320.06,323.53,313.25,315.74,3761216.94
2025-07-08,315.86,319.96,309.53,317.04,3436000.58
2025-07-09,317.04,327.11,314.06,325.85,2491077.03
2025-07-10,326.2,345.05,324.63,326.61,7974107.61
2025-07-11,326.61,336.73,321.68,329.91,6324219.84
2025-07-12,329.91,335.02,326.56,332.79,3784826.54
2025-07-13,331.94,341.33,329.58,336.07,1787225.58
2025-07-14,337.14,356.33,337.34,344.58,6713215.54
2025-07-15,344.18,345.11,331.81,333.89,2689082.6
2025-07-16,333.89,337.85,325.21,331.25,3677694.9
2025-07-17,331.25,344.93,330.15,337.19,3361381.74
2025-07-18,337.19,340.58,318.09,321.86,3526844.79
2025-07-19,322.09,328.39,317.66,322.85,3127940.61
2025-07-20,323.08,329.2,320.08,325.33,2235533.94
2025-07-21,325.33,332.5,312.49,319.94,2845787.85
2025-07-22,319.94,326.07,312.82,325.47,3808721.79
2025-07-23,325.47,334.53,307.94,314.16,5475750.93
2025-07-24,314.72,328.2,312.45,326.54,6256225.7
2025-07-25,326.29,337.52,318.64,322.26,5658931.47
2025-07-26,321.87,330.67,319.82,321.71,3610891.74
2025-07-27,321.71,333.44,321.85,325.91,5886490.45
2025-07-28,325.21,331.2,315.15,315.3,3003141.85
2025-07-29,315.1,323.04,313.73,313.96,4783112.17
2025-07-30,313.96,317.14,303.12,308.66,3699411.8
2025-07-31,308.66,311.29,295.66,306.55,4750136.89
2025-08-01,306.54,302.15,287.12,296.88,7487101.26
2025-08-02,296.86,298.73,289.63,295.02,2281263.84
2025-08-03,295.5,309.33,295.58,304.43,3902307.49
2025-08-04,304.33,315.86,302.16,304.35,5110225.71
2025-08-05,304.51,305.64,303.68,304.05,681231.08
2025-08-06,291.58,292.77,287.89,288.53,2650826.31
