date,open,high,low,close,volume
2025-05-09,2.327,2.428,2.287,2.344,521321599.95
2025-05-10,2.344,2.476,2.336,2.471,356301686.98
2025-05-11,2.471,2.482,2.329,2.368,321831236.64
2025-05-12,2.368,2.656,2.352,2.544,1024265585.79
2025-05-13,2.544,2.607,2.422,2.583,616319887.76
2025-05-14,2.583,2.65,2.52,2.551,512098766.47
2025-05-15,2.551,2.572,2.355,2.386,522527452.5
2025-05-16,2.386,2.441,2.348,2.381,381180631.11
2025-05-17,2.381,2.39,2.3,2.354,298566926.78
2025-05-18,2.354,2.45,2.334,2.429,281940628.99
2025-05-19,2.429,2.44,2.284,2.381,368208095.08
2025-05-20,2.381,2.409,2.316,2.357,275474494.38
2025-05-21,2.357,2.43,2.332,2.396,394578202.84
2025-05-22,2.396,2.456,2.389,2.431,324529218.97
2025-05-23,2.431,2.48,2.285,2.297,414259892.79
2025-05-24,2.297,2.36,2.287,2.331,118531272.58
2025-05-25,2.331,2.345,2.267,2.343,204862227.77
2025-05-26,2.343,2.36,2.297,2.311,172721556.25
2025-05-27,2.311,2.355,2.269,2.318,204786932.6
2025-05-28,2.318,2.324,2.227,2.275,240566858.51
2025-05-29,2.275,2.314,2.239,2.245,243555044.95
2025-05-30,2.245,2.252,2.131,2.141,396325052.78
2025-05-31,2.141,2.208,2.081,2.175,249868908.86
2025-06-01,2.175,2.189,2.125,2.181,156424865.09
2025-06-02,2.181,2.205,2.137,2.197,189257516.45
2025-06-03,2.197,2.283,2.186,2.246,246964941.23
2025-06-04,2.246,2.267,2.197,2.202,198166141.77
2025-06-05,2.202,2.227,2.061,2.095,330713624.48
2025-06-06,2.095,2.192,2.083,2.162,220140487.8
2025-06-07,2.162,2.192,2.149,2.178,85702120.3
2025-06-08,2.178,2.296,2.168,2.268,233180578.77
2025-06-09,2.268,2.33,2.224,2.321,278722789.4
2025-06-10,2.321,2.328,2.261,2.307,241703153.6
2025-06-11,2.307,2.338,2.253,2.271,278204032.16
2025-06-12,2.271,2.274,2.172,2.191,217396452.1
2025-06-13,2.191,2.193,2.086,2.149,348814571.8
2025-06-14,2.149,2.179,2.111,2.14,165282495.69
2025-06-15,2.14,2.177,2.139,2.166,96057892.49
2025-06-16,2.166,2.338,2.152,2.239,440368508.74
2025-06-17,2.239,2.258,2.143,2.16,338825641.48
2025-06-18,2.16,2.182,2.119,2.171,223619879.6
2025-06-19,2.171,2.186,2.145,2.165,141942504.56
2025-06-20,2.165,2.18,2.086,2.12,211743833.27
2025-06-21,2.12,2.145,1.999,2.064,210241730.28
2025-06-22,2.064,2.09,1.909,2.019,442627592.04
2025-06-23,2.019,2.172,1.96,2.16,421103424.63
2025-06-24,2.16,2.217,2.133,2.191,300177889.24
2025-06-25,2.191,2.232,2.171,2.187,238800908.88
2025-06-26,2.187,2.214,2.096,2.106,275944198.61
2025-06-27,2.106,2.156,2.069,2.143,271753652.72
2025-06-28,2.143,2.209,2.135,2.186,166251770.71
2025-06-29,2.186,2.22,2.177,2.207,115150121.55
2025-06-30,2.207,2.329,2.166,2.237,401933328.31
2025-07-01,2.237,2.254,2.148,2.172,254700228.08
2025-07-02,2.172,2.292,2.158,2.234,333774627.49
2025-07-03,2.234,2.312,2.226,2.257,291097609.33
2025-07-04,2.257,2.269,2.198,2.221,169711562.58
2025-07-05,2.221,2.234,2.203,2.218,83504610.25
2025-07-06,2.218,2.29,2.21,2.272,169679586.91
2025-07-07,2.272,2.354,2.256,2.271,375848677.61
2025-07-08,2.271,2.322,2.249,2.311,270523244.97
2025-07-09,2.311,2.429,2.298,2.405,413187045.35
2025-07-10,2.405,2.569,2.395,2.547,520894303.24
2025-07-11,2.547,2.976,2.512,2.733,1464564352.48
2025-07-12,2.733,2.848,2.664,2.74,589284830.81
2025-07-13,2.74,2.895,2.725,2.837,548745091.72
2025-07-14,2.837,3.035,2.823,2.959,1152613209.6
2025-07-15,2.959,2.959,2.805,2.92,674079365.67
2025-07-16,2.92,3.102,2.878,3.039,777789712.29
2025-07-17,3.039,3.552,2.989,3.484,1906881571.27
2025-07-18,3.484,3.665,3.346,3.416,1886829017.68
2025-07-19,3.416,3.487,3.356,3.427,557138226.92
2025-07-20,3.427,3.559,3.388,3.456,721979937.58
2025-07-21,3.456,3.652,3.41,3.552,958837298.22
2025-07-22,3.552,3.581,3.424,3.552,858844068.62
2025-07-23,3.552,3.554,3.05,3.186,1296447247.79
2025-07-24,3.186,3.268,2.96,3.147,1075190410.89
2025-07-25,3.147,3.163,3.001,3.143,803405571.33
2025-07-26,3.143,3.219,3.109,3.167,310514917.15
2025-07-27,3.167,3.252,3.158,3.24,334125633.39
2025-07-28,3.24,3.332,3.108,3.123,662457406.82
2025-07-29,3.123,3.186,3.054,3.128,540607965.71
2025-07-30,3.128,3.162,3.001,3.096,564073840.4
2025-07-31,3.096,3.177,3.012,3.023,435429735.16
2025-08-01,3.023,3.058,2.893,2.96,792364519.18
2025-08-02,2.96,3.019,2.74,2.769,580205925.2
2025-08-03,2.769,2.962,2.728,2.949,376275590.6
2025-08-04,2.949,3.091,2.932,3.072,465014449.06
2025-08-05,3.072,3.076,3.057,3.076,7818593.85
2025-08-06,2.962,2.964,2.92,2.926,24480466.29
