date,open,high,low,close,volume
2025-05-08,1.693720699330992e-05,1.978882880632931e-05,1.693720699330992e-05,1.978882880632931e-05,152109030.04867727
2025-05-09,1.978882880632931e-05,2.1665302924613416e-05,1.978882880632931e-05,2.1665302924613416e-05,465297196.7632584
2025-05-10,2.1665302924613416e-05,2.3845050841858582e-05,2.1665302924613416e-05,2.3845050841858582e-05,950840465.1519235
2025-05-11,2.3845050841858582e-05,2.3845050841858582e-05,2.224961757445087e-05,2.224961757445087e-05,620100528.2244421
2025-05-12,2.224961757445087e-05,2.2758776540268443e-05,2.224961757445087e-05,2.2758776540268443e-05,481157833.5464347
2025-05-13,2.2758776540268443e-05,2.3413888297699033e-05,2.2758776540268443e-05,2.3413888297699033e-05,1327961062.9174573
2025-05-14,2.3413888297699033e-05,2.3413888297699033e-05,2.2438788327414084e-05,2.2438788327414084e-05,675909156.4888052
2025-05-15,2.2438788327414084e-05,2.2438788327414084e-05,2.084443587732241e-05,2.084443587732241e-05,725650935.7440319
2025-05-16,2.084443587732241e-05,2.084443587732241e-05,1.95591446383761e-05,1.95591446383761e-05,457547712.001346
2025-05-17,1.95591446383761e-05,1.95591446383761e-05,1.845534834835984e-05,1.845534834835984e-05,333855075.40947884
2025-05-18,1.845534834835984e-05,2.0195740496195654e-05,1.845534834835984e-05,2.0195740496195654e-05,283847686.25656366
2025-05-19,2.0195740496195654e-05,2.0195740496195654e-05,1.9698268122342576e-05,1.9698268122342576e-05,420960388.2548916
2025-05-20,1.9698268122342576e-05,1.9927131712145528e-05,1.9698268122342576e-05,1.9927131712145528e-05,319295217.07050234
2025-05-21,1.9927131712145528e-05,2.079167057928607e-05,1.9927131712145528e-05,2.079167057928607e-05,266802563.6868321
2025-05-22,2.079167057928607e-05,2.2691708137782994e-05,2.079167057928607e-05,2.2691708137782994e-05,498375323.7106485
2025-05-23,2.2691708137782994e-05,2.2691708137782994e-05,2.110246143712993e-05,2.110246143712993e-05,503366976.31344146
2025-05-24,2.110246143712993e-05,2.114617937539446e-05,2.110246143712993e-05,2.114617937539446e-05,931683358.8401883
2025-05-25,2.114617937539446e-05,2.114617937539446e-05,2.0849220419789303e-05,2.0849220419789303e-05,327265425.87281716
2025-05-26,2.0849220419789303e-05,2.0849220419789303e-05,2.019604042176222e-05,2.019604042176222e-05,335253527.4345629
2025-05-27,2.019604042176222e-05,2.057882286641691e-05,2.019604042176222e-05,2.057882286641691e-05,310875537.0431789
2025-05-28,2.057882286641691e-05,2.057882286641691e-05,2.0028158377696864e-05,2.0028158377696864e-05,304514226.02201384
2025-05-29,2.0028158377696864e-05,2.0028158377696864e-05,1.887473229197002e-05,1.887473229197002e-05,234008102.66632566
2025-05-30,1.887473229197002e-05,1.887473229197002e-05,1.6352928004970454e-05,1.6352928004970454e-05,240637801.65538168
2025-05-31,1.6352928004970454e-05,1.6577613451002423e-05,1.6352928004970454e-05,1.6577613451002423e-05,252205562.500963
2025-06-01,1.6577613451002423e-05,1.6877526126442514e-05,1.6577613451002423e-05,1.6877526126442514e-05,174912218.15645003
2025-06-02,1.6877526126442514e-05,1.7511904551769332e-05,1.6877526126442514e-05,1.7511904551769332e-05,112287337.35674934
2025-06-03,1.7511904551769332e-05,1.7511904551769332e-05,1.676686783230969e-05,1.676686783230969e-05,149179649.75189686
2025-06-04,1.676686783230969e-05,1.676686783230969e-05,1.577188448853461e-05,1.577188448853461e-05,175789299.64425513
2025-06-05,1.577188448853461e-05,1.577188448853461e-05,1.4629436699016697e-05,1.4629436699016697e-05,133894586.72853938
2025-06-06,1.4629436699016697e-05,1.4856078840465635e-05,1.4629436699016697e-05,1.4856078840465635e-05,203017244.0631471
2025-06-07,1.4856078840465635e-05,1.5517537030403627e-05,1.4856078840465635e-05,1.5517537030403627e-05,151043737.9643122
2025-06-08,1.5517537030403627e-05,1.577529923714406e-05,1.5517537030403627e-05,1.577529923714406e-05,100103491.57264936
2025-06-09,1.577529923714406e-05,1.7343477238343634e-05,1.577529923714406e-05,1.7343477238343634e-05,107253994.54290016
2025-06-10,1.7343477238343634e-05,1.790595804646442e-05,1.7343477238343634e-05,1.790595804646442e-05,260577928.08358467
2025-06-11,1.790595804646442e-05,1.790595804646442e-05,1.678945215497438e-05,1.678945215497438e-05,304961259.9313697
2025-06-12,1.678945215497438e-05,1.678945215497438e-05,1.5346296112897316e-05,1.5346296112897316e-05,270650646.2219046
