date,open,high,low,close,volume
2025-05-08,97026.49376966801,103076.27555512934,97026.49376966801,103076.27555512934,64376174032.08048
2025-05-09,103076.27555512934,103076.27555512934,102962.54045692299,102962.54045692299,50020047720.65604
2025-05-10,102962.54045692299,104630.8792994166,102962.54045692299,104630.8792994166,40800894903.23446
2025-05-11,104630.8792994166,104630.8792994166,103994.061616746,103994.061616746,21558992540.042442
2025-05-12,103994.061616746,103994.061616746,102876.8304286011,102876.8304286011,27389436049.454792
2025-05-13,102876.8304286011,104184.49039270742,102876.8304286011,104184.49039270742,43090605819.36596
2025-05-14,104184.49039270742,104184.49039270742,103594.42575090709,103594.42575090709,33861432519.50822
2025-05-15,103594.42575090709,103708.85136423641,103594.42575090709,103708.85136423641,28398245846.798244
2025-05-16,103708.85136423641,103708.85136423641,103556.03493982446,103556.03493982446,31823340473.339912
2025-05-17,103556.03493982446,103556.03493982446,103212.36483885496,103212.36483885496,25887953182.14765
2025-05-18,103212.36483885496,106030.6376831359,103212.36483885496,106030.6376831359,18950056010.479057
2025-05-19,106030.6376831359,106030.6376831359,105629.41580436694,105629.41580436694,30744060179.802963
2025-05-20,105629.41580436694,106786.71995834043,105629.41580436694,106786.71995834043,43339734153.75087
2025-05-21,106786.71995834043,109665.86371625263,106786.71995834043,109665.86371625263,36393687094.25122
2025-05-22,109665.86371625263,111560.356938144,109665.86371625263,111560.356938144,60722883113.84
2025-05-23,111560.356938144,111560.356938144,107216.66856870624,107216.66856870624,52218408239.45193
2025-05-24,107216.66856870624,107831.36374380375,107216.66856870624,107831.36374380375,49251745837.96465
2025-05-25,107831.36374380375,108861.81037744327,107831.36374380375,108861.81037744327,27128230116.517162
2025-05-26,108861.81037744327,109377.71513263129,108861.81037744327,109377.71513263129,29652659665.048733
2025-05-27,109377.71513263129,109377.71513263129,109068.45694901445,109068.45694901445,27950577137.918888
2025-05-28,109068.45694901445,109068.45694901445,107838.18431100152,107838.18431100152,38978783508.88622
2025-05-29,107838.18431100152,107838.18431100152,105745.41660358038,105745.41660358038,29794278037.284946
2025-05-30,105745.41660358038,105745.41660358038,104010.91956242644,104010.91956242644,38279231892.56757
2025-05-31,104010.91956242644,104687.50742934884,104010.91956242644,104687.50742934884,39680060337.610214
2025-06-01,104687.50742934884,105710.00593822816,104687.50742934884,105710.00593822816,20432694555.09522
2025-06-02,105710.00593822816,105884.74263221149,105710.00593822816,105884.74263221149,17721500507.53389
2025-06-03,105884.74263221149,105884.74263221149,105434.47745144971,105434.47745144971,26313843058.73954
2025-06-04,105434.47745144971,105434.47745144971,104812.9182188067,104812.9182188067,25925661121.080395
2025-06-05,104812.9182188067,104812.9182188067,101650.7387545425,101650.7387545425,25812143562.797962
2025-06-06,101650.7387545425,104409.74967959142,101650.7387545425,104409.74967959142,39711941132.0234
2025-06-07,104409.74967959142,105681.4546141758,104409.74967959142,105681.4546141758,29897390978.090103
2025-06-08,105681.4546141758,105692.24740699006,105681.4546141758,105692.24740699006,17749731308.73042
2025-06-09,105692.24740699006,110261.57485948496,105692.24740699006,110261.57485948496,16044679696.270103
2025-06-10,110261.57485948496,110261.57485948496,110212.73252109604,110212.73252109604,38222993297.50514
2025-06-11,110212.73252109604,110212.73252109604,108679.9760916168,108679.9760916168,36303839182.734825
2025-06-12,108679.9760916168,108679.9760916168,105979.22902375912,105979.22902375912,30338936631.626648
2025-06-13,105979.22902375912,106045.56440819203,105979.22902375912,106045.56440819203,35865159511.38857
2025-06-14,106045.56440819203,106045.56440819203,105482.90611628917,105482.90611628917,49471015505.74361
2025-06-15,105482.90611628917,105554.49383061715,105482.90611628917,105554.49383061715,17916412455.866283
2025-06-16,105554.49383061715,106951.2720181497,105554.49383061715,106951.2720181497,16568441852.649668
2025-06-17,106951.2720181497,106951.2720181497,104683.42479835715,104683.42479835715,32095957011.724205
2025-06-18,104683.42479835715,104722.695052907,104683.42479835715,104722.695052907,38603212010.889435
2025-06-19,104722.695052907,104722.695052907,104690.65002458123,104690.65002458123,30339326410.154945
2025-06-20,104690.65002458123,104690.65002458123,103290.105144757,103290.105144757,18063282658.152298
2025-06-21,103290.105144757,103290.105144757,101532.5683847329,101532.5683847329,30632751225.407444
2025-06-22,101532.5683847329,101532.5683847329,100852.58264648831,100852.58264648831,21644463198.719532
2025-06-23,100852.58264648831,105511.62437933135,100852.58264648831,105511.62437933135,51287142390.02526
2025-06-24,105511.62437933135,105976.06929808448,105511.62437933135,105976.06929808448,50011797128.6837
2025-06-25,105976.06929808448,107238.53045016268,105976.06929808448,107238.53045016268,31704641076.941063
2025-06-26,107238.53045016268,107238.53045016268,106984.01253775663,106984.01253775663,30468274982.034847
2025-06-27,106984.01253775663,107078.91560644074,106984.01253775663,107078.91560644074,24320699663.15122
2025-06-28,107078.91560644074,107331.58548463577,107078.91560644074,107331.58548463577,25194306261.888832
2025-06-29,107331.58548463577,108396.61631317894,107331.58548463577,108396.61631317894,8960877693.57604
2025-06-30,108396.61631317894,108396.61631317894,107132.79910701896,107132.79910701896,14881078675.366829
