date,open,high,low,close,volume
2025-05-08,1.2804060472298206e-05,1.432384082212922e-05,1.2804060472298206e-05,1.432384082212922e-05,117835324.49792936
2025-05-09,1.432384082212922e-05,1.5015653799937135e-05,1.432384082212922e-05,1.5015653799937135e-05,360365068.3514547
2025-05-10,1.5015653799937135e-05,1.6912948403257238e-05,1.5015653799937135e-05,1.6912948403257238e-05,642429894.1653215
2025-05-11,1.6912948403257238e-05,1.6912948403257238e-05,1.58887123947942e-05,1.58887123947942e-05,609030761.1142924
2025-05-12,1.58887123947942e-05,1.58887123947942e-05,1.575692016678931e-05,1.575692016678931e-05,549905439.7682536
2025-05-13,1.575692016678931e-05,1.6334757005263924e-05,1.575692016678931e-05,1.6334757005263924e-05,869048744.8149941
2025-05-14,1.6334757005263924e-05,1.6334757005263924e-05,1.5719565434451668e-05,1.5719565434451668e-05,522194792.9203589
2025-05-15,1.5719565434451668e-05,1.5719565434451668e-05,1.4804048741541466e-05,1.4804048741541466e-05,408044905.3052289
2025-05-16,1.4804048741541466e-05,1.4804048741541466e-05,1.4591211104915749e-05,1.4591211104915749e-05,393434082.10204184
2025-05-17,1.4591211104915749e-05,1.4591211104915749e-05,1.4184036506047586e-05,1.4184036506047586e-05,211962725.3564236
2025-05-18,1.4184036506047586e-05,1.4891588364704388e-05,1.4184036506047586e-05,1.4891588364704388e-05,198779255.82450783
2025-05-19,1.4891588364704388e-05,1.4891588364704388e-05,1.4578954112193156e-05,1.4578954112193156e-05,290802041.40510726
2025-05-20,1.4578954112193156e-05,1.460666588392837e-05,1.4578954112193156e-05,1.460666588392837e-05,244436335.25083038
2025-05-21,1.460666588392837e-05,1.4921642552596486e-05,1.460666588392837e-05,1.4921642552596486e-05,196097570.0367014
2025-05-22,1.4921642552596486e-05,1.5452402455570887e-05,1.4921642552596486e-05,1.5452402455570887e-05,352710381.42103165
2025-05-23,1.5452402455570887e-05,1.5452402455570887e-05,1.4318643139659277e-05,1.4318643139659277e-05,391340589.6547734
2025-05-24,1.4318643139659277e-05,1.4371604465764638e-05,1.4318643139659277e-05,1.4371604465764638e-05,506611107.63575566
2025-05-25,1.4371604465764638e-05,1.4474806151513205e-05,1.4371604465764638e-05,1.4474806151513205e-05,163386167.43646452
2025-05-26,1.4474806151513205e-05,1.4474806151513205e-05,1.4395399345381476e-05,1.4395399345381476e-05,214425402.3012805
2025-05-27,1.4395399345381476e-05,1.4448346546739968e-05,1.4395399345381476e-05,1.4448346546739968e-05,166101844.8380802
2025-05-28,1.4448346546739968e-05,1.4448346546739968e-05,1.4335878954946713e-05,1.4335878954946713e-05,217705078.98242655
2025-05-29,1.4335878954946713e-05,1.4335878954946713e-05,1.3969376950870743e-05,1.3969376950870743e-05,171109108.70740896
2025-05-30,1.3969376950870743e-05,1.3969376950870743e-05,1.277673326451012e-05,1.277673326451012e-05,230995722.05818063
2025-05-31,1.277673326451012e-05,1.2826423238202146e-05,1.277673326451012e-05,1.2826423238202146e-05,339230069.0646477
2025-06-01,1.2826423238202146e-05,1.2959173017306478e-05,1.2826423238202146e-05,1.2959173017306478e-05,216901857.03243223
2025-06-02,1.2959173017306478e-05,1.3214736286389558e-05,1.2959173017306478e-05,1.3214736286389558e-05,127247169.5605516
2025-06-03,1.3214736286389558e-05,1.3214736286389558e-05,1.3048418189094506e-05,1.3048418189094506e-05,152074641.07778007
2025-06-04,1.3048418189094506e-05,1.3048418189094506e-05,1.2815345261417912e-05,1.2815345261417912e-05,127607129.22591382
2025-06-05,1.2815345261417912e-05,1.2815345261417912e-05,1.202100439950341e-05,1.202100439950341e-05,131772121.19136922
2025-06-06,1.202100439950341e-05,1.2442117309870926e-05,1.202100439950341e-05,1.2442117309870926e-05,251991728.74870193
2025-06-07,1.2442117309870926e-05,1.2729138930615728e-05,1.2442117309870926e-05,1.2729138930615728e-05,150330996.57492825
2025-06-08,1.2729138930615728e-05,1.2729138930615728e-05,1.2489649519810827e-05,1.2489649519810827e-05,94543261.22637552
2025-06-09,1.2489649519810827e-05,1.3129497402003452e-05,1.2489649519810827e-05,1.3129497402003452e-05,93802666.95500572
