title,source_name,url,published_at,sentiment_score
"Leo Horoscope Today, 05 August 2025: Stiff views could affect workplace interactions",The Indian Express,https://indianexpress.com/article/horoscope/leo-horoscope-today-05-august-2025-daily-astrology-prediction-for-leo-career-finance-money-love-10168047/,2025-08-05 00:22:45+00:00,-0.9509515762329102
Pope Leo XIV expresses his ‘profound sorrow’ over death of migrants in shipwreck off Yemen,Catholicnewsagency.com,https://www.catholicnewsagency.com/news/265775/leo-xiv-expresses-his-profound-sorrow-over-death-of-migrants-in-shipwreck-off-yemen,2025-08-04 22:02:00+00:00,0.0
Pope Leo XIV: ‘Christ’s tears are joined with ours’ on anniversary of Beirut explosion,Catholicnewsagency.com,https://www.catholicnewsagency.com/news/265773/pope-leo-xiv-christs-tears-are-joined-with-ours-on-anniversary-of-beirut-explosion,2025-08-04 21:31:00+00:00,0.0
This is Pope Leo XIV’s prayer intention for the month of August,Catholicnewsagency.com,https://www.catholicnewsagency.com/news/265759/this-is-pope-leo-xiv-s-prayer-intention-for-the-month-of-august,2025-08-04 17:22:00+00:00,0.0
Pope Leo gets rock star welcome at youth festival in Rome,CBS News,https://www.cbsnews.com/news/pope-leo-jubilee-of-youth-rock-star-welcome-rome/,2025-08-04 13:40:25+00:00,0.0
"Pope Leo XIV addresses Gaza, Ukraine at youth festival",CBS News,https://www.cbsnews.com/video/pope-leo-xiv-addresses-gaza-ukraine-at-youth-festival/,2025-08-04 13:26:00+00:00,0.0
Sir Leo Hielscher dies at 98,ABC News (AU),https://www.abc.net.au/news/2025-08-04/queensland-former-senior-public-servant-leo-hielscher-dies/105612254,2025-08-04 09:47:49+00:00,0.0
"Pope Leo XIV rallies 1M youths in Rome, calling them ‘the sign a different world is possible’",New York Post,https://nypost.com/2025/08/03/world-news/pope-leo-xiv-rallies-1m-youths-in-rome-calling-them-the-sign-a-different-world-is-possible/,2025-08-04 02:34:05+00:00,0.0
Over 1 million join Pope Leo XIV for World Youth Jubilee Mass in Rome,Freerepublic.com,https://freerepublic.com/focus/f-news/4332503/posts,2025-08-04 02:22:55+00:00,0.0
 Inter Miami provide Leo Messi update after injury scare,Onefootball.com,https://onefootball.com/en/news/inter-miami-provide-leo-messi-update-after-injury-scare-41463897,2025-08-04 00:09:00+00:00,0.0
Leo and the Germans,Freerepublic.com,https://freerepublic.com/focus/f-religion/4332469/posts,2025-08-03 21:10:14+00:00,0.0
Pope Leo Tells Over a Million Young Catholics They Show a 'Different World Is Possible' at Closing of Youth Jubilee,Breitbart News,https://www.breitbart.com/europe/2025/08/03/pope-leo-tells-million-young-catholics-they-show-a-different-world-is-possible/,2025-08-03 16:20:02+00:00,0.0
Pope Leo tells 1 million Catholic youths they are sign 'different world is possible' - NPR,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=178553562,2025-08-03 14:55:37+00:00,0.0
Pope Leo presides over jubilee Mass,BBC News,https://www.bbc.co.uk/programmes/w172zss5zzt6q13,2025-08-03 13:41:00+00:00,0.0
Pope Leo tells 1 million Catholic youths they are sign 'different world is possible',NPR,https://www.npr.org/2025/08/03/nx-s1-5491475/pope-leo-tells-1-million-catholic-youths-they-are-sign-different-world-is-possible,2025-08-03 12:36:13+00:00,0.0
Pope Leo XIV tells 1 million Catholic youths that they are 'the sign a different world is possible' - AP News,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=178552752,2025-08-03 12:34:37+00:00,0.0
Pope Leo XIV announces dates for 2027 World Youth Day in South Korea,Catholicnewsagency.com,https://www.catholicnewsagency.com/news/265755/pope-leo-xiv-announces-dates-for-2027-world-youth-day-in-seoul-south-korea,2025-08-03 11:35:00+00:00,0.0
"Pope Leo XIV urges over 1 million Catholic young people to spread faith, enthusiasm",ABC News,https://abcnews.go.com/International/wireStory/pope-leo-xiv-urges-1-million-catholic-young-124320582,2025-08-03 08:28:03+00:00,0.0
Pope Leo XIV urges over 1 million Catholic young people to spread faith and enthusiasm,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f67482a4-6871-4cd4-a95a-b757e8c6c910,2025-08-03 08:18:53+00:00,0.0
Pope Leo XIV tells 1 million Catholic youths that they are ‘the sign a different world is possible’,Boston Herald,https://www.bostonherald.com/2025/08/03/pope-leo-xiv-tells-1-million-catholic-youths-that-they-are-the-sign-a-different-world-is-possible/,2025-08-03 08:18:53+00:00,0.0
Rodrigo De Paul and Jordi Alba dress up as heroes to save Inter Miami without Leo Messi,Marca,https://www.marca.com/en/football/leagues-cup/2025/08/03/688ed6b8268e3e0b438b45ce.html,2025-08-03 03:26:05+00:00,0.0
"VIDEO: 800,000 Young Catholics from Around the World Gather with Pope Leo for Prayer Vigil in Rome",Breitbart News,https://www.breitbart.com/faith/2025/08/02/video-800000-young-catholics-from-around-the-world-gather-with-pope-leo-for-prayer-vigil-in-rome/,2025-08-02 23:38:46+00:00,0.0
Pope Leo tells hundreds of thousands of young Catholics to build a better world,The Star Online,https://www.thestar.com.my/news/world/2025/08/03/pope-leo-tells-hundreds-of-thousands-of-young-catholics-to-build-a-better-world,2025-08-02 23:20:00+00:00,0.0
Pope Leo tells hundreds of thousands of young Catholics to build a better world,Japan Today,https://japantoday.com/category/world/pope-leo-tells-hundreds-of-thousands-of-young-catholics-to-build-a-better-world,2025-08-02 21:18:55+00:00,0.0
