title,source_name,url,published_at,sentiment_score
"Sensex reclaims 81,000 level, metal & auto stocks lead; Delhivery, UPL, Epigral, Sarda Energy, Reliance Power among top movers",BusinessLine,https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-losers-on-nse-bse-4th-aug-2025-sensex-touches-81000-level-metal-auto-stocks-lead-delhivery-upl-epigral-sarda-energy-reliance-power-among-top-movers/article69892527.ece,2025-08-04 07:27:34+00:00,0.9311346411705017
nedo-vision-worker added to PyPI,Pypi.org,https://pypi.org/project/nedo-vision-worker/,2025-08-04 05:44:03+00:00,0.0
"Impinj, Inc. (NASDAQ:PI) Receives $146.86 Average Target Price from Brokerages",ETF Daily News,https://www.etfdailynews.com/2025/08/03/impinj-inc-nasdaqpi-receives-146-86-average-target-price-from-brokerages/,2025-08-03 06:06:56+00:00,0.8428454399108887
Pi Network hits $0.35 – Can it recover after dropping 14%?,Ambcrypto.com,https://ambcrypto.com/pi-network-hits-0-35-can-it-recover-after-dropping-14/,2025-08-03 02:00:39+00:00,-0.9720068573951721
An Ode to the Aesthetic of Light in 1024 Pixels,Hackaday,https://hackaday.com/2025/08/02/an-ode-to-the-aesthetic-of-light-in-1024-pixels/,2025-08-03 02:00:21+00:00,0.0
7 Raspberry Pi cases you can 3D print in just a few hours,XDA Developers,https://www.xda-developers.com/raspberry-pi-cases-can-3d-print-few-hours/,2025-08-02 23:00:22+00:00,0.0
I built an Emby media server on a Raspberry Pi Zero 2W and here's how it went,XDA Developers,https://www.xda-developers.com/installing-emby-on-a-raspberry-pi-zero-2w/,2025-08-02 21:01:23+00:00,0.0
pi-heif 1.1.0,Pypi.org,https://pypi.org/project/pi-heif/1.1.0/,2025-08-02 09:58:35+00:00,0.0
pyspark-pi 0.1.2,Pypi.org,https://pypi.org/project/pyspark-pi/0.1.2/,2025-08-01 22:04:13+00:00,0.0
Why a mystery whale is quietly accumulating 331 million Pi coins,Cointelegraph,https://cointelegraph.com/explained/why-a-mystery-whale-is-quietly-accumulating-331-million-pi-coins,2025-08-01 16:30:00+00:00,0.0
Pi-hole discloses data breach via GiveWp WordPress plugin flaw,BleepingComputer,https://www.bleepingcomputer.com/news/security/pi-hole-discloses-data-breach-via-givewp-wordpress-plugin-flaw/,2025-08-01 16:13:01+00:00,-0.6464643478393555
strathisla added to PyPI,Pypi.org,https://pypi.org/project/strathisla/,2025-08-01 15:42:35+00:00,0.0
"This Week in Security: Spilling Tea, Rooting AIs, and Accusing of Backdoors",Hackaday,https://hackaday.com/2025/08/01/this-week-in-security-spilling-tea-rooting-ais-and-accusing-of-backdoors/,2025-08-01 14:00:55+00:00,-0.7545031309127808
Hackers use hidden Raspberry Pi and custom malware to attack bank ATMs,TechSpot,https://www.techspot.com/news/108893-hackers-use-hidden-raspberry-pi-custom-malware-attack.html,2025-08-01 12:46:00+00:00,0.0
Banana Pi Launches BPI-R4 Lite DIY Router Board,Techpowerup.com,https://www.techpowerup.com/339505/banana-pi-launches-bpi-r4-lite-diy-router-board,2025-08-01 12:17:52+00:00,0.0
pinotify 0.0.2,Pypi.org,https://pypi.org/project/pinotify/0.0.2/,2025-08-01 10:49:14+00:00,0.0
pinotify 0.0.1,Pypi.org,https://pypi.org/project/pinotify/0.0.1/,2025-08-01 10:42:04+00:00,0.0
pinotify added to PyPI,Pypi.org,https://pypi.org/project/pinotify/,2025-08-01 10:42:04+00:00,0.0
Cybercrooks attached Raspberry Pi to bank network and drained ATM cash,Biztoc.com,https://biztoc.com/x/f3dfe261f64f804a,2025-08-01 10:03:27+00:00,0.0
Cybercrooks attached Raspberry Pi to bank network and drained ATM cash,Theregister.com,https://www.theregister.com/2025/08/01/cybercrooks_bribed_lackeys_in_physical/,2025-08-01 10:00:13+00:00,-0.682828426361084
Impinj (NASDAQ:PI) Shares Gap Up Following Earnings Beat,ETF Daily News,https://www.etfdailynews.com/2025/08/01/impinj-nasdaqpi-shares-gap-up-following-earnings-beat/,2025-08-01 05:48:50+00:00,0.8454537987709045
Raspberry Pi RP2350 A4 Stepping Addresses E9 Current Leakage Bug,Hackaday,https://hackaday.com/2025/07/31/raspberry-pi-rp2350-a4-stepping-addresses-e9-current-leakage-bug/,2025-08-01 05:00:09+00:00,-0.5815947651863098
Will Pi Network hit $10 on the price charts?,Ambcrypto.com,https://ambcrypto.com/will-pi-network-hit-10-on-the-price-charts/,2025-08-01 03:30:57+00:00,0.0
Banana Pi BPI-R4 Lite: New single-board computer has advantages over the Raspberry Pi 5,Notebookcheck.net,https://www.notebookcheck.net/Banana-Pi-BPI-R4-Lite-New-single-board-computer-has-advantages-over-the-Raspberry-Pi-5.1074318.0.html,2025-08-01 00:59:00+00:00,0.5158593654632568
5 incredibly useful services you can self-host on a single Raspberry Pi,XDA Developers,https://www.xda-developers.com/incredibly-useful-services-self-host-single-raspberry-pi/,2025-07-31 21:00:22+00:00,0.0
withpi 1.59.0,Pypi.org,https://pypi.org/project/withpi/1.59.0/,2025-07-31 17:48:32+00:00,0.0
"Banana Pi BPI-R4 Lite is a cheaper router board with with 2.5 GbE and Gigabit LAN and optional WiFi 7, 4G, and 5G support",Liliputing,https://liliputing.com/banana-pi-bpi-r4-lite-is-a-cheaper-router-board-with-with-2-5-gbe-and-gigabit-lan-and-optional-wifi-7-4g-and-5g-support/,2025-07-31 17:36:18+00:00,0.0
