date,open,high,low,close,volume
2025-03-30,168.07,169.49,161.39,163.53,7330097.87
2025-03-31,163.53,164.5,151.86,159.6,9932628.03
2025-04-01,159.6,171.37,159.16,166.09,9261539.47
2025-04-02,166.09,168.84,149.57,150.23,24356806.94
2025-04-03,150.23,157.22,146.31,151.08,8265368.65
2025-04-04,151.08,153.95,144.37,151.93,9897958.45
2025-04-05,151.93,155.33,149.47,152.49,2828201.31
2025-04-06,152.49,152.55,126.29,128.9,9364983.24
2025-04-07,128.9,136.1,114.07,131.93,24410674.11
2025-04-08,131.93,136.07,123.52,125.17,14283096.32
2025-04-09,125.17,145.05,119.79,143.07,17709072.93
2025-04-10,143.07,143.29,128.17,131.94,11803869.22
2025-04-11,131.94,139.36,131.3,136.47,10710164.18
2025-04-12,136.47,150.08,133.75,148.01,11006940.67
2025-04-13,148.01,148.28,136.68,139.12,7594168.58
2025-04-14,139.12,147.17,136.89,137.6,9347944.92
2025-04-15,137.6,142.13,133.6,134.2,10130892.88
2025-04-16,134.2,137.41,129.96,133.98,6813075.01
2025-04-17,133.98,141.49,133.9,138.84,6820785.63
2025-04-18,138.84,141.11,137.24,138.47,3780271.63
2025-04-19,138.47,142.94,137.95,141.97,4169551.3
2025-04-20,141.97,143.48,136.88,140.91,3966058.12
2025-04-21,140.91,146.01,139.16,142.87,9522359.41
2025-04-22,142.87,158.98,139.79,158.21,17109033.37
2025-04-23,158.21,169.53,157.82,168.17,23319616.49
2025-04-24,168.17,170.77,158.39,168,19583355.33
2025-04-25,168,170.67,163.01,166.63,17441903.73
2025-04-26,166.63,173.29,164.49,172.96,13702958.56
2025-04-27,172.96,179.36,165.52,166.7,13655067.54
2025-04-28,166.7,175.02,161.86,166.29,19639088.55
2025-04-29,166.29,171.3,163.39,165.64,11202586.41
2025-04-30,165.64,166.96,155.51,164.28,11936655.38
2025-05-01,164.28,179.38,164.2,173.05,17134409.62
2025-05-02,173.05,179.27,171.98,174.7,10286115.83
2025-05-03,174.7,181.14,169.65,178.07,13728601.18
2025-05-04,178.07,178.98,170.95,171.16,8291123.22
2025-05-05,171.16,180.76,169.67,176.91,11477046.52
2025-05-06,176.91,179.08,163.32,177.84,14794067.21
2025-05-07,177.84,179.97,167.43,172.1,11540141.75
2025-05-08,172.1,208.24,172.05,206.24,32451443.68
2025-05-09,206.24,220.57,202.55,211.24,19256503.88
2025-05-10,211.24,230.24,208.97,228.62,21910376.24
2025-05-11,228.62,230.35,214.1,221.21,13765558.05
2025-05-12,221.21,229.6,211.97,221.76,22928902.45
2025-05-13,221.76,238.32,210.44,236.37,20102114.06
2025-05-14,236.37,239.23,224.04,229.6,14502634.26
2025-05-15,229.6,235.33,216.91,223.84,22395965.81
2025-05-16,223.84,245.16,221.69,230.99,23906208.48
2025-05-17,230.99,232.06,220.02,222.28,12929346.15
2025-05-18,222.28,243.94,219.14,232.22,21718175.8
2025-05-19,232.22,249.83,212.07,247.81,28003200.44
2025-05-20,247.81,270.29,246.6,259.44,47890776.09
2025-05-21,259.44,262.1,243.33,247.7,24781640.15
2025-05-22,247.7,259.97,246.74,256.97,24698756.25
2025-05-23,256.97,264.11,239.43,256.2,32769387.65
2025-05-24,256.2,276.96,250.9,261.95,27086733.12
2025-05-25,261.95,270.67,256.59,269.39,21417936.66
2025-05-26,269.39,276.42,259.5,267.54,17964592.64
2025-05-27,267.54,282.86,263.14,271.76,23982506.17
2025-05-28,271.76,274.76,260.54,265,14428539.29
2025-05-29,265,274.38,249.06,250.12,24067776.97
2025-05-30,250.12,256.26,240.29,251.14,18297917.18
2025-05-31,251.14,254.48,242.34,247.08,13340326.68
2025-06-01,247.08,254.53,237.74,246.19,12439553.86
2025-06-02,246.19,258.24,239.4,257.85,16025752.76
2025-06-03,257.85,273.09,254.47,266.56,15586400.56
2025-06-04,266.56,275.88,262.93,264.4,17739973.32
2025-06-05,264.4,266.98,240.24,241.9,21744994.71
2025-06-06,241.9,255.2,239.99,251.1,12273389.13
2025-06-07,251.1,260.6,249.53,257.57,7380603.44
2025-06-08,257.57,257.69,252.4,253.97,4678695.14
2025-06-09,253.97,285.74,250.5,283.41,22810511.74
2025-06-10,283.41,317.72,282.78,308.38,53504635.18
2025-06-11,308.38,325.11,300.19,303.99,30155490.43
2025-06-12,303.99,309.32,288.53,294.06,27251220.38
2025-06-13,294.06,294.31,262.24,291.28,48071650.56
2025-06-14,291.28,291.28,268.17,275.29,16275230.43
2025-06-15,275.29,279,266.47,274.94,8570841.68
2025-06-16,274.94,293.93,271.95,275.12,29152815.13
2025-06-17,275.12,283.8,262.22,266.67,26551199.12
2025-06-18,266.67,270.15,255.3,259.09,22586747.42
2025-06-19,259.09,266.44,249,255.73,15693511.61
2025-06-20,255.73,264.6,242.05,247.36,19908036.06
2025-06-21,247.36,250.03,227.08,234.9,13749300.77
2025-06-22,234.9,239.06,213.23,227.89,27211777.59
2025-06-23,227.89,258.48,221.71,257.36,28537734.32
2025-06-24,257.36,269.7,253.31,264.12,20021383.8
2025-06-25,264.12,271.14,254.47,256.04,15075686.21
2025-06-26,256.04,265.71,255.05,256.94,5299522.58
2025-06-27,250.45,254.3,248.75,254.2,602358.33
