date,open,high,low,close,volume
2025-03-29,0.7058,0.7117,0.6588,0.6729,38406172.14
2025-03-30,0.6729,0.6872,0.6513,0.661,25636571.3
2025-03-31,0.661,0.6653,0.6297,0.6616,51766441.66
2025-04-01,0.6616,0.6941,0.6578,0.6772,40279627.5
2025-04-02,0.6772,0.7091,0.6347,0.6398,59341991.63
2025-04-03,0.6398,0.6573,0.6129,0.6504,54303108.87
2025-04-04,0.6504,0.6712,0.6273,0.6601,49447220.03
2025-04-05,0.6601,0.6672,0.6447,0.6546,17190598.79
2025-04-06,0.6546,0.6549,0.5597,0.5732,74094592.71
2025-04-07,0.5732,0.6042,0.5108,0.586,143847050.22
2025-04-08,0.586,0.6198,0.5524,0.5579,81172887.02
2025-04-09,0.5579,0.6459,0.5357,0.6312,119983239.66
2025-04-10,0.6312,0.6333,0.5855,0.6092,65627307.39
2025-04-11,0.6092,0.6445,0.6056,0.6238,52965418.82
2025-04-12,0.6238,0.6669,0.617,0.6593,45597968.15
2025-04-13,0.6593,0.6685,0.6299,0.6377,45511522.36
2025-04-14,0.6377,0.657,0.628,0.6351,39832806.77
2025-04-15,0.6351,0.6482,0.6071,0.6092,37817840.43
2025-04-16,0.6092,0.6243,0.5951,0.6107,29408146.71
2025-04-17,0.6107,0.6296,0.609,0.6167,18676908.25
2025-04-18,0.6167,0.6318,0.6104,0.6273,14393404.57
2025-04-19,0.6273,0.6349,0.619,0.628,13641426.62
2025-04-20,0.628,0.6346,0.61,0.62,12942401.06
2025-04-21,0.62,0.6505,0.6161,0.6242,28525200.8
2025-04-22,0.6242,0.6847,0.6158,0.6794,45850962.19
2025-04-23,0.6794,0.7179,0.6777,0.6979,50209696.47
2025-04-24,0.6979,0.7459,0.6703,0.7221,53941106.7
2025-04-25,0.7221,0.7332,0.7025,0.714,53040954.14
2025-04-26,0.714,0.7345,0.7003,0.7073,27339060.42
2025-04-27,0.7073,0.7176,0.6909,0.7035,28093656.87
2025-04-28,0.7035,0.729,0.6826,0.7057,50274206.15
2025-04-29,0.7057,0.7183,0.6893,0.6961,28503587.31
2025-04-30,0.6961,0.7036,0.6653,0.6818,37239287.39
2025-05-01,0.6818,0.7146,0.6817,0.7053,36108480.49
2025-05-02,0.7053,0.7255,0.6891,0.6985,41680094.12
2025-05-03,0.6985,0.7297,0.6921,0.7,44840266.1
2025-05-04,0.7,0.7144,0.6723,0.6766,31465577.78
2025-05-05,0.6766,0.6916,0.6542,0.6625,32141615.52
2025-05-06,0.6625,0.6805,0.6426,0.6787,31990950.01
2025-05-07,0.6787,0.689,0.6553,0.6715,25252911.02
2025-05-08,0.6715,0.7706,0.6702,0.7694,78541658.06
2025-05-09,0.7694,0.8179,0.753,0.7774,79449714.43
2025-05-10,0.7774,0.8437,0.7705,0.841,69624662.75
2025-05-11,0.841,0.8465,0.7818,0.8052,58654486.66
2025-05-12,0.8052,0.8641,0.7807,0.8172,117046599.01
2025-05-13,0.8172,0.8419,0.7722,0.8302,62296875.3
2025-05-14,0.8302,0.8333,0.7887,0.7988,63553499.44
2025-05-15,0.7988,0.8103,0.7448,0.7624,85336471.84
2025-05-16,0.7624,0.786,0.751,0.759,40269493.81
2025-05-17,0.759,0.7813,0.7274,0.7431,60093127.89
2025-05-18,0.7431,0.7766,0.7184,0.76,57503553.89
2025-05-19,0.76,0.7649,0.7107,0.7427,38469750.04
2025-05-20,0.7427,0.7537,0.723,0.7461,34190077.19
2025-05-21,0.7461,0.7843,0.7373,0.7694,61132840.27
2025-05-22,0.7694,0.8104,0.7691,0.8092,55143320.51
2025-05-23,0.8092,0.8413,0.7434,0.7474,84654376.42
2025-05-24,0.7474,0.7668,0.7413,0.747,21083669.26
2025-05-25,0.747,0.7606,0.7284,0.7602,28255662.97
2025-05-26,0.7602,0.7773,0.7515,0.7603,24565504.29
2025-05-27,0.7603,0.7756,0.7438,0.7586,34178002.1
2025-05-28,0.7586,0.7611,0.7324,0.7478,30286910.6
2025-05-29,0.7478,0.7652,0.7202,0.7222,36250767.85
2025-05-30,0.7222,0.7279,0.6828,0.6893,54085295.33
2025-05-31,0.6893,0.6953,0.6569,0.6862,37004631.25
2025-06-01,0.6862,0.6881,0.6552,0.6856,34293930.03
2025-06-02,0.6856,0.6922,0.6642,0.69,25900764.83
2025-06-03,0.69,0.7075,0.6746,0.6842,27887815.81
2025-06-04,0.6842,0.7028,0.6624,0.6657,24325777.57
2025-06-05,0.6657,0.69,0.6193,0.6261,51844923.28
2025-06-06,0.6261,0.6726,0.6217,0.6559,33462159
2025-06-07,0.6559,0.6711,0.6502,0.6649,16255895.25
2025-06-08,0.6649,0.6797,0.6523,0.6702,24416002.18
2025-06-09,0.6702,0.708,0.657,0.7051,30852276.49
2025-06-10,0.7051,0.7204,0.6867,0.7167,37896859.44
2025-06-11,0.7167,0.7314,0.6912,0.6982,39010041.57
2025-06-12,0.6982,0.7001,0.6573,0.6618,30528242.33
2025-06-13,0.6618,0.6619,0.618,0.6424,50300706.59
2025-06-14,0.6424,0.6429,0.6136,0.6251,15966431.15
2025-06-15,0.6251,0.636,0.6211,0.6334,12147169.16
2025-06-16,0.6334,0.6577,0.625,0.6303,28103540.68
2025-06-17,0.6303,0.6425,0.6,0.609,30968307.86
2025-06-18,0.609,0.6216,0.5885,0.6042,30360939.99
2025-06-19,0.6042,0.6116,0.5901,0.6021,21594924.54
2025-06-20,0.6021,0.6069,0.5615,0.5776,27141822.73
2025-06-21,0.5776,0.5883,0.5447,0.5565,23751658.83
2025-06-22,0.5565,0.5641,0.5102,0.542,49631202.5
2025-06-23,0.542,0.5867,0.5291,0.5827,46680245.52
2025-06-24,0.5827,0.5939,0.5768,0.5877,27649772.77
2025-06-25,0.5877,0.5909,0.5635,0.5673,27635158.17
2025-06-26,0.5673,0.5818,0.5633,0.5652,8848933.42
