date,open,high,low,close,volume
2025-03-29,5.559,5.589,5.157,5.228,1974644.91
2025-03-30,5.228,5.398,5.172,5.29,1594191.23
2025-03-31,5.29,5.419,5.073,5.27,2653313.66
2025-04-01,5.27,5.448,5.251,5.4,1406137.26
2025-04-02,5.4,5.506,5.021,5.102,2956164.18
2025-04-03,5.102,5.321,4.95,5.06,2077805.51
2025-04-04,5.06,5.09,4.734,4.91,2287516.39
2025-04-05,4.91,4.939,4.79,4.881,616333.71
2025-04-06,4.881,4.918,4.24,4.349,2155516.99
2025-04-07,4.349,4.551,3.91,4.41,3017363.41
2025-04-08,4.41,4.708,4.313,4.35,1812192.78
2025-04-09,4.35,4.828,4.172,4.73,3604624.26
2025-04-10,4.73,4.73,4.445,4.613,2246114.01
2025-04-11,4.613,4.865,4.611,4.79,1776125.39
2025-04-12,4.79,4.989,4.736,4.961,1488914.71
2025-04-13,4.961,5.197,4.752,4.828,3069451.76
2025-04-14,4.828,4.999,4.781,4.809,2450819.12
2025-04-15,4.809,4.82,4.613,4.62,1976097.91
2025-04-16,4.62,4.73,4.5,4.618,1790507.65
2025-04-17,4.618,4.721,4.523,4.598,2059262.28
2025-04-18,4.598,4.798,4.551,4.691,1156375.75
2025-04-19,4.691,4.951,4.643,4.919,1217699.53
2025-04-20,4.919,5.079,4.861,5.072,2117704.94
2025-04-21,5.072,5.245,4.911,4.928,1861054.42
2025-04-22,4.928,5.299,4.77,5.269,3041466.72
2025-04-23,5.269,5.401,5.212,5.352,3789278.38
2025-04-24,5.352,5.609,5.18,5.5,6304909.27
2025-04-25,5.5,5.648,5.341,5.549,3495254.18
2025-04-26,5.549,5.688,5.492,5.62,2868657.94
2025-04-27,5.62,5.659,5.314,5.379,2168260.56
2025-04-28,5.379,5.66,5.252,5.529,3091726.93
2025-04-29,5.529,5.706,5.39,5.43,4086770.52
2025-04-30,5.43,5.459,5.155,5.342,3843920.29
2025-05-01,5.342,5.59,5.342,5.501,2709297.74
2025-05-02,5.501,5.586,5.38,5.449,2818855.76
2025-05-03,5.449,5.456,5.141,5.19,1985739.46
2025-05-04,5.19,5.219,5.072,5.1,1110687.29
2025-05-05,5.1,5.208,4.961,4.97,2985631.52
2025-05-06,4.97,4.979,4.591,4.77,5022716.26
2025-05-07,4.77,4.821,4.652,4.79,1880300.57
2025-05-08,4.79,5.489,4.79,5.489,5113679.22
2025-05-09,5.489,5.85,5.459,5.58,7379709.61
2025-05-10,5.58,6.079,5.509,6.07,5446011.19
2025-05-11,6.07,6.279,5.79,5.888,5826504.87
2025-05-12,5.888,6.159,5.609,5.85,7091464.05
2025-05-13,5.85,6.249,5.512,6.132,7994319.99
2025-05-14,6.132,6.18,5.691,5.74,4627605.26
2025-05-15,5.74,5.821,5.194,5.31,4601606.47
2025-05-16,5.31,5.448,5.223,5.261,3834586.08
2025-05-17,5.261,5.277,5.022,5.08,2688940.44
2025-05-18,5.08,5.326,4.894,5.193,3307344.06
2025-05-19,5.193,5.222,4.839,5.21,3418296.39
2025-05-20,5.21,5.298,4.998,5.149,2498726.62
2025-05-21,5.149,5.389,5.083,5.272,2999443.89
2025-05-22,5.272,5.78,5.271,5.717,5277217.93
2025-05-23,5.717,5.998,5.321,5.342,6611617.87
2025-05-24,5.342,5.447,5.29,5.319,1892422.1
2025-05-25,5.319,5.339,5.01,5.269,2333151.73
2025-05-26,5.269,5.487,5.241,5.289,2407671.69
2025-05-27,5.289,5.52,5.193,5.371,2177082.55
2025-05-28,5.371,5.487,5.231,5.389,2671155.74
2025-05-29,5.389,5.579,5.142,5.159,2316046.79
2025-05-30,5.159,5.186,4.692,4.74,4417472.12
2025-05-31,4.74,4.819,4.53,4.73,3253905.5
2025-06-01,4.73,4.83,4.641,4.81,1548603.24
2025-06-02,4.81,4.909,4.661,4.89,1239645.93
2025-06-03,4.89,5.04,4.864,4.931,1228935.39
2025-06-04,4.931,5.015,4.752,4.79,1623830.39
2025-06-05,4.79,4.869,4.442,4.491,2815545.74
2025-06-06,4.491,4.727,4.466,4.619,1088054.39
2025-06-07,4.619,4.77,4.611,4.75,616746.42
2025-06-08,4.75,4.78,4.6,4.711,943542.23
2025-06-09,4.711,4.969,4.644,4.959,752457.17
2025-06-10,4.959,5.139,4.881,5.139,1319825.17
2025-06-11,5.139,5.248,4.946,5.021,2439665.35
2025-06-12,5.021,5.07,4.681,4.702,1033858.57
2025-06-13,4.702,4.702,4.345,4.499,3796916.43
2025-06-14,4.499,4.55,4.32,4.461,1590820.82
2025-06-15,4.461,4.551,4.44,4.539,883239.35
2025-06-16,4.539,4.912,4.5,4.681,6023443.68
2025-06-17,4.681,4.759,4.39,4.449,1637944.53
2025-06-18,4.449,4.53,4.279,4.46,1181219.49
2025-06-19,4.46,4.509,4.273,4.39,2910621.5
2025-06-20,4.39,4.48,4.18,4.279,2143838.66
2025-06-21,4.279,4.69,4.064,4.169,3278220
2025-06-22,4.169,4.221,3.751,3.929,3108261.56
2025-06-23,3.929,4.351,3.873,4.32,2886434.23
2025-06-24,4.32,5.138,4.258,4.959,13727794.58
2025-06-25,4.959,5.09,4.631,4.89,16903327.67
2025-06-26,4.896,5.004,4.76,4.775,38582148.35
