date,open,high,low,close,volume
2025-03-29,4.546,4.561,4.174,4.242,2429199.77
2025-03-30,4.242,4.393,4.189,4.314,2114010.7
2025-03-31,4.314,4.465,4.179,4.374,1831666.97
2025-04-01,4.374,4.542,4.347,4.374,1848474.09
2025-04-02,4.374,4.601,4.143,4.217,3359075.33
2025-04-03,4.217,4.711,4.196,4.645,4108565.1
2025-04-04,4.645,5.085,4.617,4.985,10299136.57
2025-04-05,4.985,5.013,4.724,4.803,3096964.26
2025-04-06,4.803,4.829,4.378,4.437,3616646.92
2025-04-07,4.437,4.577,4.039,4.33,6235700.95
2025-04-08,4.33,4.431,4.098,4.171,3135476.73
2025-04-09,4.171,4.58,4.015,4.535,3739229.24
2025-04-10,4.535,4.538,4.227,4.334,2492368.01
2025-04-11,4.334,4.442,4.198,4.241,5623689.86
2025-04-12,4.241,4.397,4.16,4.353,4436624.45
2025-04-13,4.353,4.392,4.053,4.148,4412989.77
2025-04-14,4.148,4.274,4.062,4.131,3012914.13
2025-04-15,4.131,4.183,3.973,3.98,1966768.79
2025-04-16,3.98,4.093,3.924,4.024,2561761.15
2025-04-17,4.024,4.193,3.993,4.109,1873411.85
2025-04-18,4.109,4.223,4.073,4.123,1515427.87
2025-04-19,4.123,4.251,4.122,4.212,1388862.98
2025-04-20,4.212,4.263,4.105,4.149,1156378.69
2025-04-21,4.149,4.293,4.05,4.063,2346105.06
2025-04-22,4.063,4.339,3.983,4.312,3385903.77
2025-04-23,4.312,4.442,4.279,4.41,2808193.43
2025-04-24,4.41,4.615,4.282,4.553,3054997.82
2025-04-25,4.553,4.633,4.424,4.545,3235546.96
2025-04-26,4.545,4.737,4.545,4.589,3156164.71
2025-04-27,4.589,4.626,4.365,4.38,3073016.66
2025-04-28,4.38,4.497,4.285,4.463,2376709.08
2025-04-29,4.463,4.537,4.339,4.379,2017389.2
2025-04-30,4.379,4.43,4.221,4.299,2115309.73
2025-05-01,4.299,4.483,4.293,4.433,1716325.8
2025-05-02,4.433,4.513,4.332,4.37,2450276.95
2025-05-03,4.37,4.371,4.164,4.219,1396382.97
2025-05-04,4.219,4.248,4.069,4.097,1526371.19
2025-05-05,4.097,4.202,4.048,4.073,2280189.33
2025-05-06,4.073,4.122,3.981,4.108,3230929.98
2025-05-07,4.108,4.19,4.086,4.171,2127060.83
2025-05-08,4.171,4.586,4.156,4.539,3389792.31
2025-05-09,4.539,4.996,4.525,4.946,5240625.69
2025-05-10,4.946,5.393,4.858,5.383,4703714.34
2025-05-11,5.383,5.419,5.118,5.31,3663441.09
2025-05-12,5.31,5.496,5.113,5.235,4633369.01
2025-05-13,5.235,5.368,4.974,5.265,4156667.34
2025-05-14,5.265,5.347,5.042,5.092,3397014.85
2025-05-15,5.092,5.128,4.766,4.868,4620606.97
2025-05-16,4.868,4.989,4.783,4.815,2218650.78
2025-05-17,4.815,4.834,4.657,4.718,2467558.44
2025-05-18,4.718,5.136,4.639,4.967,4645800.86
2025-05-19,4.967,5.005,4.584,4.781,3699645.41
2025-05-20,4.781,4.886,4.658,4.848,2563403.87
2025-05-21,4.848,5.069,4.782,4.977,3730675.29
2025-05-22,4.977,5.23,4.973,5.217,3276221.11
2025-05-23,5.217,5.344,4.771,4.795,4756378.07
2025-05-24,4.795,4.862,4.696,4.716,2307649.25
2025-05-25,4.716,4.819,4.577,4.793,2121256.1
2025-05-26,4.793,4.954,4.747,4.779,3327746.1
2025-05-27,4.779,4.961,4.68,4.756,4314371.82
2025-05-28,4.756,4.854,4.642,4.846,2617162.79
2025-05-29,4.846,4.919,4.599,4.614,2817831.19
2025-05-30,4.614,4.638,4.237,4.299,4565878.09
2025-05-31,4.299,4.394,4.184,4.348,2470364.98
2025-06-01,4.348,4.387,4.259,4.369,1803866.18
2025-06-02,4.369,4.493,4.261,4.472,2408656.85
2025-06-03,4.472,4.532,4.377,4.418,1775934.74
2025-06-04,4.418,4.471,4.245,4.271,2162472.31
2025-06-05,4.271,4.353,4.032,4.083,3965993.04
2025-06-06,4.083,4.295,4.07,4.176,1881264.36
2025-06-07,4.176,4.331,4.176,4.311,1108325.47
2025-06-08,4.311,4.328,4.205,4.27,1093995.13
2025-06-09,4.27,4.481,4.21,4.436,1829313.94
2025-06-10,4.436,4.626,4.381,4.599,2612724.86
2025-06-11,4.599,4.626,4.457,4.508,1811991.68
2025-06-12,4.508,4.517,4.215,4.216,1933596.45
2025-06-13,4.216,4.217,4.008,4.132,3051634.45
2025-06-14,4.132,4.16,4.022,4.089,1255142.64
2025-06-15,4.089,4.134,4.011,4.095,1119967.92
2025-06-16,4.095,4.298,4.065,4.14,1681247.39
2025-06-17,4.14,4.198,3.974,4.022,2520465.27
2025-06-18,4.022,4.079,3.923,4.016,1718395.73
2025-06-19,4.016,4.076,3.96,4.039,1255545.18
2025-06-20,4.039,4.083,3.83,3.928,2460478.43
2025-06-21,3.928,3.991,3.696,3.794,1667842.16
2025-06-22,3.794,3.847,3.554,3.721,3388123.93
2025-06-23,3.721,4.1,3.71,4.075,2298034.95
2025-06-24,4.075,4.141,3.996,4.076,2196175.13
2025-06-25,4.076,4.083,3.981,4.003,1671250.85
2025-06-26,4.003,4.067,3.979,3.996,636783.57
