date,open,high,low,close,volume
2025-03-30,19.6,19.91,18.7,18.86,8015728.63
2025-03-31,18.86,19.11,18.17,18.78,10047240.98
2025-04-01,18.78,19.93,18.72,19.82,13660675.46
2025-04-02,19.82,19.89,17.77,17.99,21650277.18
2025-04-03,17.99,18.98,17.57,18.14,15539201.05
2025-04-04,18.14,18.76,17.62,18.18,12064911.72
2025-04-05,18.18,18.37,17.69,17.87,3834696.75
2025-04-06,17.87,17.91,15.62,16.03,15384578.25
2025-04-07,16.03,17.16,14.66,16.68,35359173.79
2025-04-08,16.68,17.72,15.92,16.14,15505426.13
2025-04-09,16.14,18.89,15.6,18.44,22601738.78
2025-04-10,18.44,18.44,17.56,18.32,9441259.32
2025-04-11,18.32,19.56,18.31,19.13,13246510.41
2025-04-12,19.13,21.02,18.84,20.49,12538874.05
2025-04-13,20.49,20.67,19.28,19.57,8128210.77
2025-04-14,19.57,20.66,19.56,20.11,15738417.21
2025-04-15,20.11,20.27,18.96,19.02,12282875.98
2025-04-16,19.02,19.27,18.52,18.76,9998232.79
2025-04-17,18.76,19.55,18.7,19.05,7090215.17
2025-04-18,19.05,19.33,18.85,19.07,3287133.68
2025-04-19,19.07,20.36,19.03,19.89,6348969.84
2025-04-20,19.89,20.03,19.24,19.5,5781281.22
2025-04-21,19.5,20.93,19.5,19.93,15465529.14
2025-04-22,19.93,22.3,19.45,22.12,23096391.92
2025-04-23,22.12,23.08,21.89,22.35,19610981.6
2025-04-24,22.35,22.63,21.63,22.38,15353163.72
2025-04-25,22.38,22.88,21.78,22.18,15118884.46
2025-04-26,22.18,22.99,21.72,22.41,11607930.63
2025-04-27,22.41,22.8,21.67,21.74,9027225.3
2025-04-28,21.74,22.43,21.03,21.83,17041009.41
2025-04-29,21.83,22.31,21.27,21.58,11771063.03
2025-04-30,21.58,21.94,20.37,20.92,13326442.54
2025-05-01,20.92,21.88,20.82,21.64,16199438.46
2025-05-02,21.64,22.19,20.98,21.26,18103339.03
2025-05-03,21.26,21.28,20.49,20.53,5457590.27
2025-05-04,20.53,20.64,19.77,19.91,6212220.11
2025-05-05,19.91,20.24,19.3,19.68,8491090.52
2025-05-06,19.68,20.12,19.27,20.01,7342833.14
2025-05-07,20.01,20.26,19.08,19.55,10824738.18
2025-05-08,19.55,22.16,19.5,22.15,20574028.15
2025-05-09,22.15,23.98,21.96,23.28,30425184.29
2025-05-10,23.28,25.98,23.03,25.81,26629554.51
2025-05-11,25.81,26.01,24.16,24.79,20183000.38
2025-05-12,24.79,26.82,23.74,24.84,31577671.1
2025-05-13,24.84,26.26,23.47,25.73,26692686.34
2025-05-14,25.73,26.53,24.76,24.97,26973229.02
2025-05-15,24.97,25.11,22.95,23.51,24025903.4
2025-05-16,23.51,24.05,22.69,23.08,13588124.92
2025-05-17,23.08,23.13,21.97,22.18,9635164.06
2025-05-18,22.18,23.86,21.59,23.07,21973602.84
2025-05-19,23.07,23.19,21.27,22.27,14261424.99
2025-05-20,22.27,22.82,21.77,22.61,15625957.14
2025-05-21,22.61,23.81,22.17,23.18,19737978.32
2025-05-22,23.18,25.43,23.15,25.26,34226665.74
2025-05-23,25.26,25.97,22.93,23.07,26930751.89
2025-05-24,23.07,23.48,22.77,22.96,10119952.76
2025-05-25,22.96,23.47,22.04,23.45,9114335.52
2025-05-26,23.45,24.02,22.89,23.08,8059084.08
2025-05-27,23.08,23.89,22.53,23.39,15193384.04
2025-05-28,23.39,23.77,22.78,23.61,11384944.8
2025-05-29,23.61,24.35,22.18,22.24,18788547.14
2025-05-30,22.24,22.34,20.42,20.56,17668002.09
2025-05-31,20.56,21.13,19.79,20.81,10619792.86
2025-06-01,20.81,20.97,20.2,20.89,5887331.82
2025-06-02,20.89,21.31,20.24,21.16,9771453.04
2025-06-03,21.16,21.71,20.92,21.15,7714278.04
2025-06-04,21.15,21.64,20.09,20.1,8108529.95
2025-06-05,20.1,20.55,18.44,18.76,18217840.76
2025-06-06,18.76,19.97,18.66,19.66,10101880.46
2025-06-07,19.66,21.13,19.59,20.67,8883001.6
2025-06-08,20.67,21.5,20.16,21.05,8784059.12
2025-06-09,21.05,22.04,20.23,21.96,10209199.7
2025-06-10,21.96,22.58,21.53,22.57,15655581.41
2025-06-11,22.57,22.77,21.34,21.58,12622262.93
2025-06-12,21.58,21.62,20.18,20.3,9934077.01
2025-06-13,20.3,20.31,18.5,19.42,19518948.81
2025-06-14,19.42,19.43,18.72,18.95,6015305.49
2025-06-15,18.95,19.29,18.75,19.11,4486383.95
2025-06-16,19.11,20,18.91,19.06,8711708.36
2025-06-17,19.06,19.48,18.14,18.6,13242212.82
2025-06-18,18.6,18.9,18.08,18.16,18781385.51
2025-06-19,18.16,18.39,17.65,18.06,15447950.84
2025-06-20,18.06,18.42,16.96,17.37,10493227.75
2025-06-21,17.37,17.64,16.33,16.83,10825462.59
2025-06-22,16.83,17.11,15.62,16.54,15441060
2025-06-23,16.54,18.2,16.27,18.08,14811401.79
2025-06-24,18.08,18.5,17.91,18.24,13271730.11
2025-06-25,18.24,18.37,17.43,17.58,14309130.08
2025-06-26,17.58,18.02,17.41,17.44,2988965.34
2025-06-27,17.24,17.37,17.03,17.37,702194.91
