date,open,high,low,close,volume
2025-03-29,307.53,308.88,298.78,303.19,3978056.21
2025-03-30,303.19,307.95,294.24,298.96,4085459.98
2025-03-31,298.96,305.88,289.93,303.43,7143041.82
2025-04-01,303.43,318.3,302.39,308.26,5949320.1
2025-04-02,308.26,316.49,290.36,292.94,11171059.76
2025-04-03,292.94,307.76,291.78,301.08,8607816.73
2025-04-04,301.08,310.01,294.19,301.35,6857803.9
2025-04-05,301.35,304.25,297.04,303.98,2740452.21
2025-04-06,303.98,307.96,265.44,271.99,10026680.03
2025-04-07,271.99,281.63,249.36,275.35,14751924.42
2025-04-08,275.35,284.56,266.74,268.91,5667721.79
2025-04-09,268.91,315.48,259,301.13,17821938.8
2025-04-10,301.13,303.78,282.48,289.85,6433303.36
2025-04-11,289.85,315.58,289.5,312.68,8919374.34
2025-04-12,312.68,376.45,311.28,344.71,18428947.22
2025-04-13,344.71,353.09,336.02,342.64,7398866.5
2025-04-14,342.64,376.75,321.41,323.42,26932219.14
2025-04-15,323.42,337.21,317.27,319.37,12529303.95
2025-04-16,319.37,325.75,314.41,321.59,6851567.78
2025-04-17,321.59,340.43,321.03,333.81,11593628.68
2025-04-18,333.81,344.92,327.45,334.91,9126989.29
2025-04-19,334.91,339.98,332.81,335.4,2753651.75
2025-04-20,335.4,342.59,331.75,336.1,3529287.36
2025-04-21,336.1,348.03,335.96,344.82,10308651.32
2025-04-22,344.82,364.62,336.96,362.45,17005684.71
2025-04-23,362.45,364.02,353.66,358.45,12753625.02
2025-04-24,358.45,367.12,343.48,356.88,18839184.9
2025-04-25,356.88,384.51,348.2,373.27,23526053.1
2025-04-26,373.27,377.31,355.3,355.63,8721404.61
2025-04-27,355.63,360.05,344.98,345.69,5353109.7
2025-04-28,345.69,369.93,341.72,363.98,14214267.25
2025-04-29,363.98,377.56,360.91,363.78,22514052.57
2025-04-30,363.78,369.58,355.17,366.04,9226864.99
2025-05-01,366.04,374.52,360.28,361.15,8195528.08
2025-05-02,361.15,386.16,359.22,382.86,15199645.11
2025-05-03,382.86,383.4,362.56,362.91,7266349.12
2025-05-04,362.91,370.83,353.24,356.22,5540121.68
2025-05-05,356.22,361.02,349.15,353.43,4489587.68
2025-05-06,353.43,374.39,350.51,374.21,13217404.04
2025-05-07,374.21,390.82,355.52,383.45,23153065.31
2025-05-08,383.45,454.81,381.29,421.55,59471128.02
2025-05-09,421.55,429.23,403.31,414.24,21517436.22
2025-05-10,414.24,433.02,410.38,430.9,11889299.59
2025-05-11,430.9,431.9,402.53,408.32,10294653.29
2025-05-12,408.32,419.65,396.36,410.67,14999551.06
2025-05-13,410.67,415.79,391.8,411.23,11926710.89
2025-05-14,411.23,413.84,398.96,402.78,6968705.6
2025-05-15,402.78,405.07,383.21,395.94,8449322.91
2025-05-16,395.94,403.9,393.12,395.91,4170038.43
2025-05-17,395.91,401.68,386.42,392.29,2982997.25
2025-05-18,392.29,408.04,389.54,406.49,8058454.73
2025-05-19,406.49,408.8,376.04,393,9253425.08
2025-05-20,393,398.6,384.24,394.25,5883615.09
2025-05-21,394.25,412.24,390.53,407.28,9953032.78
2025-05-22,407.28,445.86,407.28,444.2,30182763.98
2025-05-23,444.2,461.35,424.17,426.48,24669827.75
2025-05-24,426.48,432.39,419.41,421.59,7028051.13
2025-05-25,421.59,427.32,407.76,422.87,7429401.19
2025-05-26,422.87,428.51,413.12,415.58,5927008.69
2025-05-27,415.58,424.46,408.57,414.96,6460120.23
2025-05-28,414.96,427.22,404.81,424.71,8124523.33
2025-05-29,424.71,427.93,405.56,409.59,7423793.47
2025-05-30,409.59,414.37,394.69,398.72,7245343.81
2025-05-31,398.72,422.86,389.89,415.35,12435534.12
2025-06-01,415.35,415.69,397.27,403.64,4714744.12
2025-06-02,403.64,407.08,397.34,403.91,3474561.99
2025-06-03,403.91,409.27,400.18,401.05,4489587.22
2025-06-04,401.05,410.79,397.26,400.62,3281515.74
2025-06-05,400.62,405.09,377.96,385.39,5195997.32
2025-06-06,385.39,399.7,380.86,396.1,3667670.65
2025-06-07,396.1,411.58,394.36,409.46,4320684.04
2025-06-08,409.46,419.62,406.59,410.97,4797915.2
2025-06-09,410.97,429.7,410.91,425.11,6275627.34
2025-06-10,425.11,443.05,418.09,437.95,11388652.92
2025-06-11,437.95,446.65,422.5,429.13,16616106.07
2025-06-12,429.13,441.75,423.71,424.87,7347356.54
2025-06-13,424.87,453.64,398.25,448.58,19229826.9
2025-06-14,448.58,449.89,421.63,430.9,6374595.78
2025-06-15,430.9,469.4,430.9,460.41,12475072.75
2025-06-16,460.41,475.99,451.76,463.45,18711175.26
2025-06-17,463.45,482.83,457.12,463.16,18040278.38
2025-06-18,463.16,480.65,456.58,459.77,13420522.09
2025-06-19,459.77,502.26,453.3,497.22,32394899.18
2025-06-20,497.22,500.44,472.9,473.83,16147067.76
2025-06-21,473.83,477.92,458.36,467.04,9921168.52
2025-06-22,467.04,470.69,437.16,455.16,21819568.55
2025-06-23,455.16,469.55,438.62,462.98,12652468.66
2025-06-24,462.98,466.98,449.38,453.89,8146853.72
2025-06-25,453.89,494.69,453.71,482.52,30688788.85
2025-06-26,482.52,506.82,481.64,495.86,8798890.08
