date,open,high,low,close,volume
2025-03-29,4.826,4.681,4.52,4.624,857350.54
2025-03-30,4.624,4.654,4.506,4.591,1258743.13
2025-03-31,4.591,4.677,4.395,4.503,1171587.91
2025-04-01,4.503,4.786,4.555,4.654,1414657.64
2025-04-02,4.654,4.506,4.264,4.503,1388805.03
2025-04-03,4.503,4.65,4.475,4.501,949860.39
2025-04-04,4.501,4.63,4.49,4.532,1053105.16
2025-04-05,4.532,4.533,4.452,4.461,733773.93
2025-04-06,4.461,4.24,3.876,4.099,1163252.07
2025-04-07,4.099,4.179,3.855,4.136,1468240.17
2025-04-08,4.136,4.1,3.803,4.015,1098126.03
2025-04-09,4.015,4.89,4.206,4.284,1506239.61
2025-04-10,4.284,4.3,3.904,4.18,1141355.99
2025-04-11,4.18,4.343,4.231,4.294,1287591.13
2025-04-12,4.294,4.598,4.35,4.417,1341708.84
2025-04-13,4.417,4.394,4.197,4.269,1048196.97
2025-04-14,4.269,4.35,4.128,4.316,1060711.41
2025-04-15,4.316,4.293,4.162,4.255,1128910.72
2025-04-16,4.255,4.402,4.178,4.304,1270657.23
2025-04-17,4.304,4.388,4.274,4.38,1030953.31
2025-04-18,4.38,4.438,4.351,4.396,978244.66
2025-04-19,4.396,4.608,4.453,4.53,928957.86
2025-04-20,4.53,4.538,4.321,4.417,1064321.58
2025-04-21,4.417,4.469,4.241,4.436,1298040
2025-04-22,4.436,5.041,4.491,4.591,1374124.16
2025-04-23,4.591,4.734,4.472,4.511,1065826.45
2025-04-24,4.511,4.598,4.41,4.431,644715.62
2025-04-25,4.431,4.538,4.356,4.445,799522.47
2025-04-26,4.445,4.535,4.397,4.422,920660.73
2025-04-27,4.422,4.415,4.293,4.379,903488.84
2025-04-28,4.379,4.527,4.302,4.41,1075090.48
2025-04-29,4.41,4.462,4.304,4.37,1155215.63
2025-04-30,4.37,4.458,4.293,4.366,1159112.14
2025-05-01,4.366,4.485,4.325,4.378,1221903.99
2025-05-02,4.378,4.474,4.375,4.436,1298209.13
2025-05-03,4.436,4.464,4.35,4.372,1162494.42
2025-05-04,4.372,4.331,4.269,4.316,1131266.32
2025-05-05,4.316,4.392,4.279,4.312,1005534.3
2025-05-06,4.312,4.455,4.288,4.328,988743.06
2025-05-07,4.328,4.315,4.199,4.231,1095114.32
2025-05-08,4.231,5.18,4.459,4.518,1797957.24
2025-05-09,4.518,4.841,4.336,4.456,1162616.36
2025-05-10,4.456,5.416,4.865,4.979,1355856.02
2025-05-11,4.979,5.012,4.781,4.861,1320235.67
2025-05-12,4.861,4.906,4.704,4.804,1314480.92
2025-05-13,4.804,5.218,4.738,4.835,1146824.16
2025-05-14,4.835,4.86,4.62,4.758,1301167.87
2025-05-15,4.758,4.96,4.603,4.907,1105462.82
2025-05-16,4.907,5.053,4.817,5.035,1130303.76
2025-05-17,5.035,5.044,4.863,4.95,1254350.07
2025-05-18,4.95,5.475,4.977,5.162,1407505.86
2025-05-19,5.162,5.525,5.108,5.227,1195267.37
2025-05-20,5.227,5.3,5.068,5.169,968458.87
2025-05-21,5.169,5.403,5.084,5.242,1084029.2
2025-05-22,5.242,5.498,5.16,5.25,1156255.02
2025-05-23,5.25,5.592,4.943,5.448,1264188.93
2025-05-24,5.448,5.669,5.386,5.609,1136726.83
2025-05-25,5.609,5.735,5.327,5.406,1002665.9
2025-05-26,5.406,5.483,5.28,5.326,976307.73
2025-05-27,5.326,5.585,5.271,5.359,1088406.29
2025-05-28,5.359,5.48,5.23,5.249,1153965.74
2025-05-29,5.249,5.256,5.032,5.148,1230603.18
2025-05-30,5.148,5.041,4.638,4.777,1172700.63
2025-05-31,4.777,4.826,4.538,4.742,1056816.5
2025-06-01,4.742,4.834,4.707,4.789,1117864.61
2025-06-02,4.789,4.989,4.759,4.769,1294856.95
2025-06-03,4.769,4.868,4.73,4.814,1191957.49
2025-06-04,4.814,4.857,4.698,4.76,962362.97
2025-06-05,4.76,4.568,4.278,4.544,1232990.91
2025-06-06,4.544,4.704,4.525,4.615,1360183
2025-06-07,4.615,4.762,4.63,4.684,1222398.27
2025-06-08,4.684,4.69,4.59,4.66,1128115.49
2025-06-09,4.66,5.038,4.754,4.773,1043649.48
2025-06-10,4.773,5.035,4.793,4.83,1190119.94
2025-06-11,4.83,4.93,4.675,4.761,1035933.23
2025-06-12,4.761,4.646,4.475,4.57,875345.49
2025-06-13,4.57,4.727,4.443,4.559,998691.66
2025-06-14,4.559,4.607,4.453,4.536,1195406.1
2025-06-15,4.536,4.62,4.49,4.523,1171347.54
2025-06-16,4.523,4.571,4.35,4.546,1038767.41
2025-06-17,4.546,4.532,4.341,4.419,918012.09
2025-06-18,4.419,4.461,4.243,4.304,1274741.29
2025-06-19,4.304,4.335,4.242,4.282,1262014.09
2025-06-20,4.282,4.345,4.027,4.237,1029519.81
2025-06-21,4.237,4.332,3.99,4.206,1178907.25
2025-06-22,4.206,4.205,3.96,4.034,1078749.68
2025-06-23,4.034,4.445,4.11,4.211,1175848.11
2025-06-24,4.211,4.356,4.221,4.311,1006581.85
2025-06-25,4.311,4.444,4.223,4.4,962619.52
2025-06-26,4.409,4.546,4.408,4.441,4344464.64
