date,open,high,low,close,volume
2025-03-29,619.49,609.86,595.15,602.75,8707428.16
2025-03-30,602.75,606.64,598.24,602.11,6489103.79
2025-03-31,602.11,611.12,594.37,604.68,11695366.63
2025-04-01,604.68,633.19,607.81,611.13,13496141.27
2025-04-02,611.13,592.36,568.86,590.3,15408993.19
2025-04-03,590.3,607.81,590.09,592.42,11915143.07
2025-04-04,592.42,603.29,592.64,597.5,7650136.44
2025-04-05,597.73,601.31,590.84,592.82,3670822.01
2025-04-06,592.82,560.46,515.76,555.25,8250970.05
2025-04-07,555.14,566.9,551.07,554.48,16995124.88
2025-04-08,554.48,553.92,531.73,553.15,8803708.25
2025-04-09,553.15,601.4,576.54,582.32,16191934.51
2025-04-10,582.32,577.89,556.81,577.73,12518108.9
2025-04-11,577.73,608.63,582.95,585.79,11564418.45
2025-04-12,585.79,604.24,595.37,597.16,3965511.03
2025-04-13,597.16,588.96,578.92,584.11,4551495.29
2025-04-14,584.11,591.86,582.56,584.42,5238557.35
2025-04-15,584.42,581.29,570.83,579.53,5299316.39
2025-04-16,579.53,586.44,576.02,582.74,4650098.1
2025-04-17,582.74,594.69,583.82,590.53,4509881.6
2025-04-18,590.53,595.61,585.22,591.73,5590832.97
2025-04-19,591.73,597.56,586.24,591.6,3645652.98
2025-04-20,591.6,598.64,590.12,592.76,4701347.95
2025-04-21,592.76,609.11,596.94,597.38,6309893.54
2025-04-22,597.38,641.67,612.32,618.86,10252718.71
2025-04-23,618.86,622.36,601.74,605.96,8424527.29
2025-04-24,605.96,616.51,601.37,601.84,6743575.55
2025-04-25,601.84,617.23,598.29,600.37,7582064.16
2025-04-26,600.37,611.62,597.99,607.36,4932113.83
2025-04-27,607.36,604.49,596.71,603.74,1929115.66
2025-04-28,603.74,614.69,604.14,606.42,3187724.89
2025-04-29,606.42,607.88,595.15,600.9,3694853.44
2025-04-30,600.9,601.28,594.97,599.87,3284374.59
2025-05-01,599.87,615.31,598.13,600.06,4508686.96
2025-05-02,600.06,603.46,594.73,601.13,7769565.94
2025-05-03,601.13,599.78,593.74,599.59,3550493.02
2025-05-04,599.59,591.57,580.24,586.56,2863222.59
2025-05-05,586.56,604.15,587.66,597.7,6150670.79
2025-05-06,597.7,616.17,602.42,602.71,4966415.7
2025-05-07,602.71,609.1,599.2,602.89,5092781.73
2025-05-08,602.89,641.75,622.96,629.16,9030461.54
2025-05-09,629.16,670.72,624.18,666.81,9653394.05
2025-05-10,666.81,690.83,657.5,664,10139064.56
2025-05-11,664,667.64,648.8,650.98,6301408.38
2025-05-12,650.98,683.33,641.38,660.2,14489540.93
2025-05-13,660.2,669.49,653.98,664.39,7179546.82
2025-05-14,664.39,663.51,650.05,652.64,7857284.44
2025-05-15,652.64,667.56,648.67,651.89,7335902.58
2025-05-16,651.89,656.39,644.39,646.56,4712376.63
2025-05-17,646.56,644.95,638.25,639.79,3178497.1
2025-05-18,639.79,664.38,650.75,651.71,3623490.02
2025-05-19,651.71,658,644.06,649.97,4352189.19
2025-05-20,649.97,659.21,646.71,650.34,3941357.92
2025-05-21,650.47,692.41,646.47,673.02,12363565.39
2025-05-22,674,694.13,680.05,686.76,9129106.79
2025-05-23,686.76,668.47,655.16,657.2,10273084.84
2025-05-24,657.2,671.57,659.83,668.02,5434967.03
2025-05-25,668.02,678.24,668.64,669.73,5698553.13
2025-05-26,669.73,676.69,669.46,674.39,3064755.05
2025-05-27,674.39,691.67,670.2,687.09,8772443.92
2025-05-28,687.09,691.35,674.1,687.14,13223047.42
2025-05-29,687.14,678.4,664.04,674.91,8744541.2
2025-05-30,674.91,665.96,654.09,655.24,8777874.27
2025-05-31,655.24,663.2,652.63,658.38,7048372.07
2025-06-01,658.38,665.71,658.1,661.38,4835854.84
2025-06-02,661.38,670.93,658.33,666.38,6966343.38
2025-06-03,666.38,669.28,657.89,661.79,7079069.78
2025-06-04,661.79,668.7,656.65,663.57,6496343.44
2025-06-05,663.57,650.83,631.53,633.86,9153919.93
2025-06-06,633.86,653.39,642.01,643.48,3843170.99
2025-06-07,643.48,653.71,649.7,651.29,1784645.1
2025-06-08,651.29,653.29,649.38,652.24,2367137.07
2025-06-09,652.3,701.69,663.88,665.76,7730917.3
2025-06-10,665.76,701.22,669.4,673.62,9817517.49
2025-06-11,673.62,674.84,645.18,667.63,7575579.27
2025-06-12,667.71,657.72,649.16,655.18,6528131.58
2025-06-13,655.18,666.86,654.66,655.62,8675943.97
2025-06-14,655.62,654.83,643.43,646.07,3792261.28
2025-06-15,646.07,652.87,646.11,648.43,2133345.51
2025-06-16,648.43,658.55,646.48,651.18,4165473.46
2025-06-17,651.18,649.87,636.59,648.3,7266733.29
2025-06-18,648.3,653.28,641,645.1,7291958.46
2025-06-19,645.61,649.88,638.53,644.83,2050483.4
2025-06-20,644.74,645.09,629.69,641.89,6258936.57
2025-06-21,641.89,636.49,625.56,629.54,6981073.98
2025-06-22,629.54,625.18,614.58,616.19,5876032.74
2025-06-23,616.19,654.15,638.02,640.98,4232411.23
2025-06-24,640.98,648.37,641.68,643.91,2782279.01
2025-06-25,643.91,659.65,643.43,646.44,5164925.34
2025-06-26,646.39,650.4,644.81,645.8,39115071.11
