date,open,high,low,close,volume
2025-03-30,82625.65,83516.72,81563.47,82379.51,839590269.08
2025-03-31,82379.51,83917.4,81290.13,82539.52,1894666416.64
2025-04-01,82539.52,85554.98,82419.98,85174.96,1962356062.59
2025-04-02,85174.96,88505.24,82299.2,82490.58,3519914220.4
2025-04-03,82490.58,83928.41,81178.57,83158.8,2335462308.44
2025-04-04,83158.8,84716.02,81648.68,83860.21,3085885741.07
2025-04-05,83860.21,84230.44,82357.52,83503.37,622496989.4
2025-04-06,83503.37,83756.1,77079.93,78365.57,2374631982.2
2025-04-07,78365.57,81172.27,74426.93,79143.06,5546499783.12
2025-04-08,79143.06,80835.83,76181.24,76255.1,3084760820.88
2025-04-09,76255.1,83574.06,74569.86,82587.03,4963132858.37
2025-04-10,82587.03,82710.13,78405.82,79554.96,2526317821.03
2025-04-11,79554.96,84266.51,78924.27,83386,2412186958.4
2025-04-12,83386,85899.74,82766.93,85272.12,1196895442.75
2025-04-13,85272.12,86079.47,83019.76,83730.92,1375187409.37
2025-04-14,83730.92,85796.21,83667.03,84575.75,2042899221.49
2025-04-15,84575.75,86473.18,83596.04,83638.17,1548187876.56
2025-04-16,83638.17,85485.35,83094.96,84029.4,1871983984.29
2025-04-17,84029.4,85472.23,83725.98,84943.42,1288802970.79
2025-04-18,84943.42,85132.75,84287.73,84459.96,465771169.06
2025-04-19,84459.96,85614.27,84355.7,85061.54,454642234.58
2025-04-20,85061.54,85302.3,83954.54,85167.14,482671707.92
2025-04-21,85167.14,88526.3,85132.52,87515.57,2657452654.45
2025-04-22,87515.57,93937.07,87084.84,93483.3,3880446944.47
2025-04-23,93483.3,94656.65,91943.03,93729.23,3081124602.45
2025-04-24,93729.23,94047.54,91693.21,94022.48,2000861098.9
2025-04-25,94022.48,95924.19,92883.11,94711.24,3078073390.5
2025-04-26,94711.24,95258.03,93916.48,94663.66,698471645.53
2025-04-27,94663.66,95346.43,93671.22,93777.44,726739226.7
2025-04-28,93777.44,95636.66,92864.35,95035.06,1925071151.02
2025-04-29,95035.06,95487.2,93780.51,94274.16,1599631635.46
2025-04-30,94274.16,95250.77,92968.85,94186.14,2024539251.94
2025-05-01,94186.14,97505.38,94150.92,96519.31,2278228402.24
2025-05-02,96519.31,97939.99,96386.78,96925.07,1571644595.63
2025-05-03,96925.07,96963.89,95826,95903.14,682121711.48
2025-05-04,95903.14,96326.95,94313.27,94394.09,1046015845.6
2025-05-05,94394.09,95224.21,93694.42,94767.95,1661608010.46
2025-05-06,94767.95,96911.52,93382.91,96835.87,1735613081.89
2025-05-07,96835.87,97720.02,95816.56,97052.27,1936285634.4
2025-05-08,97052.27,104147.97,96905.18,103259,4054486165.35
2025-05-09,103259,104353.74,102332.43,102982.3,2345592246.87
2025-05-10,102982.3,104980.23,102830.2,104814.08,944047262.42
2025-05-11,104814.08,104958.29,103353.87,104124.02,1144137614.49
