date,open,high,low,close,volume
2025-03-29,0.1048,0.105,0.09834,0.1008,9383035.11
2025-03-30,0.1008,0.1092,0.1008,0.1017,15374559.01
2025-03-31,0.1017,0.102,0.09751,0.09908,8960369.98
2025-04-01,0.09908,0.1064,0.09759,0.1043,12444891.11
2025-04-02,0.1043,0.1089,0.09382,0.0964,21465445.17
2025-04-03,0.0964,0.1008,0.09188,0.09636,11298701.19
2025-04-04,0.09636,0.09886,0.09273,0.0941,7478142.83
2025-04-05,0.0941,0.0951,0.0905,0.09139,4396504.38
2025-04-06,0.09139,0.09194,0.07959,0.0815,9167621.97
2025-04-07,0.0815,0.08744,0.07334,0.08583,14960834.67
2025-04-08,0.08583,0.08706,0.07967,0.08034,9176828.19
2025-04-09,0.08034,0.08929,0.07721,0.08773,10775222.22
2025-04-10,0.08773,0.08839,0.08386,0.08454,7499439.65
2025-04-11,0.08454,0.08841,0.0844,0.08753,6306058.01
2025-04-12,0.08753,0.09098,0.08644,0.08987,6076217.64
2025-04-13,0.08987,0.09148,0.08431,0.08518,6191890.03
2025-04-14,0.08518,0.08813,0.08459,0.08508,4110419.11
2025-04-15,0.08508,0.08597,0.08213,0.08257,3970955.38
2025-04-16,0.08257,0.08332,0.08065,0.08197,4513796.32
2025-04-17,0.08197,0.08527,0.08183,0.0835,3830995.5
2025-04-18,0.0835,0.08434,0.0828,0.08372,2182048.92
2025-04-19,0.08372,0.08497,0.08317,0.08372,1911600.61
2025-04-20,0.08372,0.08406,0.08198,0.08237,2364866.38
2025-04-21,0.08237,0.08454,0.08104,0.08235,4756560.28
2025-04-22,0.08235,0.09375,0.08134,0.09198,16760083.02
2025-04-23,0.09198,0.09499,0.08836,0.08996,8872695.16
2025-04-24,0.08996,0.0928,0.08828,0.09119,6198035.5
2025-04-25,0.09119,0.093,0.08986,0.09143,5709108.66
2025-04-26,0.09143,0.09302,0.09054,0.09193,3839376.4
2025-04-27,0.09193,0.09338,0.09005,0.09044,4634977.04
2025-04-28,0.09044,0.09288,0.08903,0.09054,4641674.58
2025-04-29,0.09054,0.09259,0.08912,0.08972,4441005.15
2025-04-30,0.08972,0.09057,0.08501,0.08819,4574477.97
2025-05-01,0.08819,0.09142,0.08818,0.09026,5776411.55
2025-05-02,0.09026,0.09223,0.08952,0.09193,6118830.93
2025-05-03,0.09193,0.09233,0.08866,0.08981,4818989.04
2025-05-04,0.08981,0.09062,0.08767,0.08815,3520955.77
2025-05-05,0.08815,0.08915,0.08685,0.08838,3326112.73
2025-05-06,0.08838,0.09067,0.0855,0.09057,4600802.62
2025-05-07,0.09057,0.09307,0.09014,0.09152,7156189.12
2025-05-08,0.09152,0.09916,0.09143,0.09836,9549800.93
2025-05-09,0.09836,0.1031,0.09713,0.1013,9162984.17
2025-05-10,0.1013,0.1051,0.09846,0.1049,9172320.15
2025-05-11,0.1049,0.1054,0.09712,0.09855,6823911.83
2025-05-12,0.09855,0.1033,0.09669,0.1014,9968646.52
2025-05-13,0.1014,0.1041,0.09528,0.1032,11094740.64
2025-05-14,0.1032,0.1038,0.1005,0.1015,7468177.47
2025-05-15,0.1015,0.1034,0.09734,0.1011,9952829.05
2025-05-16,0.1011,0.1022,0.09941,0.0996,4534140.98
2025-05-17,0.0996,0.1004,0.09645,0.09772,3633932.32
2025-05-18,0.09772,0.1009,0.09569,0.09975,4437649.75
2025-05-19,0.09975,0.09999,0.0929,0.09608,5312468.37
2025-05-20,0.09608,0.09757,0.09467,0.09687,3811149.62
2025-05-21,0.09687,0.09887,0.09484,0.09775,5489449.06
2025-05-22,0.09775,0.1019,0.0977,0.1003,7112856.31
2025-05-23,0.1003,0.1019,0.09458,0.0949,8575530.76
2025-05-24,0.0949,0.09746,0.09436,0.09583,3199509.74
2025-05-25,0.09583,0.09674,0.09371,0.09666,3490492.37
