date,open,high,low,close,volume
2025-03-30,0.1695,0.1725,0.1644,0.1665,43372966.2
2025-03-31,0.1665,0.1683,0.1601,0.1666,67319953.02
2025-04-01,0.1666,0.1757,0.166,0.174,61251565.58
2025-04-02,0.174,0.1798,0.162,0.1638,94439782.98
2025-04-03,0.1638,0.1674,0.1553,0.1622,57295011.93
2025-04-04,0.1622,0.1727,0.16,0.1712,80846706.35
2025-04-05,0.1712,0.1716,0.1661,0.1689,23091373.09
2025-04-06,0.1689,0.1699,0.1458,0.1492,76227121.49
2025-04-07,0.1492,0.1539,0.1298,0.1495,194748176.07
2025-04-08,0.1495,0.157,0.141,0.1421,84385356.32
2025-04-09,0.1421,0.1643,0.1364,0.1603,113143291.93
2025-04-10,0.1603,0.1604,0.1488,0.1535,65926992.49
2025-04-11,0.1535,0.1624,0.1532,0.16,42774257.89
2025-04-12,0.16,0.1695,0.1577,0.1676,39778004.25
2025-04-13,0.1676,0.1686,0.161,0.1625,38842722.19
2025-04-14,0.1625,0.1694,0.1574,0.1585,44014998.59
2025-04-15,0.1585,0.1613,0.1531,0.1536,35212545.36
2025-04-16,0.1536,0.1573,0.1503,0.1547,36545589.62
2025-04-17,0.1547,0.1594,0.153,0.1559,20305509.58
2025-04-18,0.1559,0.1589,0.1536,0.1576,16965782.87
2025-04-19,0.1576,0.1608,0.1563,0.1573,15613368.45
2025-04-20,0.1573,0.1595,0.1525,0.1553,22049005.49
2025-04-21,0.1553,0.1636,0.155,0.1594,42285215.36
2025-04-22,0.1594,0.18,0.1573,0.1787,81947701.38
2025-04-23,0.1787,0.1855,0.1749,0.1787,82058494.45
2025-04-24,0.1787,0.1838,0.1699,0.1826,70610678.74
2025-04-25,0.1826,0.1863,0.1775,0.1818,82676515.71
2025-04-26,0.1818,0.1931,0.1803,0.182,51706680.02
2025-04-27,0.182,0.1836,0.1766,0.1794,30609275.46
2025-04-28,0.1794,0.1828,0.1739,0.1791,48088063.84
2025-04-29,0.1791,0.1808,0.1725,0.1747,36969635.91
2025-04-30,0.1747,0.1767,0.1668,0.1723,46590908.12
2025-05-01,0.1723,0.1834,0.1721,0.1807,56456715.25
2025-05-02,0.1807,0.1844,0.1793,0.1816,36353103.96
2025-05-03,0.1816,0.1822,0.1751,0.1758,28013920.58
2025-05-04,0.1758,0.1774,0.17,0.1705,25006635.26
2025-05-05,0.1705,0.1746,0.1683,0.1706,27388082.72
2025-05-06,0.1706,0.1726,0.1642,0.1722,34159129.45
2025-05-07,0.1722,0.1744,0.1691,0.172,30088385.57
2025-05-08,0.172,0.1984,0.1717,0.1982,94389884.15
2025-05-09,0.1982,0.2144,0.193,0.2053,131674329.55
2025-05-10,0.2053,0.2509,0.2034,0.2507,152414275.65
2025-05-11,0.2507,0.2596,0.2222,0.2318,185085613.48
2025-05-12,0.2318,0.2531,0.2205,0.231,212142052.48
2025-05-13,0.231,0.2432,0.2173,0.2408,124750693.76
2025-05-14,0.2408,0.2475,0.2282,0.2328,96746080.83
2025-05-15,0.2328,0.2368,0.2138,0.2194,145928311.67
2025-05-16,0.2194,0.2309,0.2181,0.2212,86556617.91
2025-05-17,0.2212,0.2223,0.2109,0.2146,57847918.74
2025-05-18,0.2146,0.2378,0.2141,0.2332,98466105.23
