date,open,high,low,close,volume
2025-03-29,4.28,4.3,3.995,4.049,7320367.22
2025-03-30,4.049,4.172,3.987,4.041,5797336.03
2025-03-31,4.041,4.092,3.95,4.021,6671728.35
2025-04-01,4.021,4.277,4.016,4.171,8578890.46
2025-04-02,4.171,4.237,3.911,3.965,9562927.82
2025-04-03,3.965,4.107,3.846,4.057,9984682.7
2025-04-04,4.057,4.132,3.948,4.034,7225271.38
2025-04-05,4.034,4.066,3.897,3.955,4089726.49
2025-04-06,3.955,3.973,3.602,3.681,8620193.93
2025-04-07,3.681,3.73,3.304,3.591,26996945.42
2025-04-08,3.591,3.702,3.338,3.374,13469165.43
2025-04-09,3.374,3.752,3.25,3.641,25028836.99
2025-04-10,3.641,3.646,3.391,3.463,12828606.92
2025-04-11,3.463,3.596,3.45,3.557,7762119.14
2025-04-12,3.557,3.755,3.527,3.713,6275660.4
2025-04-13,3.713,3.813,3.617,3.664,10436075.24
2025-04-14,3.664,3.796,3.634,3.675,9074051.28
2025-04-15,3.675,3.734,3.518,3.52,6415648.77
2025-04-16,3.52,3.617,3.472,3.556,5380920.31
2025-04-17,3.556,3.696,3.54,3.634,5283783.3
2025-04-18,3.634,3.747,3.613,3.673,4717318.63
2025-04-19,3.673,3.892,3.647,3.88,5250417.83
2025-04-20,3.88,3.949,3.79,3.879,5856190.56
2025-04-21,3.879,3.981,3.771,3.782,6528013.2
2025-04-22,3.782,4.039,3.692,4.01,7816684.8
2025-04-23,4.01,4.197,4.001,4.093,14480391.38
2025-04-24,4.093,4.287,3.931,4.269,10424135.89
2025-04-25,4.269,4.373,4.216,4.258,10904895.52
2025-04-26,4.258,4.363,4.203,4.265,6208962.84
2025-04-27,4.265,4.29,4.058,4.092,6631668
2025-04-28,4.092,4.266,4.013,4.24,8534803.22
2025-04-29,4.24,4.328,4.103,4.148,6734231.52
2025-04-30,4.148,4.175,4.031,4.069,6760603.05
2025-05-01,4.069,4.224,4.067,4.178,4927709.01
2025-05-02,4.178,4.287,4.128,4.163,4760374.69
2025-05-03,4.163,4.172,4.017,4.029,3356355.2
2025-05-04,4.029,4.051,3.902,3.921,7179996.62
2025-05-05,3.921,4.02,3.884,3.918,5944817.37
2025-05-06,3.918,3.974,3.825,3.97,8261992.42
2025-05-07,3.97,4.036,3.882,3.969,6121404.08
2025-05-08,3.969,4.491,3.966,4.454,14769996.66
2025-05-09,4.454,4.859,4.435,4.8,19070499.17
2025-05-10,4.8,5.322,4.796,5.311,26708626.43
2025-05-11,5.311,5.36,4.954,5.096,18150256.75
2025-05-12,5.096,5.391,4.89,5.069,20532375.51
2025-05-13,5.069,5.272,4.824,5.195,14449871.85
2025-05-14,5.195,5.265,4.946,4.982,9887696.89
2025-05-15,4.982,5.027,4.682,4.775,13708484.14
2025-05-16,4.775,4.956,4.713,4.757,7399167.47
2025-05-17,4.757,4.768,4.559,4.614,7033763.86
2025-05-18,4.614,4.921,4.516,4.796,6964099.42
2025-05-19,4.796,4.819,4.417,4.597,6383944
2025-05-20,4.597,4.727,4.52,4.676,6427826.3
2025-05-21,4.676,4.879,4.616,4.742,10687953
2025-05-22,4.742,4.976,4.735,4.948,7753969.75
2025-05-23,4.948,5.119,4.533,4.561,15478524.03
2025-05-24,4.561,4.634,4.516,4.548,4276727.88
2025-05-25,4.548,4.563,4.358,4.525,5968023.5
2025-05-26,4.525,4.618,4.429,4.47,5018468.15
2025-05-27,4.47,4.615,4.375,4.537,6480048.37
2025-05-28,4.537,4.662,4.42,4.587,4430002.63
2025-05-29,4.587,4.681,4.331,4.333,7654578.77
2025-05-30,4.333,4.356,4.014,4.049,9686928
2025-05-31,4.049,4.122,3.9,4.078,5886027.52
2025-06-01,4.078,4.103,3.973,4.067,3681348.24
2025-06-02,4.067,4.172,3.956,4.148,5800684.35
2025-06-03,4.148,4.223,4.103,4.14,4426711.62
2025-06-04,4.14,4.214,3.987,4.008,6014891.54
2025-06-05,4.008,4.076,3.745,3.817,7814024.28
2025-06-06,3.817,3.993,3.808,3.89,3321982.86
2025-06-07,3.89,4.06,3.872,4.031,2619451.48
2025-06-08,4.031,4.114,3.98,4.026,3472567.16
2025-06-09,4.026,4.161,3.966,4.154,5602750.31
2025-06-10,4.154,4.316,4.097,4.295,9434169.31
2025-06-11,4.295,4.343,4.148,4.19,7759055.1
2025-06-12,4.19,4.204,3.91,3.922,7297600.57
2025-06-13,3.922,3.922,3.671,3.84,11211565.52
2025-06-14,3.84,3.846,3.719,3.783,4893798.12
2025-06-15,3.783,3.834,3.736,3.821,2904675.19
2025-06-16,3.821,3.992,3.788,3.847,6958963.72
2025-06-17,3.847,3.896,3.665,3.72,6755804.42
2025-06-18,3.72,3.786,3.576,3.623,6261511.05
2025-06-19,3.623,3.657,3.497,3.549,5759597.7
2025-06-20,3.549,3.577,3.339,3.439,9079078.71
2025-06-21,3.439,3.508,3.22,3.325,6432837.64
2025-06-22,3.325,3.363,3.017,3.154,15577563.32
2025-06-23,3.154,3.423,3.114,3.418,10976909.18
2025-06-24,3.418,3.523,3.389,3.441,6119040.38
2025-06-25,3.441,3.46,3.344,3.354,5551455.77
2025-06-26,3.354,3.434,3.325,3.337,2590341.17
