date,open,high,low,close,volume
2025-03-30,16.61,16.86,16.26,16.5,968344.42
2025-03-31,16.5,16.96,16.23,16.78,1812589.95
2025-04-01,16.78,17.28,16.68,16.91,1016648.86
2025-04-02,16.91,17.29,15.81,16.11,5663761.81
2025-04-03,16.11,16.91,15.57,16.23,3078730.01
2025-04-04,16.23,16.47,15.76,16.22,1715353.14
2025-04-05,16.22,16.38,15.69,15.88,640660.16
2025-04-06,15.88,15.98,13.85,14.15,4445577.59
2025-04-07,14.15,14.86,12.71,14.49,5511195.37
2025-04-08,14.49,14.96,13.99,14.07,1765831.61
2025-04-09,14.07,15.55,13.58,15.29,2947989.49
2025-04-10,15.29,15.3,14.21,14.8,1697016.26
2025-04-11,14.8,15.25,14.74,15.16,1182147.2
2025-04-12,15.16,15.79,15.08,15.54,1825046.53
2025-04-13,15.54,15.74,15.03,15.21,2095618.04
2025-04-14,15.21,15.83,15.18,15.22,2247128.6
2025-04-15,15.22,15.4,14.82,14.87,1559502.35
2025-04-16,14.87,15.1,14.57,14.86,1410024.36
2025-04-17,14.86,15.2,14.73,15.1,1296081.9
2025-04-18,15.1,15.58,15,15.44,885161.96
2025-04-19,15.44,16.05,15.44,15.95,1199242.77
2025-04-20,15.95,16.1,15.75,16.06,994270.29
2025-04-21,16.06,16.34,15.52,15.62,1406161.45
2025-04-22,15.62,16.78,15.34,16.67,2204584.82
2025-04-23,16.67,17.07,16.56,16.79,4244278.85
2025-04-24,16.79,16.83,16.16,16.73,1611692.7
2025-04-25,16.73,17.43,16.58,17.25,2154590.72
2025-04-26,17.25,17.53,16.86,17.04,1541773.65
2025-04-27,17.04,17.66,16.56,16.58,2176582.25
2025-04-28,16.58,17.11,16.25,17,1725152.61
2025-04-29,17,17.54,16.64,16.73,3870603.11
2025-04-30,16.73,16.89,16.18,16.5,1997537.87
2025-05-01,16.5,17.1,16.47,16.9,1126921.44
2025-05-02,16.9,17.33,16.89,17.22,1461848.94
2025-05-03,17.22,17.25,16.44,16.6,1587124.95
2025-05-04,16.6,16.78,15.92,16.02,2094849.91
2025-05-05,16.02,16.25,15.77,16,1355973.76
2025-05-06,16,16.29,15.6,16.23,1424971.42
2025-05-07,16.23,16.48,15.82,16.19,1725396.51
2025-05-08,16.19,18.67,16.19,18.63,5277671.54
2025-05-09,18.63,19.79,18.37,19.21,4317947.42
2025-05-10,19.21,20.79,18.94,20.7,4137773.37
2025-05-11,20.7,20.8,19.52,19.95,4319472.43
2025-05-12,19.95,20.85,19.17,19.78,4495815.68
2025-05-13,19.78,20.99,18.95,20.66,3296206.99
2025-05-14,20.66,20.95,19.67,19.87,2382265.77
2025-05-15,19.87,20.07,18.55,18.95,2196533.91
2025-05-16,18.95,19.41,18.56,18.7,2451458.37
2025-05-17,18.7,18.75,17.92,18.13,1912086.94
2025-05-18,18.13,19.11,17.6,18.74,2390270.48
2025-05-19,18.74,18.77,17.39,18.53,2733324.29
2025-05-20,18.53,18.81,17.91,18.42,1794040.39
2025-05-21,18.42,19.3,18.21,18.99,2726362.23
2025-05-22,18.99,19.88,18.98,19.69,1930073.43
2025-05-23,19.69,20.15,18.4,18.49,2576715.68
2025-05-24,18.49,18.81,18.33,18.41,760568.5
2025-05-25,18.41,18.46,17.86,18.37,999560.71
2025-05-26,18.37,18.73,18.1,18.25,772107.26
2025-05-27,18.25,19,17.94,18.63,1004624.27
2025-05-28,18.63,18.86,18,18.47,958061.87
2025-05-29,18.47,19.18,18.06,18.13,1309290.05
2025-05-30,18.13,18.22,16.88,16.96,1536287.9
2025-05-31,16.96,17.13,16.45,16.95,1521223.77
2025-06-01,16.95,17.18,16.61,17.11,992571.88
2025-06-02,17.11,17.59,16.79,17.56,911814.75
2025-06-03,17.56,17.83,17.41,17.58,725767.39
2025-06-04,17.58,17.93,17.16,17.26,809598.93
2025-06-05,17.26,17.48,16.17,16.32,970587.22
2025-06-06,16.32,17.03,16.26,16.74,896002.74
2025-06-07,16.74,17.39,16.69,17.22,462537.78
2025-06-08,17.22,17.22,16.85,16.94,635665.13
2025-06-09,16.94,17.93,16.63,17.87,686839.9
2025-06-10,17.87,18.59,17.62,18.55,1172980.65
2025-06-11,18.55,18.72,17.95,18.09,1117979.02
2025-06-12,18.09,18.13,17.02,17.12,924388.31
2025-06-13,17.12,17.12,16,16.92,1875000.19
2025-06-14,16.92,16.92,16.48,16.65,402024.01
2025-06-15,16.65,16.81,16.37,16.68,211909.11
2025-06-16,16.68,17.52,16.49,16.94,829157.8
2025-06-17,16.94,17.17,16.21,16.49,571630.39
2025-06-18,16.49,16.69,16.06,16.54,566520.84
2025-06-19,16.54,16.78,16.41,16.72,560524.68
2025-06-20,16.72,16.91,15.85,16.13,588634.56
2025-06-21,16.13,16.28,15.25,15.59,729234.41
2025-06-22,15.59,15.77,14.5,15.21,1560498.87
2025-06-23,15.21,16.52,15.13,16.39,865079.36
2025-06-24,16.39,16.57,16.23,16.43,475741.92
2025-06-25,16.43,16.56,16.15,16.24,424364.09
2025-06-26,16.23,16.62,16.19,16.35,3935420.77
2025-06-27,16.12,16.18,15.98,16.16,707020.49
