date,open,high,low,close,volume
2025-03-30,1827.68,1848.29,1767.75,1807.48,617668227.48
2025-03-31,1807.48,1853.97,1777.38,1822.14,917704034.94
2025-04-01,1822.14,1927.88,1817.91,1905.23,845243050.66
2025-04-02,1905.23,1955.36,1781.4,1794.63,1280088185.31
2025-04-03,1794.63,1844.85,1750.85,1816.31,960953835.92
2025-04-04,1816.31,1835.41,1758.61,1816.25,1091295574.19
2025-04-05,1816.25,1826.56,1764.13,1805.19,274947827.91
2025-04-06,1805.19,1816.3,1537.47,1579.65,1375390891.8
2025-04-07,1579.65,1632.05,1412.16,1552.42,2651234444.53
2025-04-08,1552.42,1618.09,1445.86,1472.15,1332975047.94
2025-04-09,1472.15,1688.31,1384.7,1669,2073024511.21
2025-04-10,1669,1669.34,1472.07,1521.51,1330455912.67
2025-04-11,1521.51,1590.22,1504.16,1566.02,891270709.03
2025-04-12,1566.02,1668.92,1545.25,1643.84,610788400.42
2025-04-13,1643.84,1649.32,1562.63,1597.18,819443109.52
2025-04-14,1597.18,1691,1595.15,1623.79,946070662.59
2025-04-15,1623.79,1660.77,1583.09,1588.7,816144949.08
2025-04-16,1588.7,1613.08,1538.57,1577.24,890121272.88
2025-04-17,1577.24,1616.72,1563.01,1583.68,649565838.07
2025-04-18,1583.68,1600.45,1573.8,1588.56,287426875.95
2025-04-19,1588.56,1628.78,1585.02,1612.74,304710533.5
2025-04-20,1612.74,1618.66,1565.79,1587.31,348453526.51
2025-04-21,1587.31,1658.13,1564.65,1579.7,836176542.33
2025-04-22,1579.7,1778.41,1539.87,1757.04,1378567169.81
2025-04-23,1757.04,1833.67,1746.08,1795.87,1411088123.18
2025-04-24,1795.87,1803.32,1723.07,1770.44,869951343.89
2025-04-25,1770.44,1828.79,1739.84,1785.94,1028226623.47
2025-04-26,1785.94,1841.59,1780.01,1821.45,535455658.73
2025-04-27,1821.45,1857.74,1783.01,1791.85,520004273.7
2025-04-28,1791.85,1827.96,1745.4,1800.19,1035461893.1
2025-04-29,1800.19,1843.4,1780.77,1798.47,808620394.56
2025-04-30,1798.47,1817.08,1732.54,1793.83,773685384.34
2025-05-01,1793.83,1873.95,1792.84,1838.83,751083284.45
2025-05-02,1838.83,1871.48,1813.65,1842.84,575346916.02
2025-05-03,1842.84,1848.87,1810.54,1833.95,291868877.83
2025-05-04,1833.95,1850.27,1803.35,1809,335700955.44
2025-05-05,1809,1833.48,1782.21,1820.05,556587730.73
2025-05-06,1820.05,1820.63,1751.42,1816.98,609473060.9
2025-05-07,1816.98,1850.42,1787.31,1811.34,754227976.34
2025-05-08,1811.34,2225.39,1808.97,2207.19,1973692015.1
2025-05-09,2207.19,2490.71,2184.12,2345.32,2617510161.4
2025-05-10,2345.32,2600.37,2318.3,2583.77,1784431662.12
2025-05-11,2583.77,2607.64,2439.78,2514.75,1513299417.69
2025-05-12,2514.75,2624.32,2408.1,2495.56,2051277136.7
2025-05-13,2495.56,2739.27,2415.76,2680.04,1873346978.72
2025-05-14,2680.04,2725.04,2548,2610.07,1542184822.16
2025-05-15,2610.07,2646.75,2478.7,2549,1528520349.7
2025-05-16,2549,2649.18,2530.01,2537.78,1190470675.39
2025-05-17,2537.78,2538.25,2447.65,2476.16,887082740
2025-05-18,2476.16,2587.97,2326.5,2498.72,1329246436.5
2025-05-19,2498.72,2547.45,2349.55,2528.66,1740260302.28
2025-05-20,2528.66,2588.36,2444.2,2525.1,1121450524.59
2025-05-21,2525.1,2617.03,2454.01,2552.21,1802437428.43
2025-05-22,2552.21,2692.69,2546.12,2665.1,1523259393.19
2025-05-23,2665.1,2733.44,2502.42,2526.9,1688250894.58
2025-05-24,2526.9,2576.3,2515.98,2530.92,464730641.55
2025-05-25,2530.92,2555,2464.25,2552.23,589652070.16
2025-05-26,2552.23,2600.15,2527.36,2564.47,590861351.31
2025-05-27,2564.47,2713.33,2511.1,2662,1280752626.8
2025-05-28,2662,2689.79,2611.05,2682.1,965255963.52
2025-05-29,2682.1,2788.28,2620.36,2631.82,1415485994.05
2025-05-30,2631.82,2649.44,2508.97,2531.79,1083869480.12
2025-05-31,2531.79,2551.37,2479.94,2529.32,500287625.87
2025-06-01,2529.32,2549.01,2470.58,2540.45,512156252.24
2025-06-02,2540.45,2616.44,2476.59,2609.07,884892086.43
2025-06-03,2609.07,2657.23,2583.3,2594.88,1073527716.78
2025-06-04,2594.88,2680.55,2585.02,2608.28,858114267.83
2025-06-05,2608.28,2641.72,2393.11,2415.85,1351426110.77
2025-06-06,2415.85,2532.69,2385.42,2478.31,865502968.12
2025-06-07,2478.31,2543.98,2458.79,2526.17,357329388.56
2025-06-08,2526.17,2549.53,2493.72,2510.78,315777224.57
2025-06-09,2510.78,2695.13,2479.6,2681.27,810951391.12
2025-06-10,2681.27,2826.68,2657.34,2816.15,1667701406.47
2025-06-11,2816.15,2879.79,2744.11,2772.57,1295621784.12
2025-06-12,2772.57,2785.3,2618.39,2644.51,1170537265
2025-06-13,2644.51,2646.56,2446.47,2580.25,1792683839.24
2025-06-14,2580.25,2580.87,2490.47,2532.75,551015115.63
2025-06-15,2532.75,2560.57,2493.32,2548.41,456963811.88
2025-06-16,2548.41,2681.43,2516.21,2545.23,1256426999.66
2025-06-17,2545.23,2619.34,2454.56,2510.96,1226237468.69
2025-06-18,2510.96,2548.88,2466.89,2525.85,879550757.97
2025-06-19,2525.85,2547.93,2485.66,2521.84,473983171.76
2025-06-20,2521.84,2569.74,2368.96,2407.22,949347412.87
2025-06-21,2407.22,2449.16,2217.69,2296.94,705748797.49
2025-06-22,2296.94,2314.86,2113.65,2228.57,1494221559.94
2025-06-23,2228.57,2439.75,2189.86,2413.17,1541484884.73
2025-06-24,2413.17,2483.31,2378.22,2449.69,1168281547.61
2025-06-25,2449.69,2469.72,2391.65,2420.23,962396741.81
2025-06-26,2420.23,2521.41,2418.92,2453.2,367539103.14
2025-06-27,2417.5,2429.41,2384.39,2428.72,74114522.19
