date,open,high,low,close,volume
2025-03-29,0.5095,0.513,0.4631,0.4703,5222696.8
2025-03-30,0.4703,0.4823,0.4606,0.4683,4548752.3
2025-03-31,0.4683,0.4739,0.4435,0.4536,8325486.55
2025-04-01,0.4536,0.4885,0.4534,0.4693,10569483.05
2025-04-02,0.4693,0.4789,0.425,0.4305,10029137.83
2025-04-03,0.4305,0.4521,0.4108,0.4353,8180763.23
2025-04-04,0.4353,0.4474,0.421,0.4436,7304596.77
2025-04-05,0.4436,0.4484,0.4247,0.4333,3359580.54
2025-04-06,0.4333,0.4334,0.3758,0.3842,9799076.12
2025-04-07,0.3842,0.4053,0.3441,0.392,15055283.22
2025-04-08,0.392,0.4042,0.3758,0.3791,7478288.96
2025-04-09,0.3791,0.4457,0.3623,0.4448,15604639.17
2025-04-10,0.4448,0.4451,0.406,0.4203,7018283.25
2025-04-11,0.4203,0.4542,0.4182,0.4472,6245690.16
2025-04-12,0.4472,0.4913,0.4433,0.4855,5138189.26
2025-04-13,0.4855,0.5434,0.4747,0.4954,11103614.35
2025-04-14,0.4954,0.5146,0.4817,0.4859,7731784.34
2025-04-15,0.4859,0.491,0.4549,0.4597,4989530.96
2025-04-16,0.4597,0.4683,0.4446,0.4586,4099348.93
2025-04-17,0.4586,0.5071,0.457,0.4973,6578142.06
2025-04-18,0.4973,0.5206,0.4915,0.5052,4100162.93
2025-04-19,0.5052,0.5717,0.5048,0.5566,7722367.07
2025-04-20,0.5566,0.6244,0.5525,0.6018,10926285.17
2025-04-21,0.6018,0.6552,0.5858,0.6054,12860046.79
2025-04-22,0.6054,0.6404,0.5789,0.6402,12857017.54
2025-04-23,0.6402,0.6475,0.6039,0.6227,10708265.11
2025-04-24,0.6227,0.7203,0.6068,0.7152,15042617.07
2025-04-25,0.7152,0.7546,0.6718,0.7524,10326348.02
2025-04-26,0.7524,0.8063,0.7381,0.7801,12031483.15
2025-04-27,0.7801,0.8063,0.7106,0.7127,10180066.51
2025-04-28,0.7127,0.7397,0.6861,0.717,9305735.89
2025-04-29,0.717,0.7448,0.6873,0.7035,7562984.92
2025-04-30,0.7035,0.7422,0.6793,0.7385,9566662.58
2025-05-01,0.7385,0.7884,0.7282,0.7313,10642505.12
2025-05-02,0.7313,0.7409,0.6957,0.7108,7440235.45
2025-05-03,0.7108,0.7144,0.6727,0.6847,4600395.01
2025-05-04,0.6847,0.6968,0.6473,0.6578,4442307.13
2025-05-05,0.6578,0.6789,0.6399,0.6635,6740442.39
2025-05-06,0.6635,0.6962,0.6321,0.6813,7856016.05
2025-05-07,0.6813,0.7154,0.6579,0.6757,8937959.23
2025-05-08,0.6757,0.7958,0.6757,0.7793,18532758.18
2025-05-09,0.7793,0.8788,0.7594,0.8276,24943223.1
2025-05-10,0.8276,0.9074,0.8242,0.907,15844314.6
2025-05-11,0.907,0.9083,0.8319,0.8509,12275866.63
2025-05-12,0.8509,0.9142,0.7972,0.831,19210702.7
2025-05-13,0.831,0.9085,0.7904,0.8918,16621805.78
2025-05-14,0.8918,0.894,0.8209,0.83,13229431.55
2025-05-15,0.83,0.8399,0.7509,0.7814,17643635.5
2025-05-16,0.7814,0.8085,0.7553,0.7648,8307009.26
2025-05-17,0.7648,0.7677,0.7349,0.7465,7799572.16
2025-05-18,0.7465,0.8004,0.7211,0.7784,10330533.75
2025-05-19,0.7784,0.7846,0.7048,0.7366,9349020.42
