date,open,high,low,close,volume
2025-03-30,4.022,4.026,4.005,4.016,52213.9
2025-03-31,4.016,4.021,3.99,4.01,151413.65
2025-04-01,4.01,4.024,3.996,4.014,147246.97
2025-04-02,4.014,4.036,3.997,4.03,131380.93
2025-04-03,4.03,4.043,4.026,4.036,69856.48
2025-04-04,4.036,4.042,4.024,4.033,189976.58
2025-04-05,4.033,4.042,4.025,4.031,47971.28
2025-04-06,4.031,4.035,4.015,4.021,197464.07
2025-04-07,4.021,4.043,3.99,4.012,400596.09
2025-04-08,4.012,4.028,4.001,4.024,70370.81
2025-04-09,4.024,4.031,4.009,4.022,134004.7
2025-04-10,4.022,4.028,4.004,4.012,198686.59
2025-04-11,4.012,4.045,4.002,4.031,638975.94
2025-04-12,4.031,4.043,4.025,4.03,81074.4
2025-04-13,4.03,4.038,4,4.011,191258.4
2025-04-14,4.011,4.137,3.998,4.137,1455825.18
2025-04-15,4.137,4.201,4.127,4.199,213597.6
2025-04-16,4.199,4.224,4.189,4.215,211549.16
2025-04-17,4.215,4.236,4.211,4.22,150813.03
2025-04-18,4.22,4.234,4.212,4.215,50816.87
2025-04-19,4.215,4.22,4.206,4.209,70886.28
2025-04-20,4.209,4.224,4.206,4.213,104541.15
2025-04-21,4.213,4.234,4.213,4.223,96072.34
2025-04-22,4.223,4.234,4.221,4.229,82281.37
2025-04-23,4.229,4.238,4.222,4.228,130108.12
2025-04-24,4.228,4.254,4.226,4.253,269612.17
2025-04-25,4.253,4.274,4.244,4.272,106327.18
2025-04-26,4.272,4.274,4.252,4.262,87830.53
2025-04-27,4.262,4.275,4.255,4.269,55782.81
2025-04-28,4.269,4.291,4.265,4.278,102190
2025-04-29,4.278,4.289,4.272,4.274,84222.33
2025-04-30,4.274,4.282,4.263,4.273,110071.71
2025-05-01,4.273,4.292,4.254,4.285,341385.05
2025-05-02,4.285,4.292,4.28,4.283,73091.32
2025-05-03,4.283,4.296,4.272,4.283,47118.3
2025-05-04,4.283,4.296,4.265,4.293,66313.74
2025-05-05,4.293,4.293,4.273,4.289,191992.69
2025-05-06,4.289,4.298,4.273,4.283,151437.97
2025-05-07,4.283,4.331,4.28,4.328,176229.19
2025-05-08,4.328,4.363,4.322,4.356,140851.13
2025-05-09,4.356,4.359,4.344,4.349,120681.14
2025-05-10,4.349,4.367,4.348,4.362,93421.34
2025-05-11,4.362,4.368,4.357,4.36,63586.11
2025-05-12,4.36,4.37,4.353,4.362,200089.56
2025-05-13,4.362,4.37,4.358,4.364,90098.1
2025-05-14,4.364,4.374,4.359,4.365,158285.81
2025-05-15,4.365,4.389,4.362,4.382,113791.47
2025-05-16,4.382,4.395,4.368,4.386,136466.75
2025-05-17,4.386,4.396,4.363,4.389,67978.37
2025-05-18,4.389,4.393,4.379,4.388,66568.9
2025-05-19,4.388,4.4,4.375,4.392,126157.13
2025-05-20,4.392,4.401,4.381,4.387,73515.37
2025-05-21,4.387,4.425,4.378,4.415,203687.92
2025-05-22,4.415,4.42,4.39,4.398,242805.09
2025-05-23,4.398,4.414,4.349,4.411,187975.73
2025-05-24,4.411,4.42,4.405,4.415,104603.81
2025-05-25,4.415,4.428,4.411,4.416,95724.79
2025-05-26,4.416,4.433,4.411,4.416,273303.06
2025-05-27,4.416,4.435,4.41,4.423,121093.07
2025-05-28,4.423,4.441,4.411,4.43,88396.88
2025-05-29,4.43,4.437,4.416,4.428,110384.11
2025-05-30,4.428,4.441,4.415,4.428,214216.1
2025-05-31,4.428,4.436,4.423,4.429,87559.07
2025-06-01,4.429,4.439,4.422,4.432,70471.28
2025-06-02,4.432,4.432,4.405,4.41,120964.93
2025-06-03,4.41,4.43,4.406,4.421,52701.46
2025-06-04,4.421,4.426,3.903,4.417,119776.58
2025-06-05,4.417,4.433,4.419,4.42,67114.56
2025-06-06,4.42,4.429,4.409,4.42,103944.05
2025-06-07,4.42,4.418,4.39,4.404,68594.85
2025-06-08,4.404,4.415,4.383,4.414,114657.4
2025-06-09,4.414,4.417,4.396,4.41,111693.88
2025-06-10,4.41,4.452,4.403,4.446,139173.18
2025-06-11,4.446,4.455,4.438,4.449,87047.04
2025-06-12,4.449,4.456,4.437,4.445,300134.98
2025-06-13,4.445,4.455,4.441,4.445,580964.66
2025-06-14,4.445,4.455,4.439,4.439,547441.54
2025-06-15,4.439,4.448,4.434,4.435,584220.55
2025-06-16,4.435,4.448,4.428,4.432,645698.79
2025-06-17,4.432,4.443,4.42,4.422,1397034.41
2025-06-18,4.422,4.433,4.411,4.412,1368951.21
2025-06-19,4.412,4.43,4.393,4.423,1513183.23
2025-06-20,4.423,4.464,4.42,4.46,2083290.4
2025-06-21,4.46,4.462,4.433,4.449,1667172.52
2025-06-22,4.449,4.458,4.438,4.44,2303298.91
2025-06-23,4.44,4.454,4.438,4.443,1927990.76
2025-06-24,4.443,4.447,4.424,4.431,1473203.02
2025-06-25,4.431,4.439,4.424,4.429,1534978.74
2025-06-26,4.429,4.437,4.421,4.428,609867.1
2025-06-27,4.42,4.424,4.42,4.422,90788.62
