date,open,high,low,close,volume
2025-03-29,22.81,22.55,21.93,22.22,92817.66
2025-03-30,22.22,22.63,21.92,22.32,30568.93
2025-03-31,22.31,22.55,22.07,22.51,165705.75
2025-04-01,22.51,23.24,22.79,22.95,56345.18
2025-04-02,22.94,22.34,21.27,22.31,77499.85
2025-04-03,22.2,22.46,21.79,22.12,62079.35
2025-04-04,22.12,22.55,22.04,22.55,72220.47
2025-04-05,22.55,22.55,22.29,22.5,31544.3
2025-04-06,22.5,21.25,20.42,20.69,112676.25
2025-04-07,20.69,21.59,20.36,20.74,318878.89
2025-04-08,20.74,20.76,19.7,20.46,162149.94
2025-04-09,20.46,22.7,21.7,21.95,172907.52
2025-04-10,21.95,21.7,20.57,21.48,166713.41
2025-04-11,21.48,22.69,22.05,22.3,117150.85
2025-04-12,22.3,22.9,22.54,22.79,76203.26
2025-04-13,22.79,22.57,22.21,22.48,104810.15
2025-04-14,22.49,22.86,21.68,22.6,339325.37
2025-04-15,22.56,22.42,21.85,22.42,46096.73
2025-04-16,22.42,22.61,22.02,22.49,84550.84
2025-04-17,22.49,22.73,22.27,22.46,144817.69
2025-04-18,22.46,22.45,22.24,22.42,176759.02
2025-04-19,22.42,22.66,22.42,22.55,164641.38
2025-04-20,22.55,22.71,22.46,22.52,85236.08
2025-04-21,22.52,23.15,22.84,22.94,82516.09
2025-04-22,22.94,26.07,23.49,23.68,201181.9
2025-04-23,23.66,24.24,23.5,23.54,98742.34
2025-04-24,23.54,23.67,23.31,23.44,40557.19
2025-04-25,23.44,23.88,22.86,23.06,40679.48
2025-04-26,23.06,23.61,22.31,22.59,58164.09
2025-04-27,22.59,22.27,21.77,22.17,64624.59
2025-04-28,22.17,22.81,22.18,22.32,30883.65
2025-04-29,22.32,22.3,21.84,22.09,46918.49
2025-04-30,22.09,22.19,21.53,22.03,30946.8
2025-05-01,22,22.6,21.43,21.63,43339.55
2025-05-02,21.61,22.19,21.51,21.84,29051.07
2025-05-03,21.82,21.87,21.56,21.73,19779.5
2025-05-04,21.73,21.45,21.17,21.45,20196.23
2025-05-05,21.4,21.69,21.02,21.17,20028.39
2025-05-06,21.09,22.06,21.19,21.27,43203.78
2025-05-07,21.24,21.41,20.9,21.08,80510.51
2025-05-08,21.08,25.85,21.77,22.04,67741.12
2025-05-09,22.04,23.45,20.52,22.33,90306.15
2025-05-10,22.33,24.91,22.23,22.41,98464.48
2025-05-11,22.41,22.65,21.75,21.96,36721.66
2025-05-12,21.96,22.38,20.96,21.88,45180.25
2025-05-13,21.88,24.01,21.46,21.9,62826.01
2025-05-14,21.88,22.25,21.56,21.7,47528.2
2025-05-15,21.79,22.11,21.01,21.72,80135.02
2025-05-16,21.72,21.76,20.81,21.75,87050.27
2025-05-17,21.75,21.7,21.17,21.61,428049.23
2025-05-18,21.61,23.02,21.02,21.81,700601.17
2025-05-19,21.79,22.12,21.35,21.57,46515.56
2025-05-20,21.57,21.87,21.39,21.52,29728.98
2025-05-21,21.52,22.29,21.63,21.86,746850.89
2025-05-22,21.86,22.39,21.7,21.9,213548.47
2025-05-23,21.9,21.38,20.96,21.34,1819551.66
2025-05-24,21.34,21.56,21.08,21.35,193515.15
2025-05-25,21.35,21.67,21.19,21.19,1046968.34
2025-05-26,21.22,21.42,20.99,21.11,620230.55
2025-05-27,21.11,22.32,20.43,20.75,1115139.75
2025-05-28,20.72,20.69,20.36,20.48,332403.46
2025-05-29,20.48,20.19,19.74,20,434609.49
2025-05-30,20,19.88,19.17,19.41,908325.81
2025-05-31,19.41,19.55,19.17,19.32,139941.68
2025-06-01,19.32,19.97,19.25,19.29,150435.24
2025-06-02,19.29,19.59,19.22,19.24,325746.5
2025-06-03,19.24,19.81,19.1,19.24,159728
2025-06-04,19.24,19.33,19.07,19.15,117068.62
2025-06-05,19.15,19.09,17.88,18.45,400269.75
2025-06-06,18.45,19.06,18.35,18.46,194224.35
2025-06-07,18.46,19.03,18.21,18.37,169245.03
2025-06-08,18.37,18.46,18.22,18.22,142728.42
2025-06-09,18.22,19.05,18.34,18.43,255019.31
2025-06-10,18.43,18.71,18.31,18.44,145114.7
2025-06-11,18.44,18.44,18.12,18.24,80813.77
2025-06-12,18.24,17.84,16.56,17.39,291657.86
2025-06-13,17.39,17.81,16.92,17.01,537102.22
2025-06-14,17.01,17.55,16.79,16.87,123465.32
2025-06-15,16.87,17.02,16.68,16.74,131198.55
2025-06-16,16.74,16.96,16.17,16.39,100344.56
2025-06-17,16.39,16.12,14.69,15.54,115355.07
2025-06-18,15.54,16.15,15.15,15.47,98326.82
2025-06-19,15.47,15.86,15.1,15.63,104232.75
2025-06-20,15.63,17.25,15.4,16.8,148203.39
2025-06-21,16.79,16.93,15.69,16.29,67787.15
2025-06-22,16.29,16.47,15.55,15.89,66545.29
2025-06-23,15.89,17.78,16.5,16.68,57091.06
2025-06-24,16.7,16.84,16.33,16.37,44187.19
2025-06-25,16.37,16.68,15.97,16.15,61090.75
2025-06-26,16.17,16.43,16.15,16.23,1703159.45
