date,open,high,low,close,volume
2025-03-29,0.1822,0.1834,0.1666,0.172,33132998.28
2025-03-30,0.172,0.1755,0.1666,0.1677,20106513.61
2025-03-31,0.1677,0.1682,0.1563,0.1631,38624859.84
2025-04-01,0.1631,0.176,0.1618,0.1702,30183978.02
2025-04-02,0.1702,0.1809,0.1579,0.1613,43862739.12
2025-04-03,0.1613,0.1698,0.1534,0.1626,35494682.37
2025-04-04,0.1626,0.168,0.1571,0.1642,37786745.92
2025-04-05,0.1642,0.1653,0.1587,0.162,13109523.73
2025-04-06,0.162,0.1628,0.1355,0.14,39010103.64
2025-04-07,0.14,0.1547,0.1248,0.1525,79721993.49
2025-04-08,0.1525,0.167,0.1452,0.146,65716484.48
2025-04-09,0.146,0.1779,0.1423,0.1687,92787114.85
2025-04-10,0.1687,0.1777,0.1634,0.1677,48778019.01
2025-04-11,0.1677,0.1765,0.1647,0.1674,50621446.83
2025-04-12,0.1674,0.1782,0.1651,0.177,32395058.43
2025-04-13,0.177,0.1774,0.1632,0.1652,25638858.4
2025-04-14,0.1652,0.1728,0.1625,0.1652,29808065.88
2025-04-15,0.1652,0.1682,0.1566,0.157,19361415.15
2025-04-16,0.157,0.1608,0.1541,0.1575,22848773.76
2025-04-17,0.1575,0.1659,0.1562,0.163,19794315.33
2025-04-18,0.163,0.1666,0.1619,0.1652,14285633.26
2025-04-19,0.1652,0.1678,0.1643,0.1669,10280583.32
2025-04-20,0.1669,0.1688,0.1609,0.166,13452925.78
2025-04-21,0.166,0.174,0.166,0.1692,28734559.86
2025-04-22,0.1692,0.1825,0.1677,0.1814,30589262.11
2025-04-23,0.1814,0.1899,0.1775,0.1805,45267491.31
2025-04-24,0.1805,0.1892,0.1756,0.1885,45301248.37
2025-04-25,0.1885,0.2024,0.1841,0.1927,55379313.14
2025-04-26,0.1927,0.1981,0.19,0.1916,20308540.48
2025-04-27,0.1916,0.1941,0.185,0.1904,25836985.98
2025-04-28,0.1904,0.1993,0.1856,0.1908,36569540.19
2025-04-29,0.1908,0.192,0.1835,0.1862,22555886.92
2025-04-30,0.1862,0.1886,0.176,0.1821,31896245.66
2025-05-01,0.1821,0.192,0.1813,0.1861,24833467.44
2025-05-02,0.1861,0.1906,0.1839,0.1871,21590323.03
2025-05-03,0.1871,0.1875,0.1791,0.1803,14689214.85
2025-05-04,0.1803,0.1849,0.1749,0.1761,16458857.07
2025-05-05,0.1761,0.1784,0.1718,0.1735,19569836.24
2025-05-06,0.1735,0.1776,0.1692,0.1771,25592866.14
2025-05-07,0.1771,0.1782,0.1726,0.1758,14978840.34
2025-05-08,0.1758,0.1971,0.175,0.1953,33721827.77
2025-05-09,0.1953,0.2065,0.1928,0.2025,49356962.17
2025-05-10,0.2025,0.2198,0.2004,0.2192,41688871.01
2025-05-11,0.2192,0.2208,0.2011,0.2069,33746068.82
2025-05-12,0.2069,0.2298,0.2047,0.215,82266207
2025-05-13,0.215,0.2186,0.2007,0.2162,46623693.28
2025-05-14,0.2162,0.2168,0.2038,0.2061,30720692.6
2025-05-15,0.2061,0.2079,0.1934,0.1981,30209730.65
2025-05-16,0.1981,0.2019,0.1938,0.1956,21733944.74
2025-05-17,0.1956,0.196,0.187,0.1911,16568827.73
2025-05-18,0.1911,0.201,0.1869,0.1969,22096740.08
2025-05-19,0.1969,0.1979,0.1845,0.194,21528557.69
2025-05-20,0.194,0.1985,0.1904,0.195,19686395.09
2025-05-21,0.195,0.2025,0.1925,0.1981,27655702.72
2025-05-22,0.1981,0.2064,0.1973,0.2047,28575390.14
2025-05-23,0.2047,0.2093,0.1889,0.1906,32010818.06
2025-05-24,0.1906,0.1937,0.1871,0.1885,11647640.36
2025-05-25,0.1885,0.1904,0.1807,0.1882,13485030.52
2025-05-26,0.1882,0.1933,0.1843,0.186,13141855.91
2025-05-27,0.186,0.192,0.1823,0.1873,17067784.06
2025-05-28,0.1873,0.1885,0.1813,0.1861,13441218.86
2025-05-29,0.1861,0.1907,0.1788,0.1797,22282302.81
2025-05-30,0.1797,0.1806,0.1652,0.1674,29247274.54
2025-05-31,0.1674,0.1706,0.161,0.1675,21031362.59
2025-06-01,0.1675,0.1698,0.1641,0.1688,10970257.8
2025-06-02,0.1688,0.1727,0.1666,0.1715,13434620.95
2025-06-03,0.1715,0.1756,0.171,0.172,12215463.95
2025-06-04,0.172,0.174,0.1664,0.1672,11315700.61
2025-06-05,0.1672,0.1698,0.156,0.1595,18097403.77
2025-06-06,0.1595,0.1692,0.1586,0.1646,11772443.82
2025-06-07,0.1646,0.1723,0.1639,0.1688,9350860.77
2025-06-08,0.1688,0.1722,0.1666,0.1694,8484927.47
2025-06-09,0.1694,0.179,0.1677,0.178,19580163.28
2025-06-10,0.178,0.184,0.1761,0.1801,14379943.77
2025-06-11,0.1801,0.1819,0.1711,0.1729,21694809.73
2025-06-12,0.1729,0.1732,0.1621,0.163,18262609.67
2025-06-13,0.163,0.163,0.1503,0.1591,31970946.84
2025-06-14,0.1591,0.1599,0.1513,0.155,13174671.91
2025-06-15,0.155,0.156,0.1508,0.1545,16174314.12
2025-06-16,0.1545,0.1634,0.1531,0.1535,22608344.28
2025-06-17,0.1535,0.1572,0.1468,0.1486,23578911.18
2025-06-18,0.1486,0.1522,0.1439,0.148,16445549.74
2025-06-19,0.148,0.1497,0.1445,0.1478,13375266.25
2025-06-20,0.1478,0.1515,0.1409,0.1446,14868169.14
2025-06-21,0.1446,0.1464,0.1338,0.138,18725040.11
2025-06-22,0.138,0.1399,0.1261,0.1337,37201979.66
2025-06-23,0.1337,0.1524,0.1332,0.1517,27896600.74
2025-06-24,0.1517,0.1561,0.1507,0.1541,19350507.15
2025-06-25,0.1541,0.1563,0.1491,0.1499,16840117.44
2025-06-26,0.1499,0.1527,0.1465,0.1467,5492201.46
