date,open,high,low,close,volume
2025-03-30,12.8,13,12.2,12.48,9354350.91
2025-03-31,12.48,13.47,12.19,13,13401891.34
2025-04-01,13,13.95,12.95,13.32,13005430.88
2025-04-02,13.32,14.44,11.69,11.76,18706484.99
2025-04-03,11.76,12.61,11.06,11.7,23480372.78
2025-04-04,11.7,12.39,11.07,11.89,23219391.84
2025-04-05,11.89,12.21,11.44,12.04,6738937
2025-04-06,12.04,12.08,10.02,10.26,19358256.49
2025-04-07,10.26,11.93,9.33,11.49,43732997.39
2025-04-08,11.49,12.62,10.72,11.24,31966550.81
2025-04-09,11.24,14.39,11.12,13.58,43057836.04
2025-04-10,13.58,14.5,13.13,14.17,27825443.87
2025-04-11,14.17,16.01,13.78,15.71,22132393.17
2025-04-12,15.71,16.83,15.16,16.33,24620995.64
2025-04-13,16.33,16.83,14.99,15.4,25906112.45
2025-04-14,15.4,16.36,15.32,15.73,20609082
2025-04-15,15.73,16.69,15.03,15.07,16928331.54
2025-04-16,15.07,16.3,14.66,15.79,26139568.13
2025-04-17,15.79,17.25,15.55,17.15,39717814.84
2025-04-18,17.15,17.44,16.36,17.09,27044342.9
2025-04-19,17.09,18.27,16.7,18.1,28388930.19
2025-04-20,18.1,18.52,17.17,17.62,13816829.27
2025-04-21,17.62,18.48,17.25,18.22,23901872.06
2025-04-22,18.22,19.36,17.87,19.21,27604504.13
2025-04-23,19.21,19.31,18.07,18.48,26126201.09
2025-04-24,18.48,19.03,17.71,18.79,16827280.97
2025-04-25,18.79,19.21,18.17,18.41,9630551.72
2025-04-26,18.41,18.44,17.46,17.92,9122906.24
2025-04-27,17.92,18.23,17.28,17.38,6935470.06
2025-04-28,17.38,18.74,16.91,18.67,15571818.24
2025-04-29,18.67,19.15,18.17,18.61,16410321.63
2025-04-30,18.61,20.14,17.63,20.02,19340013.29
2025-05-01,20.02,21.18,19.17,19.95,23990119.99
2025-05-02,19.95,21.46,19.9,20.82,20188023.27
2025-05-03,20.82,21.53,20.07,20.97,10805239.84
2025-05-04,20.97,21.26,19.8,19.96,9840688.74
2025-05-05,19.96,20.78,19.82,20.31,18497461.76
2025-05-06,20.31,21.14,19.52,20.96,24351884.07
2025-05-07,20.96,21.47,20.69,21.05,22088537.32
2025-05-08,21.05,23.55,20.85,23.31,34307669.66
2025-05-09,23.31,25.76,22.94,24.62,39782905.53
2025-05-10,24.62,26.34,24.29,26.27,22186128.78
2025-05-11,26.27,26.5,23.73,24.87,35087709.68
2025-05-12,24.87,25.78,23.26,24.83,29058157.93
2025-05-13,24.83,26.41,23.41,25.79,27147041.43
2025-05-14,25.79,26.21,24.65,25.23,18404126.44
2025-05-15,25.23,26.26,24.31,26.17,27611878.02
2025-05-16,26.17,28.25,25.8,26.82,23952992.42
2025-05-17,26.82,28.56,25.67,25.91,20175308.35
2025-05-18,25.91,27.32,25.86,27.12,23042149.47
2025-05-19,27.12,27.33,25.12,26.52,38173954.9
2025-05-20,26.52,27,25.49,26.53,22725584.47
2025-05-21,26.53,28.65,26.08,28.32,42862660.12
2025-05-22,28.32,34.07,28.2,33.41,89025154.02
2025-05-23,33.41,37.58,32.3,33.06,94067855
2025-05-24,33.06,36.53,32.12,34.76,54366194.42
2025-05-25,34.76,39.44,33.67,39.06,73502369.77
2025-05-26,39.06,39.97,36.54,37.12,73456110.6
2025-05-27,37.12,38.81,35.6,35.75,50072022
2025-05-28,35.75,36.36,32.57,34.29,45757813.87
2025-05-29,34.29,35.14,31.31,31.37,59316585.63
2025-05-30,31.37,34.3,30.67,32.79,59479848.74
2025-05-31,32.79,33.62,30.75,32.68,37148953.4
2025-06-01,32.68,34.27,31.5,34.15,28980143.85
2025-06-02,34.15,36.64,32.4,36.46,34621969.37
2025-06-03,36.46,38.21,35.63,36.05,48367235.94
2025-06-04,36.05,37.18,34.47,35.6,32723781.66
2025-06-05,35.6,36.42,32.62,34,45193937.62
2025-06-06,34,35.61,33.08,33.35,31713859.24
2025-06-07,33.35,35.13,33,34.9,18494266.28
2025-06-08,34.9,36.29,34.48,34.94,19054132.43
2025-06-09,34.94,39.09,34.69,38.84,38135461.82
2025-06-10,38.84,42.33,38.42,42.17,68836365.16
2025-06-11,42.17,44.05,40.68,41.8,54952908.8
2025-06-12,41.8,43.87,40.29,40.47,42969854.97
2025-06-13,40.47,42.76,37.27,42.26,75909944.64
2025-06-14,42.26,42.65,38.83,40.1,27527177.93
2025-06-15,40.1,41.44,39.66,41.17,25269777.12
2025-06-16,41.17,45.8,40.67,41.85,51360230.87
2025-06-17,41.85,43.49,38.27,39.94,59159021.36
2025-06-18,39.94,41.13,37.59,39.47,57341239.61
2025-06-19,39.47,39.95,35.78,36.85,46464792.56
2025-06-20,36.85,37.88,33.05,33.37,67734370.94
2025-06-21,33.37,35.3,31.05,34.43,45634179.96
2025-06-22,34.43,36.1,31.6,35.83,74777394.51
2025-06-23,35.83,38.54,33.3,38.25,72552473.42
2025-06-24,38.25,38.93,36.28,37.52,45005074.54
2025-06-25,37.52,39.26,36.72,37.07,36612090.4
2025-06-26,37.07,38.13,36.67,37.16,13159505.8
2025-06-27,35.81,36.38,35.36,36.28,2211471.98
