date,open,high,low,close,volume
2025-03-29,5.597,5.642,5.259,5.346,2669871.46
2025-03-30,5.346,5.456,5.197,5.27,2348621.43
2025-03-31,5.27,5.39,5.077,5.308,3328114.45
2025-04-01,5.308,5.577,5.281,5.414,2841675.83
2025-04-02,5.414,5.492,4.977,5.013,3519973.22
2025-04-03,5.013,5.239,4.928,5.136,3665595.2
2025-04-04,5.136,5.243,4.976,5.057,4457998.5
2025-04-05,5.057,5.094,4.937,5.052,2026131.77
2025-04-06,5.052,5.082,4.458,4.583,5815506.87
2025-04-07,4.583,4.827,4.187,4.629,8235625.92
2025-04-08,4.629,4.826,4.477,4.62,4633108.69
2025-04-09,4.62,5.045,4.487,4.983,6055127.12
2025-04-10,4.983,5.05,4.721,4.804,3660611.5
2025-04-11,4.804,5.086,4.803,5.04,4001252.73
2025-04-12,5.04,5.274,5.018,5.231,3326684.18
2025-04-13,5.231,5.255,4.966,5.004,2857638.29
2025-04-14,5.004,5.128,4.823,4.883,4667804.54
2025-04-15,4.883,4.97,4.738,4.757,3405498.72
2025-04-16,4.757,4.816,4.581,4.647,3239171.47
2025-04-17,4.647,4.768,4.593,4.711,2826733.27
2025-04-18,4.711,4.811,4.67,4.75,2441622.04
2025-04-19,4.75,4.95,4.743,4.918,2992822.45
2025-04-20,4.918,4.959,4.784,4.879,2727638.72
2025-04-21,4.879,5.009,4.746,4.768,3742500.65
2025-04-22,4.768,5.119,4.633,5.101,6097797.81
2025-04-23,5.101,5.255,5.031,5.182,4661241.44
2025-04-24,5.182,5.208,4.962,5.198,4539409.36
2025-04-25,5.198,5.475,5.106,5.288,8986289.76
2025-04-26,5.288,5.482,5.232,5.263,3244475.22
2025-04-27,5.263,5.308,5.019,5.031,3721694.99
2025-04-28,5.031,5.189,4.916,5.102,4819136.92
2025-04-29,5.102,5.168,4.841,4.888,4827204.85
2025-04-30,4.888,4.971,4.744,4.915,4376222.2
2025-05-01,4.915,5.032,4.83,4.948,7814273.08
2025-05-02,4.948,5.066,4.89,4.995,3896932.33
2025-05-03,4.995,5.003,4.655,4.719,3420593.7
2025-05-04,4.719,4.746,4.548,4.61,3076121.83
2025-05-05,4.61,4.687,4.556,4.607,3976403.13
2025-05-06,4.607,4.64,4.447,4.633,4208682.67
2025-05-07,4.633,4.69,4.5,4.651,2950195.84
2025-05-08,4.651,5.231,4.643,5.217,6692433.28
2025-05-09,5.217,5.463,5.184,5.446,7743585.85
2025-05-10,5.446,5.858,5.386,5.84,8867477.71
2025-05-11,5.84,5.982,5.498,5.766,9792391.75
2025-05-12,5.766,6.13,5.563,5.738,14002323.47
2025-05-13,5.738,5.985,5.444,5.908,8799702.24
2025-05-14,5.908,5.991,5.594,5.638,6990236.24
2025-05-15,5.638,5.702,5.3,5.407,7386726.35
2025-05-16,5.407,5.54,5.199,5.265,7194062.26
2025-05-17,5.265,5.278,5.085,5.149,5083577.4
2025-05-18,5.149,5.456,5.022,5.339,5545679.52
2025-05-19,5.339,5.364,4.982,5.214,4316613.98
2025-05-20,5.214,5.361,5.068,5.262,4582281.07
2025-05-21,5.262,5.494,5.178,5.354,6562728.59
2025-05-22,5.354,5.707,5.347,5.693,5576637.16
2025-05-23,5.693,5.839,5.205,5.228,5773533.2
2025-05-24,5.228,5.449,5.171,5.203,4598607.01
2025-05-25,5.203,5.278,5.012,5.266,4060305.12
2025-05-26,5.266,5.414,5.181,5.224,4342017.17
2025-05-27,5.224,5.406,5.107,5.333,4236960.6
2025-05-28,5.333,5.466,5.188,5.439,5115298.04
2025-05-29,5.439,5.565,5.235,5.261,5627672.24
2025-05-30,5.261,5.29,4.787,4.795,9762651.88
2025-05-31,4.795,4.941,4.689,4.909,4969177.33
2025-06-01,4.909,5.203,4.801,4.938,4238128.78
2025-06-02,4.938,5.145,4.832,5.126,3156892.28
2025-06-03,5.126,5.581,5.088,5.329,7889250.74
2025-06-04,5.329,5.485,5.174,5.202,7229341.76
2025-06-05,5.202,5.325,4.809,4.857,7349144.2
2025-06-06,4.857,5.079,4.843,4.951,4489093.59
2025-06-07,4.951,5.245,4.932,5.237,2687099.05
2025-06-08,5.237,5.704,5.185,5.558,10505298.54
2025-06-09,5.558,6.153,5.499,6.034,16826605.97
2025-06-10,6.034,6.236,5.889,6.175,12138506.32
2025-06-11,6.175,6.318,5.953,6.07,9237758.55
2025-06-12,6.07,6.161,5.77,5.824,8059909.12
2025-06-13,5.824,5.826,5.323,5.462,9578229.21
2025-06-14,5.462,5.785,5.402,5.483,8437109.87
2025-06-15,5.483,5.522,5.284,5.515,4513147.26
2025-06-16,5.515,5.744,5.388,5.399,7514245.84
2025-06-17,5.399,5.482,5.062,5.127,7061435.66
2025-06-18,5.127,5.255,4.988,5.117,4161910.48
2025-06-19,5.117,5.15,4.971,5.058,3539122.06
2025-06-20,5.058,5.27,4.828,4.925,5909718.44
2025-06-21,4.925,5.014,4.607,4.806,5213296.19
2025-06-22,4.806,4.836,4.314,4.557,6766568.38
2025-06-23,4.557,4.994,4.471,4.967,5948805.94
2025-06-24,4.967,5.065,4.877,4.961,4219865.73
2025-06-25,4.961,5.064,4.776,4.822,3679499.77
2025-06-26,4.822,4.925,4.798,4.818,1045899.19
