date,open,high,low,close,volume
2025-03-30,9.654,9.773,8.954,9.145,279350.35
2025-03-31,9.145,9.2,9.07,9.197,101119.48
2025-04-01,9.197,9.398,9.022,9.398,90520.57
2025-04-02,9.398,9.551,9.047,9.371,150670.73
2025-04-03,9.371,9.546,9.37,9.497,82736.81
2025-04-04,9.497,9.733,9.229,9.233,123718.39
2025-04-05,9.233,9.25,8.879,9.094,182973.22
2025-04-06,9.094,9.236,8.792,8.95,151348.67
2025-04-07,8.95,9.018,8.868,9.017,184619.63
2025-04-08,9.017,9.094,8.993,9.053,164393.17
2025-04-09,9.053,9.395,9.009,9.395,183205.65
2025-04-10,9.395,9.4,9.305,9.399,108449.54
2025-04-11,9.399,9.404,9.002,9.348,177988.9
2025-04-12,9.348,9.404,9.248,9.392,99181.49
2025-04-13,9.392,9.418,9.363,9.416,88289.27
2025-04-14,9.416,9.448,9.4,9.438,91727.8
2025-04-15,9.438,9.448,9.302,9.369,79752.09
2025-04-16,9.369,9.473,9.366,9.466,77224.26
2025-04-17,9.466,9.484,8.956,9.065,812499.05
2025-04-18,9.065,9.406,9.034,9.406,202109.69
2025-04-19,9.406,9.406,9.264,9.38,11168.52
2025-04-20,9.38,9.401,9.285,9.348,69999.37
2025-04-21,9.348,9.484,8.994,9.094,921030.41
2025-04-22,9.094,9.242,8.784,9.136,280521.57
2025-04-23,9.136,9.196,9.057,9.196,101836.89
2025-04-24,9.196,9.318,9.161,9.203,99044.08
2025-04-25,9.203,9.379,8.803,8.973,282261.71
2025-04-26,8.973,9.164,8.894,9.084,199869.34
2025-04-27,9.084,9.15,8.994,9.099,80960.75
2025-04-28,9.099,9.099,8.96,9.083,113381.05
2025-04-29,9.083,9.083,8.999,9.074,171313.01
2025-04-30,9.074,9.164,9.012,9.164,113991.1
2025-05-01,9.164,9.293,8.897,8.994,521433.16
2025-05-02,8.994,8.995,8.822,8.942,90888.64
2025-05-03,8.942,8.997,8.844,8.997,79107.48
2025-05-04,8.997,9.158,8.947,9.1,129758.5
2025-05-05,9.1,9.185,8.576,8.701,533899.88
2025-05-06,8.701,8.767,8.603,8.767,131993.02
2025-05-07,8.767,8.798,8.698,8.77,97454.46
2025-05-08,8.77,8.897,8.718,8.897,229440.79
2025-05-09,8.897,8.917,8.674,8.734,634288.96
2025-05-10,8.734,8.765,8.216,8.242,117625.61
2025-05-11,8.242,8.443,8.18,8.339,128857.29
2025-05-12,8.339,8.647,8.307,8.647,131485.98
2025-05-13,8.647,8.764,8.567,8.764,93889.48
2025-05-14,8.764,8.88,8.731,8.88,89269.93
2025-05-15,8.88,9.07,8.781,8.794,708967.12
2025-05-16,8.794,8.962,8.778,8.958,84118.31
2025-05-17,8.958,9.012,8.92,8.959,74697.1
2025-05-18,8.959,9.015,8.551,8.688,139736.11
2025-05-19,8.688,8.795,8.567,8.685,163311.13
2025-05-20,8.685,8.782,8.66,8.779,91566.27
2025-05-21,8.779,8.951,8.71,8.916,155133.28
2025-05-22,8.916,8.979,8.78,8.922,255985.79
2025-05-23,8.922,8.923,8.74,8.866,102200.9
2025-05-24,8.866,8.906,8.801,8.867,82718.51
2025-05-25,8.867,8.926,8.801,8.884,65867.72
2025-05-26,8.884,9.48,8.55,8.763,734763.79
2025-05-27,8.763,9.193,8.684,9.143,732806.53
2025-05-28,9.143,9.225,9,9.093,310578.94
2025-05-29,9.093,9.153,8.952,9.131,144063.31
2025-05-30,9.131,9.242,8.707,8.765,243335.42
2025-05-31,8.765,8.803,8.553,8.659,122110.92
2025-06-01,8.659,8.746,8.604,8.666,77815.84
2025-06-02,8.666,8.734,8.306,8.528,231005.95
2025-06-03,8.528,8.984,8.478,8.984,149773.82
2025-06-04,8.984,9.123,8.833,9.004,231133.68
2025-06-05,9.004,9.293,8.602,8.82,769913.33
2025-06-06,8.82,9.039,8.66,8.984,723247.99
2025-06-07,8.984,9.243,8.921,9.243,377954.43
2025-06-08,9.243,9.33,8.901,9.27,469892.92
2025-06-09,9.27,9.4,8.993,9.11,433560.1
2025-06-10,9.11,9.168,8.703,8.872,375108.72
2025-06-11,8.872,9.113,8.757,9.106,230353.19
2025-06-12,9.106,9.117,8.602,8.9,565363.94
2025-06-13,8.9,9.318,8.78,8.897,386674.85
2025-06-14,8.897,9.206,8.873,9.11,301160.56
2025-06-15,9.11,9.357,9.05,9.27,184622.42
2025-06-16,9.27,9.35,9.189,9.31,63698.13
2025-06-17,9.31,9.32,9.068,9.29,171629.19
2025-06-18,9.29,9.299,9.113,9.224,97194.26
2025-06-19,9.224,9.249,8.866,9.03,182063.65
2025-06-20,9.03,9.196,8.822,8.93,232240.05
2025-06-21,8.93,9,8.844,8.999,135132.68
2025-06-22,8.999,9.101,8.925,9.053,177079.3
2025-06-23,9.053,9.186,8.987,9.186,147282.34
2025-06-24,9.186,9.22,8.887,9.049,177326.86
2025-06-25,9.049,9.079,9,9,68334.14
2025-06-26,9,9.042,9,9.04,35007.53
2025-06-27,9.005,9.064,8.991,9.033,145516.2
